col,lig,centre_x,centre_y,kills_depuis,morts_dedans,portee_mediane_m,denivele_median_m,matchs_kills,matchs_presence,matchs_distincts,occupation_gagnants_ms,occupation_perdants_ms,dir_sortante_cos,dir_sortante_sin,dir_sortante_n,dir_entrante_cos,dir_entrante_sin,dir_entrante_n,kills_ponderes,morts_ponderees,kills_rang_connu,morts_rang_connu,kills_tueur_fort,morts_tueur_fort
-10,-24,-4.750,-11.750,0,0,0.000,0.000,0,1,1,300.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-10,-23,-4.750,-11.250,1,0,8.508,-0.871,1,1,2,200.000,0.000,-0.153,-0.988,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-10,-20,-4.750,-9.750,0,0,0.000,0.000,0,1,1,0.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-10,-19,-4.750,-9.250,0,0,0.000,0.000,0,1,1,0.000,200.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-10,-18,-4.750,-8.750,1,0,16.024,1.297,1,1,2,0.000,200.000,0.106,-0.994,1,0.000,0.000,0,1.500,0.000,1,0,1,0
-10,-17,-4.750,-8.250,1,0,0.461,0.036,1,1,2,500.000,0.000,0.962,0.272,1,0.000,0.000,0,1.000,0.000,0,0,0,0
-10,-16,-4.750,-7.750,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-10,-15,-4.750,-7.250,0,2,0.000,0.000,2,1,3,0.000,300.000,0.000,0.000,0,-1.977,-0.004,2,0.000,2.758,0,2,0,2
-10,-14,-4.750,-6.750,0,1,0.000,0.000,1,1,2,200.000,100.000,0.000,0.000,0,-0.783,0.622,1,0.000,1.007,0,1,0,0
-10,-13,-4.750,-6.250,0,0,0.000,0.000,0,1,1,0.000,300.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0,0,0,0
-10,-12,-4.750,-5.750,2,0,5.755,-0.689,2,0,2,0.000,0.000,-0.257,-0.320,2,0.000,0.000,0,2.440,0.000,2,0,1,0
