chunk	packet	t_us	slot	mask	state	round	rt_a	rt_b	rt_qa	rt_qb	rt_tail	sd_a	sd_b	sd_c	grace_a	grace_b	grace_c	cond
3	722	6877900006	7168	i6								58170	20496	1				
3	858	6879033856	364	i1|i4		0												
4	314	6894499264	182	i2	0													
4	908	6899453986	7168	i2|i55|i57|i60	0													
4	1134	6901340763	182	i8														562
4	1150	6901473309	182	i8														550
4	1322	6902907990	7168	i4														
4	1372	6903325723	7168	i6								50784	3	29				
4	1458	6904042075	7168	i8														30
4	1462	6904075613	7168	i7											34701	52257	9	
4	1516	6904527080	364	i5|i6			17.853	1126.957	33	2052	19	6926	58328	12				
5	372	6914986334	182	i8														947
5	374	6915003329	182	i8														943
5	444	6915587446	7168	i5			28087.680	2793.084	51131	5085	31							
5	1388	6923462680	7168	i2|i55|i56|i60	0													
5	2158	6929884999	7168	i5|i55|i57|i60			2309.671	17710.227	4205	32240	8							
6	1324	6942931655	7168	i2|i55|i57|i60	0													
6	1432	6943832524	7168	i4		16												
6	1482	6944249708	182	i8														939
6	1596	6945201220	182	i8														971
6	1862	6947419262	7168	i7											1758	34869	4	
6	1930	6947986164	7168	i8														26
7	386	6955111024	7168	i6								1536	32768	16				
7	620	6957062095	7168	i6								36909	12614	16				
7	932	6959664818	7168	i7											18391	36157	9	
7	934	6959681270	7168	i7											2008	19765	9	
7	950	6959815805	7168	i5			937.986	19156.621	1708	34873	3							
7	970	6959981989	7168	i2	4													
7	972	6959998626	7168	i2	2													
7	1274	6962518034	182	i2	4													
7	1394	6963518849	7168	i5|i55|i57|i60			2309.671	29813.135	4205	54272	0							
7	1568	6964970168	7168	i5|i55|i57|i60			2309.671	272.195	4205	496	0							
7	1570	6964986696	7168	i5|i55|i57|i60			2309.671	272.195	4205	496	0							
7	1574	6965019855	7168	i5|i55|i57|i60			2309.671	272.195	4205	496	0							
7	1836	6967205806	7168	i4														
7	1988	6968475464	7168	i7											18336	28609	11	
7	2030	6968825249	7168	i2	2													
8	324	6974596446	7168	i8														59
8	1426	6983789892	7168	i7											18225	20753	30	
8	1440	6983906435	7168	i5			18999.512	33979.824	34587	61857	31							
8	2180	6990080245	364	i4|i52														
8	2314	6991198176	182	i8														758
9	130	6992983755	7168	i8														91
9	660	6997404101	7168	i7											50971	52841	4	
9	806	6998621174	364	i5|i20			18001.373	24064.912	32770	43808	15							
9	966	6999957116	7168	i5|i34			2829.340	19547.746	5151	35585	26							
9	2072	7009182958	7168	i4														
9	2086	7009299051	7168	i2	6													
10	62	7012418219	7168	i8														538
10	92	7012669777	7168	i7											34441	11337	22	
10	134	7013019251	7168	i2	2													
10	588	7016805829	7168	i6|i20								32770	43808	15				
10	1174	7021694768	7168	i7											18052	52609	26	
10	1216	7022044676	7168	i2	0													
10	1248	7022312989	7168	i6|i20								40962	10924	16				
11	2402	7051941657	7168	i1|i4														
12	12	7052008613	7168	i1|i4|i13														
12	84	7052610791	7168	i2|i8	3													931
12	104	7052775655	182	i8														748
12	106	7052792135	7168	i8														280
12	170	7053327144	7168	i7											51064	45137	7	
12	2316	7071227375	364	i6|i20								32770	43808	15				
13	14	7072028329	7168	i5			9878.933	33487.621	17984	60961	19							
13	406	7075298584	7168	i6|i20								40962	10924	16				
13	430	7075498342	364	i6|i20								40962	10924	16				
14	790	7098506141	182	i8														887
14	2102	7109449916	7168	i8|i20														882
14	2128	7109666072	364	i8|i36														384
14	2184	7110135173	7168	i8														283
14	2214	7110384898	7168	i4														
14	2220	7110434772	7168	i8														799
15	12	7112019600	7168	i5			19064.883	29134.709	34706	53037	31							
15	162	7113269878	182	i7											23898	59256	9	
15	180	7113421293	7168	i7|i62											7046	6370	23	
15	524	7116289601	7168	i4|i24|i29		29												
15	532	7116356687	7168	i7|i15|i25											28741	59663	8	
15	646	7117307706	7168	i6								34422	20509	6				
15	888	7119326453	7168	i7											18046	20689	21	
15	906	7119477029	7168	i5			1045.656	19202.766	1904	34957	3							
15	1514	7124548486	7168	i5|i18|i19|i49			6013.825	33947.965	10948	61799	17							
15	1516	7124565070	7168	i5|i16|i19|i49			6050.081	34018.277	11014	61927	17							
15	1722	7126283269	7168	i2|i55|i57|i60	0													
15	1724	7126300598	7168	i2|i55|i57|i60	0													
15	1778	7126750632	364	i7|i52											24578	51231	31	
15	1778	7126750632	364	i8|i52														640
16	388	7135158399	7168	i8|i52														918
16	404	7135292475	364	i7|i52											32770	43808	15	
16	1116	7141234778	7168	i4|i55|i57|i60		4												
16	1258	7142417348	7168	i6								1582	34969	4				
16	1266	7142483279	364	i7|i27											47494	11726	7	
16	1316	7142900033	7168	i8														795
16	1472	7144200855	7168	i4		1												
16	2146	7149822582	7168	i4|i57		9												
17	1150	7161519256	182	i8														943
17	1362	7163287073	7168	i8														799
17	1364	7163304189	7168	i8														541
17	1410	7163686857	7168	i2	6													
17	1438	7163920534	7168	i0|i5|i48			34340.188	14334.024	62513	26094	7							
17	2122	7169626187	7168	i8														186
17	2174	7170060072	7168	i8														798
17	2378	7171761925	182	i8														718
18	118	7172913304	7168	i7											34639	53089	7	
18	960	7179936938	7168	i8														283
18	2254	7190732059	7168	i2	6													
19	420	7195436100	7168	i5			18985.779	19231.330	34562	35009	3							
19	672	7197537799	7168	i8														793
19	676	7197571718	7168	i8														281
19	700	7197773084	7168	i5			9912.441	15625.507	18045	28445	1							
19	1366	7203327704	7168	i0|i1|i4|i24														
19	1664	7205812524	182	i8														434
19	1746	7206496785	7168	i2|i8|i49	2													192
20	650	7217357786	182	i8														779
20	988	7220177470	182	i8														756
20	1122	7221295288	182	i6|i33								3906	10816	0				
20	1254	7222397753	364	i2|i48	0													
20	1256	7222413851	182	i8														4
20	1258	7222429885	182	i8														4
20	1452	7224047975	7168	i5			27985.504	33749.105	50945	61437	6							
21	1196	7241915722	7168	i5			10074.495	1780.114	18340	3241	12							
21	1220	7242116394	7168	i2	2													
22	604	7256980673	7168	i8														798
22	604	7256980673	7168	i7											34436	61525	29	
22	616	7257081351	7168	i6								1668	61529	30				
22	628	7257181238	7168	i4														
22	632	7257214451	7168	i8														30
22	674	7257565127	7168	i2	6													
22	676	7257581604	7168	i2	4													
22	854	7259066550	7168	i4														
22	1008	7260351304	7168	i8														285
22	1036	7260585393	7168	i4														
23	42	7272297349	7168	i8|i56														288
23	378	7275099077	7168	i5			912.717	24724.662	1662	45009	5							
23	570	7276701156	7168	i5			10005.279	15761.741	18214	28693	17							
23	580	7276784277	7168	i7											50742	20497	17	
