at_us	slot	gen	instance	famille	global_id	de	vers
2707569921	2625	1	0	grenade_frag	0xbcabbe43	251	3
2774724773	2618	1	0	grenade_frag	0xbcabbe43	250	2
2774824903	2618	1	0	grenade_frag	0xbcabbe43	25	17
2774874381	2618	1	0	grenade_frag	0xbcabbe43	17	2
2774941446	2618	1	0	grenade_frag	0xbcabbe43	251	90
2782349042	2051	1	0	grenade_frag	0xbcabbe43	233	0
2821293050	2240	1	0	grenade_frag	0xbcabbe43	241	112
