decalage	reel_tous	reel_bande	fantome	dyn_tous	dyn_bande	stat_tous	reel_denom	dyn_denom
86	0.000000	0.000000	0.000000	0.067681	0.000000	0.000000	14	5585
87	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5585
88	0.000000	0.000000	0.000000	0.018442	0.000000	0.000000	14	5585
89	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5585
90	0.071429	0.000000	0.000000	0.000716	0.000000	0.000000	14	5585
91	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5584
92	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5583
93	0.000000	0.000000	0.000000	0.032420	0.000000	0.000000	14	5583
94	0.000000	0.000000	0.000000	0.001433	0.000000	0.000000	14	5583
95	0.000000	0.000000	0.000000	0.002149	0.000000	0.000000	14	5583
96	0.000000	0.000000	0.000000	0.000179	0.000000	0.024390	14	5583
97	0.000000	0.000000	0.000000	0.000537	0.000000	0.000000	14	5583
98	0.000000	0.000000	0.000000	0.000358	0.000179	0.024390	14	5583
99	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5583
100	0.000000	0.000000	0.000000	0.000179	0.000000	0.024390	14	5583
101	0.000000	0.000000	0.207547	0.004478	0.000000	0.000000	14	5583
102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5583
103	0.000000	0.000000	0.000000	0.000537	0.000000	0.000000	14	5583
104	0.000000	0.000000	0.000000	0.014867	0.000000	0.000000	14	5583
105	0.357143	0.285714	0.000000	0.009851	0.000000	0.000000	14	5583
106	0.000000	0.000000	0.000000	0.011463	0.000000	0.000000	14	5583
107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5583
108	0.000000	0.000000	0.000000	0.000716	0.000000	0.000000	14	5583
109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5583
110	0.000000	0.000000	0.000000	0.001970	0.000000	0.000000	14	5583
111	0.000000	0.000000	0.000000	0.000896	0.000179	0.000000	14	5581
112	0.000000	0.000000	0.113208	0.000000	0.000000	0.000000	14	5581
113	0.000000	0.000000	0.000000	0.000358	0.000000	0.000000	14	5579
114	0.000000	0.000000	0.000000	0.000358	0.000000	0.000000	14	5579
115	0.428571	0.000000	0.000000	0.000896	0.000000	0.000000	14	5579
116	0.000000	0.000000	0.000000	0.026887	0.000000	0.000000	14	5579
117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14	5579
118	0.000000	0.000000	0.000000	0.005377	0.000179	0.024390	14	5579
119	0.000000	0.000000	0.000000	0.002689	0.000000	0.000000	14	5579
120	0.000000	0.000000	0.000000	0.000358	0.000000	0.000000	14	5579
121	0.071429	0.000000	0.000000	0.005019	0.000000	0.024390	14	5579
122	0.000000	0.000000	0.000000	0.005198	0.000000	0.000000	14	5579
123	0.000000	0.000000	0.000000	0.004123	0.000000	0.000000	14	5579
124	0.000000	0.000000	0.000000	0.002151	0.000000	0.000000	14	5579
125	0.071429	0.000000	0.000000	0.004481	0.000000	0.000000	14	5579
126	0.000000	0.000000	0.000000	0.693852	0.624664	0.000000	14	5579
127	0.000000	0.000000	0.000000	0.000358	0.000000	0.000000	14	5579
128	0.000000	0.000000	0.000000	0.001255	0.000000	0.000000	14	5579
129	0.000000	0.000000	0.000000	0.001075	0.000000	0.000000	14	5579
130	0.000000	0.000000	0.301887	0.000000	0.000000	0.024390	14	5579
131	0.071429	0.000000	0.000000	0.001434	0.000000	0.000000	14	5579
132	0.000000	0.000000	0.207547	0.001075	0.000000	0.000000	14	5579
133	0.000000	0.000000	0.000000	0.001434	0.000000	0.024390	14	5579
134	0.000000	0.000000	0.000000	0.001972	0.000000	0.024390	14	5579
135	0.000000	0.000000	0.000000	0.000896	0.000000	0.000000	14	5579
136	0.000000	0.000000	0.000000	0.001255	0.000000	0.000000	14	5579
137	0.000000	0.000000	0.000000	0.068830	0.000000	0.000000	14	5579
138	0.000000	0.000000	0.000000	0.000717	0.000000	0.000000	14	5579
139	0.000000	0.000000	0.000000	0.018821	0.000000	0.000000	14	5579
140	0.071429	0.000000	0.000000	0.000179	0.000000	0.000000	14	5579
141	0.000000	0.000000	0.000000	0.001075	0.000000	0.000000	14	5579
142	0.000000	0.000000	0.000000	0.000717	0.000000	0.000000	14	5578
143	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5577
144	0.000000	0.000000	0.000000	0.032634	0.000000	0.000000	14	5577
145	0.000000	0.000000	0.000000	0.001614	0.000000	0.000000	14	5577
146	0.071429	0.000000	0.000000	0.002510	0.000000	0.024390	14	5577
147	0.071429	0.000000	0.000000	0.000359	0.000000	0.000000	14	5577
148	0.000000	0.000000	0.000000	0.000897	0.000000	0.000000	14	5577
149	0.000000	0.000000	0.000000	0.000897	0.000179	0.000000	14	5577
150	0.000000	0.000000	0.000000	0.000538	0.000000	0.024390	14	5577
151	0.000000	0.000000	0.000000	0.000717	0.000000	0.000000	14	5577
152	0.000000	0.000000	0.000000	0.004662	0.000000	0.000000	14	5577
153	0.000000	0.000000	0.000000	0.000000	0.000000	0.024390	14	5577
154	0.000000	0.000000	0.000000	0.000897	0.000000	0.000000	14	5577
155	0.000000	0.000000	0.000000	0.015958	0.000000	0.000000	14	5577
156	0.000000	0.000000	0.000000	0.010041	0.000000	0.000000	14	5577
157	0.071429	0.000000	0.000000	0.012731	0.000000	0.000000	14	5577
158	0.000000	0.000000	0.000000	0.000538	0.000000	0.048780	14	5577
159	0.000000	0.000000	0.000000	0.003407	0.000000	0.073171	14	5577
160	0.000000	0.000000	0.000000	0.000000	0.000000	0.024390	14	5577
161	0.000000	0.000000	0.000000	0.002152	0.000000	0.000000	14	5577
162	0.000000	0.000000	0.000000	0.001076	0.000179	0.000000	14	5575
163	0.000000	0.000000	0.000000	0.000538	0.000000	0.000000	14	5575
164	0.000000	0.000000	0.000000	0.002333	0.000000	0.000000	14	5573
165	0.000000	0.000000	0.000000	0.000718	0.000179	0.000000	14	5573
166	0.000000	0.000000	0.000000	0.003409	0.000000	0.000000	14	5573
167	0.071429	0.000000	0.000000	0.020276	0.000000	0.000000	14	5573
168	0.000000	0.000000	0.000000	0.000179	0.000000	0.000000	14	5573
169	0.000000	0.000000	0.000000	0.004665	0.000179	0.000000	14	5573
170	0.071429	0.000000	0.000000	0.002871	0.000000	0.000000	14	5573
171	0.000000	0.000000	0.000000	0.018841	0.000000	0.000000	14	5573
172	0.000000	0.000000	0.000000	0.005024	0.000000	0.000000	14	5573
173	0.000000	0.000000	0.000000	0.005204	0.000000	0.000000	14	5573
174	0.000000	0.000000	0.000000	0.004127	0.000000	0.000000	14	5573
175	0.000000	0.000000	0.000000	0.002333	0.000000	0.000000	14	5573
176	0.000000	0.000000	0.000000	0.004665	0.000000	0.000000	14	5573
