3780313094,3780378632,99,0,4294967295,149
3780509708,3780116480,100,0,4294967295,149
3780247556,3780444170,100,0,4294967295,149
3780182018,3780313094,100,0,4294967295,149
3780575246,3780444170,100,0,4294967295,149
3780116480,3780378632,100,0,4294967295,149
3780247556,3780509708,99,0,4294967295,149
3780575246,3780378632,100,0,4294967295,149
3780509708,3780313094,100,0,4294967295,149
3780313094,3780509708,73,0,4294967295,149
3780182018,3780247556,100,0,4294967295,149
3780116480,3780444170,68,0,3780378632,31
3780444170,3780247556,39,0,4294967295,149
3780247556,3780378632,100,0,4294967295,149
3780378632,3780313094,100,0,4294967295,149
3780575246,3780509708,100,0,4294967295,149
3780116480,3780182018,100,0,4294967295,149
3780182018,3780116480,100,0,4294967295,149
3780575246,3780444170,72,0,3780378632,27
3780444170,3780313094,100,0,4294967295,149
3780182018,3780247556,100,0,4294967295,149
3780378632,3780116480,37,0,3780313094,62
3780247556,3780509708,119,0,4294967295,149
3780444170,3780116480,100,0,4294967295,149
3780575246,3780182018,100,0,4294967295,149
3780116480,3780182018,50,0,3780378632,45
3780313094,3780378632,67,0,3780509708,32
3780444170,3780575246,100,0,4294967295,149
3780575246,3780444170,100,0,4294967295,149
3780378632,3780313094,100,0,4294967295,149
3780509708,3780247556,99,0,4294967295,149
3780182018,3780313094,100,0,4294967295,149
3780247556,3780509708,99,0,4294967295,149
3780575246,3780182018,0,0,3780444170,99
3780509708,3780116480,100,0,4294967295,149
3780116480,3780182018,100,0,4294967295,149
3780182018,3780313094,100,0,4294967295,149
3780313094,3780444170,100,0,4294967295,149
3780378632,3780247556,99,0,4294967295,149
3780116480,3780182018,100,0,4294967295,149
3780444170,3780313094,14,0,3780116480,85
3780575246,3780182018,100,0,4294967295,149
3780182018,3780575246,81,0,4294967295,149
3780378632,3780247556,99,0,4294967295,149
3780444170,3780313094,99,0,4294967295,149
3780247556,3780509708,100,0,4294967295,149
3780182018,3780116480,34,0,4294967295,149
3780247556,3780378632,100,0,4294967295,149
3780313094,3780444170,100,0,4294967295,149
3780378632,3780116480,100,0,4294967295,149
3780116480,3780182018,39,0,3780378632,60
3780182018,3780575246,100,0,4294967295,149
3780247556,3780444170,67,0,3780509708,32
3780313094,3780509708,100,0,4294967295,149
3780575246,3780378632,99,0,4294967295,149
3780313094,3780444170,100,0,4294967295,149
3780575246,3780378632,100,0,4294967295,149
3780444170,3780247556,99,0,4294967295,149
3780116480,3780509708,84,0,3780444170,45
3780247556,3780509708,100,0,4294967295,149
3780509708,3780313094,88,0,4294967295,149
3780313094,3780509708,100,0,4294967295,149
3780247556,3780378632,71,0,4294967295,149
3780182018,3780313094,31,0,3780575246,68
3780247556,3780378632,100,0,4294967295,149
3780444170,3780116480,100,0,4294967295,149
3780378632,3780313094,100,0,4294967295,149
3780575246,3780509708,100,0,4294967295,149
3780313094,3780182018,1,0,3780378632,98
3780247556,3780509708,100,0,4294967295,149
3780182018,3780116480,99,0,4294967295,149
3780509708,3780575246,99,0,4294967295,149
3780444170,3780116480,99,0,4294967295,149
3780378632,3780575246,63,0,3780313094,36
3780509708,3780575246,99,0,4294967295,149
3780313094,3780378632,66,0,3780182018,45
3780247556,3780182018,100,0,4294967295,149
3780575246,3780378632,100,0,4294967295,149
3780313094,3780182018,1,0,3780378632,98
3780182018,3780116480,100,0,4294967295,149
3780378632,3780247556,99,0,4294967295,149
3780575246,3780444170,100,0,4294967295,149
3780313094,3780509708,100,0,4294967295,149
3780509708,3780116480,67,0,3780313094,32
3780444170,3780116480,100,0,4294967295,149
3780116480,3780182018,100,0,4294967295,149
3780247556,3780182018,90,0,4294967295,149
3780313094,3780182018,100,0,4294967295,149
3780182018,3780313094,100,0,4294967295,149
3780509708,3780575246,100,0,4294967295,149
3780378632,3780575246,67,0,3780247556,32
3780444170,3780313094,100,0,4294967295,149
3780575246,3780509708,93,0,4294967295,149
3780313094,3780182018,31,0,4294967295,149
3780182018,3780116480,65,0,4294967295,149
3780509708,3780378632,100,0,4294967295,149
3780378632,3780378632,100,1,4294967295,149
3780247556,4294967295,0,1,4294967295,0
3780116480,3780378632,100,0,4294967295,149
