000d5950	2533274980284321	35306	PLACE
000d5950	2533274882097883	43565	aucun_tir
000d5950	2533274823110022	44449	aucun_tir
000d5950	2535437947245250	46651	PLACE
000d5950	2533274826120416	52240	aucun_tir
000d5950	2535467794760703	58580	PLACE
000d5950	2533274823110022	62936	aucun_tir
000d5950	2533274826120416	68957	PLACE
000d5950	2533274882097883	69207	PLACE
000d5950	2533274980284321	72060	aucun_tir
000d5950	2535437947245250	104995	PLACE
000d5950	2535467794760703	111185	aucun_tir
000d5950	2535444178793711	112869	aucun_tir
000d5950	2533274823110022	115537	PLACE
000d5950	2533274815845110	124713	PLACE
000d5950	2533274826120416	126949	non_place
000d5950	2535467794760703	128850	PLACE
000d5950	2535437947245250	129000	PLACE
000d5950	2533274826120416	141897	aucun_tir
000d5950	2535444178793711	147569	PLACE
000d5950	2535437947245250	149471	PLACE
000d5950	2533274815845110	156529	PLACE
000d5950	2533274823110022	156996	aucun_tir
000d5950	2535444178793711	166739	aucun_tir
000d5950	2533274826120416	168276	aucun_tir
000d5950	2535467794760703	176017	aucun_tir
000d5950	2533274980284321	176752	PLACE
000d5950	2535444178793711	188296	PLACE
000d5950	2533274826120416	188298	aucun_tir
000d5950	2533274815845110	192549	PLACE
000d5950	2533274882097883	192884	aucun_tir
000d5950	2535437947245250	196227	aucun_tir
000d5950	2533274823110022	208473	aucun_tir
000d5950	2533274826120416	212008	PLACE
000d5950	2533274882097883	213995	aucun_tir
000d5950	2535467794760703	216062	aucun_tir
000d5950	2535437947245250	218316	aucun_tir
000d5950	2533274980284321	222753	PLACE
000d5950	2533274815845110	230628	aucun_tir
000d5950	2535467794760703	233680	PLACE
000d5950	2535444178793711	235901	aucun_tir
000d5950	2533274826120416	238820	PLACE
000d5950	2535437947245250	238821	PLACE
000d5950	2533274815845110	258590	aucun_tir
000d5950	2535444178793711	262994	aucun_tir
000d5950	2533274823110022	266563	PLACE
000d5950	2535437947245250	281178	PLACE
000d5950	2533274823110022	292490	aucun_tir
000d5950	2533274980284321	294708	PLACE
000d5950	2533274815845110	296311	aucun_tir
000d5950	2535467794760703	297913	PLACE
000d5950	2535437947245250	305905	aucun_tir
000d5950	2533274823110022	308205	aucun_tir
000d5950	2533274980284321	310141	PLACE
000d5950	2533274826120416	313194	PLACE
000d5950	2533274980284321	323870	PLACE
000d5950	2533274826120416	327909	aucun_tir
000d5950	2535444178793711	329795	PLACE
000d5950	2535467794760703	334182	aucun_tir
000d5950	2533274823110022	337669	aucun_tir
000d5950	2533274882097883	343241	aucun_tir
000d5950	2533274980284321	344592	aucun_tir
000d5950	2533274823110022	355704	aucun_tir
000d5950	2535437947245250	370736	aucun_tir
000d5950	2533274823110022	375105	PLACE
000d5950	2535444178793711	378460	aucun_tir
000d5950	2533274815845110	379026	PLACE
000d5950	2533274826120416	379178	aucun_tir
000d5950	2533274980284321	380879	aucun_tir
000d5950	2533274823110022	391122	non_place
000d5950	2535437947245250	394459	aucun_tir
000d5950	2533274882097883	397763	aucun_tir
000d5950	2535444178793711	397963	aucun_tir
000d5950	2533274815845110	401167	aucun_tir
000d5950	2533274882097883	417966	aucun_tir
