film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
2751de29	4	0	3	87394,358344,463869,471960	-
282ced4c	3	0	0	253676,294237,383844	-
287eb52f	1	0	0	102932	-
28d77409	1	0	4	391519	-
29397c98	1	1	2	265308	308068
2960a7c3	1	0	2	66239	-
29c86213	2	0	0	316896,510359	-
2a03a320	2	0	0	148502,299504	-
2acc306f	1	4	10	222208	338990,378567,400134,431112
2b10340d	0	1	5	-	509598
2ba491cf	1	0	0	389245	-
2c9dfd5d	1	0	0	401887	-
2cd7ce01	3	0	3	60600,313910,364678	-
2ce58582	3	0	1	504931,578771,590415	-
2cfc73bf	5	0	1	135838,193897,248052,470260,552526	-
2d1c56ba	0	1	8	-	44193
2db2ff27	4	0	3	79865,132334,312014,367370	-
2e82863e	4	0	4	248307,258349,259368,500678	-
2f05dc98	2	0	11	526277,682774	-
2f1c475e	1	0	0	393849	-
3046f99e	1	0	2	308939	-
30623772	2	0	2	136489,314934	-
30724141	3	0	1	37622,386197,407518	-
30a23d15	1	1	6	272084	409288
30bdcae7	1	0	1	191025	-
30eaa247	1	0	0	457558	-
3158d49c	1	0	0	135425	-
315ba3e0	3	0	0	56846,71995,295853	-
31d5e7e7	3	0	0	294783,300039,503727	-
3274c610	1	1	15	405092	411369
3277e050	1	0	2	243731	-
32acd9bf	6	0	1	222895,288110,308230,347335,355594,376982	-
32d9a94f	3	1	3	105071,319353,405073	62679
33132a78	1	0	0	334597	-
331ff98d	1	0	0	486580	-
332771b8	0	1	6	-	287829
34001ec2	2	1	7	87586,418475	105507
340584f6	5	0	3	444095,448872,481813,492730,546608	-
34bb3bc8	1	0	7	475049	-
34dac77d	1	0	2	339795	-
350c546e	1	0	2	288339	-
350f915f	3	0	0	237808,262066,264300	-
3523df2b	2	0	2	164268,315320	-
353367d6	1	0	0	133772	-
3578fb64	1	0	0	472452	-
35b75a31	5	0	0	74472,262413,273222,292491,506575	-
35f5cdea	4	0	3	156799,158752,242564,453111	-
36ce2e1a	4	0	0	402112,422716,443704,498658	-
378659b1	3	0	11	413708,938034,1205770	-
37f8b21c	4	0	12	274807,676782,719762,729573	-
381230b2	1	0	1	208365	-
3824e8eb	6	0	1	129229,136720,139539,308060,326810,460246	-
3826a624	1	0	1	283444	-
386c917b	3	0	1	79832,95882,274295	-
38c35c65	1	0	13	244116	-
38e7c328	1	0	0	91204	-
38f7d316	3	0	0	180601,251957,265153	-
395251d2	3	1	2	316515,319587,509004	117259
3b1cfde3	1	0	1	233886	-
3b1de706	1	0	0	238150	-
3b289bd8	0	1	2	-	431154
