film	no_scope	counter_snipe	snipe	instants_no_scope_ms	instants_counter_ms
ad22b95f	7	1	1	55412,82808,118993,144388,171161,204728,421132	469945
ad5876aa	2	0	6	401825,598055	-
ad675001	1	0	0	262962	-
ad6a8b83	3	0	3	134160,571351,718118	-
ade271ff	1	0	4	196271	-
ade6c182	4	0	0	47353,60298,410173,428242	-
ae9c32df	3	0	0	139419,334682,339269	-
aed65645	2	0	0	64664,169002	-
aef92f0d	1	0	0	342710	-
aeff000f	3	0	1	192047,356823,433924	-
af3500aa	2	0	3	349138,481691	-
af43b0c8	1	0	6	712702	-
b019295a	3	0	0	46939,54480,228538	-
b03e3ebe	4	0	1	43648,309031,351507,568161	-
b097442e	5	0	1	84404,94464,120106,176964,199203	-
b0fe12b1	2	0	0	255460,438211	-
b1547a24	4	1	3	47484,83170,154665,316101	294663
b1b62f38	4	0	6	68967,364527,371667,374203	-
b1bcbe24	0	3	11	-	297649,781085,809172
b1f01a33	8	0	4	111765,114567,127797,361149,401673,443081,451039,466722	-
b1f2f721	3	0	1	77148,142579,308131	-
b1f2fec4	3	0	0	47068,47070,100312	-
b232e02d	1	0	1	482421	-
b250c582	5	0	0	157594,183203,329733,341778,503745	-
b31a5558	2	0	3	128689,582875	-
b38f99d9	2	0	0	449739,506782	-
b3d9bcfa	3	0	1	90706,122363,425964	-
b4035a67	7	1	11	111380,466970,511051,521692,782622,991394,999106	482387
b429a7d3	1	0	10	870540	-
b439b24d	2	0	7	160713,256588	-
b4c244d7	3	0	0	70843,88277,485627	-
b54b8326	1	1	9	297728	55821
b593eeef	3	1	4	118838,139961,279537	58707
b5aee528	3	1	3	171831,463289,536497	526353
b5d130ad	2	0	0	508928,517038	-
b6fe9d90	2	1	2	168363,420833	74016
b71d39db	4	0	1	261038,316994,365631,501795	-
b7618780	4	0	1	54912,57768,270778,356563	-
b7b37365	1	0	5	292069	-
b81f6415	4	0	13	101857,231259,925945,942696	-
b8335ed3	5	0	1	202750,224305,309503,321583,384417	-
b8367114	3	0	0	298050,304974,311663	-
b859f650	2	0	1	71023,376967	-
b85c0a5f	4	0	4	389007,430799,438039,461580	-
b8c71eba	1	0	0	247017	-
b8ee2bbc	3	0	3	310290,313142,470660	-
b91be4c0	2	0	7	384023,453376	-
b955bf2a	4	0	9	96750,215275,254265,447926	-
b9db24b5	0	1	1	-	234941
ba5a8707	4	0	0	147004,177793,219152,383692	-
ba924783	2	0	0	328801,394302	-
baaddf44	4	0	0	57297,66305,76432,96903	-
bad216d6	1	0	0	598444	-
bae3c18b	2	0	8	58989,363663	-
bb0d089d	1	0	0	92147	-
bb71460d	4	0	0	32777,40238,216565,233033	-
bbaf1271	2	0	1	77447,104241	-
bc0bdda3	1	0	3	616469	-
bc60b4d9	1	0	2	292181	-
bc918a5a	3	0	3	58499,413008,475754	-
bce52f56	2	0	0	298288,305412	-
bd133927	3	0	1	143530,246388,485927	-
bd3b0c08	13	13	14	95608,117445,138483,164943,280093,308104,310723,318415,381410,408888,424654,473988,490755	67128,132127,185631,198845,200179,217478,290870,357671,369816,408872,445743,463561,468147
bd4a7521	1	0	0	110517	-
bdb35a18	2	0	1	182940,468658	-
bdd4b8f5	3	0	2	44966,194683,638380	-
be02e617	1	0	1	410738	-
be758198	2	0	21	595404,998342	-
bea2e2c0	3	0	2	213220,342049,498072	-
beb549bf	4	0	1	143214,168205,181335,419544	-
beebadfe	3	0	1	110511,246233,537794	-
beee41a2	6	0	2	67174,78969,83040,95386,259534,366142	-
bf07bdd8	2	0	0	149896,243596	-
bf15f7ab	4	0	0	171620,200533,307512,464236	-
bf2a9f05	3	0	3	103491,230002,720445	-
bf5ced1b	1	0	2	131459	-
bf831a6b	3	0	7	125912,134553,238860	-
bf977d82	2	0	1	192254,230376	-
bfcd1175	2	0	0	343000,507007	-
bff0c899	4	0	4	252184,353384,398796,425056	-
c029cf8c	4	0	1	79169,210941,304508,329599	-
c0be09da	2	0	1	408029,465376	-
c0dace44	5	0	2	229546,231531,442305,526797,572411	-
c139818f	1	1	5	324299	560972
c1b4391a	3	0	2	39126,59079,253446	-
c2743ee9	1	0	4	416290	-
c3256313	7	0	1	47000,49769,121391,159479,174661,180050,193163	-
c32b79dc	1	0	1	466939	-
c34fa18f	2	0	1	292745,313152	-
c4e341f3	1	0	9	172125	-
c5094b31	1	0	2	375439	-
c59367b7	4	0	0	240273,248797,309662,341402	-
c5ba9aca	1	0	0	431738	-
c6250266	1	0	0	106113	-
c660b4fa	2	0	2	243629,404409	-
c699836e	1	0	0	243339	-
c6d12fd4	2	0	3	195707,514180	-
c6db0991	1	0	4	468657	-
c6ed4c12	2	1	7	126119,388883	610221
c6f974fa	3	0	1	92344,106577,273238	-
c76603d2	2	0	2	43997,250821	-
c771602a	4	0	1	37570,119953,273676,293246	-
c7843f15	2	0	0	224312,226598	-
c7b37f05	1	1	7	59431	151771
c7ba5c8c	1	0	2	392490	-
c7f6621e	1	0	1	226063	-
c7f78280	8	0	1	46850,64217,254482,278473,392805,396759,416613,448227	-
c7f94693	7	0	2	125615,231271,265955,266224,352910,436444,468777	-
c95535e9	7	3	17	83521,85257,149856,307280,679922,783259,829406	166739,659468,798371
c97e039d	2	0	0	104245,438418	-
ca684191	4	0	4	340641,348415,352987,439241	-
ca75a370	2	0	2	292328,344430	-
cab2191d	2	0	2	122401,368399	-
cae8471d	1	0	5	73667	-
cb55aa4c	1	0	0	208612	-
cbbd7404	1	0	1	137341	-
cbd4f623	6	0	0	59579,289907,307690,333550,334484,427916	-
cc493291	1	0	1	83287	-
cd13cc20	3	0	4	124162,352074,416923	-
cd4edfc5	2	0	4	432993,475919	-
cd566380	3	0	0	71842,207230,222562	-
cd802d23	6	0	4	126616,146586,196469,202158,213069,560285	-
cd89b091	3	0	5	90523,366034,574844	-
cdb0ffcf	8	0	15	124446,281178,432370,453254,458493,550760,666178,807962	-
cdcf3d01	1	0	0	480556	-
cde26226	3	1	4	619849,647027,808565	784473
ce083875	3	0	2	130341,503854,566534	-
ce927bd2	2	0	0	88216,120114	-
cecbc053	1	0	0	248971	-
cf23a92a	1	0	0	130573	-
cf23bfed	5	0	0	112016,237812,260869,262988,270277	-
cf3a088b	2	1	2	123914,202678	405080
cf5d83d5	1	0	6	522466	-
cf6465d1	10	1	0	122445,145284,200707,278235,291466,312604,335927,354531,356766,390315	214070
cf7fed9f	2	0	0	306414,585313	-
cfb85a58	2	0	3	196357,293104	-
d028a503	1	0	0	190944	-
d131f870	0	2	6	-	54111,497674
d1a18847	5	0	2	116587,198686,208112,225947,378103	-
d1dfbc02	2	0	0	564449,574492	-
d1f81059	1	0	0	354600	-
d24d9dea	3	0	1	322689,341008,445414	-
d263c741	1	0	1	555732	-
d2c64f8c	7	1	17	236774,363339,413555,573216,761077,761945,1058183	243118
d2d04050	3	0	8	128584,166573,477231	-
d332c3a9	1	0	1	393663	-
d33c964d	1	0	0	470944	-
d3b139c6	6	0	0	108447,201527,432976,511623,559338,569731	-
d3c26804	5	0	9	463345,599183,630447,648299,801019	-
d3df73d9	2	0	3	117661,302747	-
d4230304	2	0	1	231547,316899	-
d4ebdd5d	4	0	0	151037,177880,200654,430068	-
d5111d8d	1	0	0	263308	-
d550a059	2	0	2	278135,465126	-
d5bbf57c	5	0	20	493147,514601,527378,545800,549738	-
d64b7736	2	0	0	166037,245500	-
d696ad89	1	0	0	441847	-
d6a9a42e	2	0	0	262402,380392	-
d77fab11	3	0	6	255522,257824,258608	-
d7e0d591	1	0	3	375694	-
d8b13ec2	4	0	2	54800,724624,734064,741038	-
d8c7d880	1	1	5	763706	657233
d910c799	3	0	1	357483,370480,556399	-
d912604d	2	0	6	49494,478266	-
d91e85b4	1	0	5	467722	-
d9238334	1	0	2	443361	-
d9781168	2	0	1	76834,634505	-
d9db420b	3	1	0	151290,337227,345385	326299
da168525	3	1	6	99958,247188,404812	47947
da3bcc3f	2	0	2	68020,84104	-
da714bb9	1	0	0	276133	-
dae9cc00	2	0	0	441358,444528	-
db3c6d90	2	1	6	130376,272419	407505
db59cf66	3	0	1	49086,359666,377467	-
dbb4cd56	1	0	0	439413	-
dc0d9e19	1	0	2	242778	-
dc7bbf5b	3	0	10	62118,506954,568433	-
dcafe573	3	0	2	200593,243825,261477	-
dcf44b35	1	0	4	115821	-
dd189c61	2	1	6	324673,410377	180374
dd29957c	0	1	7	-	351732
dd3095de	3	0	0	52890,159839,291557	-
ddccdf23	3	0	0	454443,471443,485697	-
de2e8f8c	4	0	0	146584,157227,354241,387325	-
de3cec8b	2	0	1	93406,211709	-
de550699	3	0	0	211518,478036,551144	-
de7c1986	2	0	3	64989,441791	-
df8fcbef	2	0	0	77516,229746	-
dfa4e7e7	2	0	2	203045,409403	-
e06eb87d	1	0	0	110622	-
e0c325d9	2	1	21	584039,834017	597118
e0d14072	1	0	0	120536	-
e12b16c7	1	0	1	141479	-
e13b44cc	2	0	0	62701,176132	-
e151b467	1	0	1	538221	-
e221fbb7	3	0	0	118242,163938,333075	-
e232ffce	2	0	7	238535,401082	-
e30f93c4	2	0	1	56376,248387	-
e318a8b0	1	0	4	311197	-
e3a2c1e9	1	0	3	267336	-
e3b10d4b	3	0	3	496790,496839,570031	-
e3c2cabe	1	0	3	410674	-
e516dae1	3	0	2	130703,323544,340230	-
e564622c	3	0	1	143233,157846,343316	-
e5adf7b2	1	1	4	439700	270660
e5b45563	6	1	6	98722,105011,215123,279187,404413,405565	394654
e5cf66d6	1	0	3	140466	-
e5d7b81d	1	0	1	268546	-
e61dbcd9	3	0	0	206975,295532,388992	-
e624c2a4	3	0	0	86603,110267,443468	-
e6613dcd	1	0	3	62141	-
e67ad176	2	1	6	278511,478120	429763
e6b8a4e6	2	0	0	533736,540643	-
e71f9bae	3	0	2	224874,416952,418019	-
e7e27162	1	0	5	297548	-
e8088c9e	2	0	0	172510,330586	-
e869bcdf	1	0	0	37690	-
e884797a	7	0	0	67237,126948,152490,155393,220492,261049,401407	-
e8ce4217	1	0	0	380206	-
e96070e2	3	0	1	556402,573038,602165	-
e99e9ee1	2	1	12	399627,801397	763425
e9ed0da6	1	0	4	251100	-
ea24327b	1	1	3	194805	571667
eaed079b	4	0	3	182054,234013,290770,550767	-
eb109229	5	0	1	170955,346449,351805,482020,507663	-
eb665a8f	2	0	3	618477,663439	-
ebebb868	4	0	0	207545,279300,296551,308579	-
ebfb64f2	2	0	0	215285,451340	-
ec422a43	5	0	2	56460,142330,261551,322562,386877	-
ec62cb21	4	0	4	201582,399799,453736,459224	-
ed8adf67	2	0	1	103133,214589	-
edf7983b	2	0	3	90431,110168	-
ee927522	2	0	0	159083,385194	-
eeaf049b	1	0	4	50672	-
eed0830b	7	0	1	61297,69622,103990,106192,140461,367287,376715	-
ef058ab4	1	0	1	86593	-
efe716b4	1	0	6	640595	-
f031fe5e	3	1	6	77312,91260,407832	55307
f060a151	2	0	0	257301,430746	-
f097225d	3	0	0	195297,509416,523964	-
f0a0115a	4	0	4	210926,229935,420913,517963	-
f0e00d6b	2	1	3	56429,90062	263802
f0f391f3	13	0	10	124146,178267,202260,237862,386645,412838,431923,438697,499558,568795,603196,611968,624950	-
f0ff18c7	1	0	0	73911	-
f10237b1	1	0	3	50649	-
f144db25	10	4	11	166568,172106,183184,188490,189191,189557,193128,204639,207142,213249	206438,212180,220356,223125
f1ae35b7	4	0	1	327405,337165,424019,428990	-
f1ae8345	1	0	3	535345	-
f1bcda31	3	0	4	271494,329102,422280	-
f1e41f31	6	0	3	87224,184254,197119,204376,238893,264053	-
f2d3c1ee	4	0	1	230807,276519,295288,515027	-
f2e14485	6	0	1	111481,126730,176613,194548,202575,244383	-
f2f81265	5	0	7	161299,300306,360515,431070,531054	-
f337cd0b	5	0	2	319362,328171,378671,425424,469684	-
f3389a07	4	0	0	61134,128051,161818,277719	-
f36db941	1	0	1	286781	-
f37771d1	3	0	0	228350,465769,695086	-
f3a5f67d	1	1	5	578855	460586
f3bc46ab	5	0	1	95498,200586,358899,378502,387727	-
f3e3112f	4	1	1	64605,95002,111452,248456	88528
f3e6c715	0	1	5	-	213902
f413fdb9	4	0	1	43652,86729,329890,390768	-
f42009fc	2	0	0	125396,127916	-
f43acfd2	1	1	3	613367	438107
f4bf70d0	3	0	0	70628,224104,399441	-
f51f5b70	2	0	6	60783,74512	-
f5443e17	1	0	7	465933	-
f54d20b0	7	0	1	155195,156914,166257,207782,213756,270096,296072	-
f561c050	2	0	2	159448,193533	-
f59c9332	1	0	5	119708	-
f6315f2a	1	0	5	294686	-
f6a9d127	3	1	7	121644,194518,203276	171430
f6c0d615	3	0	7	175551,203548,309723	-
f710d2cc	8	0	0	79581,179281,195698,281134,319206,400655,403991,412750	-
f7270782	4	1	3	546987,554027,558248,561900	541097
f79270ac	1	1	2	195604	120561
f795dbb3	6	0	0	98417,102204,119072,131217,201121,231618	-
f82203b7	2	0	5	238398,268930	-
f8e8dc37	2	0	6	522834,537917	-
f9873569	2	1	2	123742,285355	217901
fa553373	1	0	2	85614	-
fa5cc511	2	0	3	107581,124814	-
fa5d118b	1	0	1	47926	-
faff9935	1	0	0	364413	-
fb1a1a72	1	0	3	196325	-
fbc7ed74	1	0	1	251216	-
fbe4ebeb	7	0	0	191314,198221,307331,309917,314038,330288,487714	-
fbef8f77	3	0	0	225329,250038,254125	-
fc1465f2	1	0	1	432556	-
fccbc006	4	0	1	76378,225113,241981,314724	-
fccc61cd	5	0	3	143153,147006,170279,227756,236464	-
fd42d87e	2	0	3	83315,445441	-
fd4c697c	4	0	4	201157,372059,397301,407228	-
fd87a22e	3	0	1	73789,342676,405789	-
fd8ac070	0	2	11	-	90452,666773
fdcc8634	1	0	0	196235	-
ff397ff3	0	1	10	-	60315
ffe72efa	4	0	2	64606,152042,154662,218826	-
