comp_de,comp_vers,x1,y1,z1,x2,y2,z2,poitrine_libre,obst_poitrine_x,obst_poitrine_y,obst_poitrine_z,saut_libre,obst_saut_x,obst_saut_y,obst_saut_z
0,1,-2.25,-19.25,0.52,-3.25,-18.25,0.51,false,-2.38,-19.12,1.83,false,-2.12,-19.12,2.33
0,1,-2.25,-18.75,0.52,-3.25,-18.25,0.51,false,-2.38,-18.62,1.83,false,-2.12,-18.62,2.33
0,1,-2.25,-18.75,0.52,-3.25,-17.75,0.51,false,-2.38,-18.62,1.83,false,-2.12,-18.62,2.33
0,1,-2.25,-18.25,0.51,-3.25,-18.25,0.51,false,-2.62,-18.12,1.83,false,-2.12,-18.12,2.33
0,1,-2.25,-18.25,0.51,-3.25,-17.75,0.51,false,-2.62,-18.12,1.83,false,-2.12,-18.12,2.33
0,1,-2.25,-17.75,0.51,-3.25,-18.25,0.51,false,-2.62,-17.88,1.83,false,-2.38,-17.88,2.33
0,1,-2.25,-17.75,0.51,-3.25,-17.75,0.51,false,-2.62,-17.62,1.83,false,-2.62,-17.62,2.33
0,1,-2.25,-17.25,0.53,-3.25,-18.25,0.51,false,-2.62,-17.38,1.83,false,-2.62,-17.38,2.33
0,1,-2.25,-17.25,0.53,-3.25,-17.75,0.51,false,-2.62,-17.38,1.83,false,-2.62,-17.38,2.33
0,1,-2.25,-16.75,1.10,-3.25,-17.75,0.51,false,-2.38,-16.62,2.33,false,-2.38,-16.62,3.08
0,1,-1.75,-9.75,0.00,-1.25,-8.75,1.58,false,-1.38,-9.12,2.83,false,-1.38,-9.12,3.58
0,1,-1.25,-9.75,0.01,-1.25,-8.75,1.58,false,-1.12,-9.12,2.83,false,-1.12,-9.12,3.58
0,1,-0.75,-9.75,0.00,-1.25,-8.75,1.58,false,-1.12,-9.12,2.83,false,-1.12,-9.12,3.58
0,1,-0.25,-9.75,0.00,-1.25,-8.75,1.58,false,-0.88,-9.12,2.83,false,-0.88,-9.12,3.58
0,1,-1.25,-9.25,0.01,-1.25,-8.75,1.58,false,-1.12,-9.12,2.83,false,-1.12,-9.12,3.58
0,1,-0.75,-9.25,0.00,-1.25,-8.75,1.58,false,-0.88,-9.12,2.83,false,-0.88,-9.12,3.58
0,1,-0.25,-9.25,0.00,-1.25,-8.75,1.58,false,-0.88,-9.12,2.83,false,-0.88,-9.12,3.58
0,1,-2.25,-8.75,0.24,-1.25,-8.75,1.58,false,-2.12,-8.62,2.83,false,-1.62,-8.62,3.58
0,1,-0.75,-8.75,0.01,-1.25,-8.75,1.58,false,-0.88,-8.62,2.83,false,-0.88,-8.62,3.58
0,1,-0.25,-8.75,0.01,-1.25,-8.75,1.58,false,-0.88,-8.62,2.83,false,-0.88,-8.62,3.58
0,2,8.25,11.25,1.01,9.25,12.25,1.20,false,8.62,11.38,2.33,false,8.38,11.38,3.08
