valeur	compte	part
1650218	16	0.210526
0	5	0.065789
15534082	3	0.039474
1	2	0.026316
11085824	2	0.026316
13180928	2	0.026316
2433024	2	0.026316
5243157	2	0.026316
10297344	1	0.013158
10481664	1	0.013158
108571	1	0.013158
11081730	1	0.013158
11133885	1	0.013158
1115522	1	0.013158
13174950	1	0.013158
13174951	1	0.013158
13178880	1	0.013158
13178882	1	0.013158
13182976	1	0.013158
14491648	1	0.013158
14709588	1	0.013158
15534750	1	0.013158
1750058	1	0.013158
2120193	1	0.013158
2120201	1	0.013158
2120440	1	0.013158
26	1	0.013158
26141	1	0.013158
267134	1	0.013158
269182	1	0.013158
2703364	1	0.013158
2959360	1	0.013158
2959362	1	0.013158
4194581	1	0.013158
4195669	1	0.013158
4213824	1	0.013158
4718634	1	0.013158
4726906	1	0.013158
7317762	1	0.013158
7327490	1	0.013158
7327618	1	0.013158
73728	1	0.013158
7677952	1	0.013158
7680040	1	0.013158
8321040	1	0.013158
8414234	1	0.013158
8986624	1	0.013158
8988672	1	0.013158
8990720	1	0.013158
9	1	0.013158
