valeur	compte	part
967211	16	0.002870
971795	16	0.002870
976379	16	0.002870
980963	16	0.002870
985547	16	0.002870
990131	16	0.002870
994715	16	0.002870
999299	16	0.002870
1255999	15	0.002691
1366013	15	0.002691
1485197	15	0.002691
1563125	15	0.002691
1654805	15	0.002691
417139	15	0.002691
646336	15	0.002691
655503	15	0.002691
660087	15	0.002691
898452	15	0.002691
1288086	14	0.002512
1503533	12	0.002153
1728149	12	0.002153
430891	12	0.002153
820525	12	0.002153
1434773	10	0.001794
1581461	10	0.001794
1650218	8	0.001435
1654802	8	0.001435
1659386	8	0.001435
1663970	8	0.001435
1668554	8	0.001435
1673138	8	0.001435
1677722	8	0.001435
1682306	8	0.001435
1686890	8	0.001435
1691474	8	0.001435
1696058	8	0.001435
1700642	8	0.001435
1705226	8	0.001435
1709810	8	0.001435
1714394	8	0.001435
1718978	8	0.001435
1723562	8	0.001435
1728146	8	0.001435
1732730	8	0.001435
1737314	8	0.001435
1741898	8	0.001435
1746482	8	0.001435
1751066	8	0.001435
1755650	8	0.001435
1760234	8	0.001435
1764818	8	0.001435
1769402	8	0.001435
1773986	8	0.001435
1778570	8	0.001435
1783154	8	0.001435
1787738	8	0.001435
1141400	6	0.001076
1237663	6	0.001076
958043	6	0.001076
10486443	1	0.000179
10793240	1	0.000179
1141312	1	0.000179
12871936	1	0.000179
15618470	1	0.000179
15746263	1	0.000179
16104478	1	0.000179
16167066	1	0.000179
2097322	1	0.000179
2933905	1	0.000179
3820217	1	0.000179
4207117	1	0.000179
4325628	1	0.000179
4326004	1	0.000179
4326044	1	0.000179
4326052	1	0.000179
4326068	1	0.000179
4326244	1	0.000179
4326292	1	0.000179
4326308	1	0.000179
4326676	1	0.000179
4326852	1	0.000179
4326900	1	0.000179
4327020	1	0.000179
4327060	1	0.000179
4327068	1	0.000179
4327164	1	0.000179
4554858	1	0.000179
476164	1	0.000179
4895667	1	0.000179
6292168	1	0.000179
6302408	1	0.000179
66720	1	0.000179
6800318	1	0.000179
7055105	1	0.000179
7702953	1	0.000179
9354466	1	0.000179
