valeur	compte	part
16777215	82	0.180220
293373	16	0.035165
311708	16	0.035165
330044	16	0.035165
348380	16	0.035165
366716	16	0.035165
385051	16	0.035165
403387	16	0.035165
412555	16	0.035165
8389291	10	0.021978
275037	8	0.017582
279621	8	0.017582
284205	8	0.017582
288789	8	0.017582
297956	8	0.017582
302540	8	0.017582
307124	8	0.017582
316292	8	0.017582
320876	8	0.017582
325460	8	0.017582
334628	8	0.017582
339212	8	0.017582
343796	8	0.017582
352964	8	0.017582
357548	8	0.017582
362132	8	0.017582
371300	8	0.017582
375883	8	0.017582
380467	8	0.017582
389635	8	0.017582
394219	8	0.017582
398803	8	0.017582
407971	8	0.017582
10486314	4	0.008791
5833949	3	0.006593
10486443	2	0.004396
6292168	2	0.004396
10138663	1	0.002198
1223934	1	0.002198
15790593	1	0.002198
16261663	1	0.002198
16270335	1	0.002198
16287679	1	0.002198
16305055	1	0.002198
16313727	1	0.002198
16374495	1	0.002198
16383167	1	0.002198
16391839	1	0.002198
16400511	1	0.002198
16409215	1	0.002198
16417887	1	0.002198
16487327	1	0.002198
16548063	1	0.002198
16556735	1	0.002198
16574111	1	0.002198
16582783	1	0.002198
16643551	1	0.002198
16652223	1	0.002198
16655359	1	0.002198
16660895	1	0.002198
16669567	1	0.002198
16678271	1	0.002198
16695615	1	0.002198
16704287	1	0.002198
16721663	1	0.002198
16730335	1	0.002198
22080	1	0.002198
2425904	1	0.002198
2621578	1	0.002198
3662016	1	0.002198
4207111	1	0.002198
4737280	1	0.002198
553190	1	0.002198
5962368	1	0.002198
7140548	1	0.002198
8608941	1	0.002198
9601954	1	0.002198
