valeur	compte	part
11167119	1	0.000402
11518057	1	0.000402
1458580	1	0.000402
16087970	1	0.000402
16752833	1	0.000402
3766724	1	0.000402
4180100	1	0.000402
431399	1	0.000402
4606144	1	0.000402
4895681	1	0.000402
5465	1	0.000402
5840746	1	0.000402
628000	1	0.000402
6292168	1	0.000402
8203482	1	0.000402
8389163	1	0.000402
8391339	1	0.000402
