valeur	compte	part
10486315	1	0.000401
1064264	1	0.000401
16700196	1	0.000401
4230	1	0.000401
5067162	1	0.000401
5399500	1	0.000401
628000	1	0.000401
6293808	1	0.000401
8452745	1	0.000401
9412738	1	0.000401
