pitch_raw	compte	part
946	357	0.003158
947	294	0.002600
948	321	0.002839
949	335	0.002963
950	366	0.003237
951	328	0.002901
952	365	0.003228
953	409	0.003617
954	423	0.003741
955	436	0.003856
956	426	0.003768
957	473	0.004184
958	476	0.004210
959	465	0.004113
960	540	0.004776
961	484	0.004281
962	496	0.004387
963	490	0.004334
964	606	0.005360
965	577	0.005103
966	572	0.005059
967	642	0.005678
968	669	0.005917
969	592	0.005236
970	634	0.005608
971	790	0.006987
972	734	0.006492
973	631	0.005581
974	727	0.006430
975	704	0.006227
976	770	0.006810
977	678	0.005997
978	780	0.006899
979	837	0.007403
980	849	0.007509
981	809	0.007155
982	935	0.008270
983	872	0.007713
984	902	0.007978
985	951	0.008411
986	904	0.007996
987	860	0.007606
988	871	0.007704
989	851	0.007527
990	1022	0.009039
991	920	0.008137
992	1215	0.010746
993	1169	0.010339
994	1184	0.010472
995	1026	0.009075
996	1155	0.010216
997	1281	0.011330
998	1218	0.010773
999	1159	0.010251
1000	1230	0.010879
1001	1155	0.010216
1002	1237	0.010941
1003	1297	0.011472
1004	1254	0.011091
1005	1268	0.011215
1006	1052	0.009305
1007	1135	0.010039
1008	1371	0.012126
1009	1268	0.011215
1010	1336	0.011817
1011	1334	0.011799
1012	1270	0.011233
1013	1547	0.013683
1014	1296	0.011463
1015	1202	0.010631
1016	1162	0.010278
1017	1138	0.010065
1018	1237	0.010941
1019	1325	0.011719
1020	1320	0.011675
1021	1355	0.011985
1022	1312	0.011604
1023	1232	0.010897
1024	1517	0.013417
1025	1085	0.009597
1026	1009	0.008924
1027	830	0.007341
1028	874	0.007730
1029	764	0.006757
1030	714	0.006315
1031	662	0.005855
1032	698	0.006174
1033	713	0.006306
1034	631	0.005581
1035	584	0.005165
1036	667	0.005899
1037	711	0.006289
1038	602	0.005325
1039	562	0.004971
1040	547	0.004838
1041	554	0.004900
1042	613	0.005422
1043	615	0.005439
1044	442	0.003909
1045	564	0.004988
1046	467	0.004130
1047	417	0.003688
1048	395	0.003494
1049	365	0.003228
1050	364	0.003219
1051	387	0.003423
1052	342	0.003025
1053	347	0.003069
1054	422	0.003732
1055	290	0.002565
1056	282	0.002494
1057	295	0.002609
1058	268	0.002370
1059	256	0.002264
1060	282	0.002494
1061	237	0.002096
