valeur	compte	part
0	3	0.038961
105	2	0.025974
12001281	2	0.025974
12584336	2	0.025974
7069698	2	0.025974
7327618	2	0.025974
10350446	1	0.012987
10350624	1	0.012987
1143555	1	0.012987
120894	1	0.012987
12887040	1	0.012987
13	1	0.012987
13792330	1	0.012987
14680589	1	0.012987
146972	1	0.012987
15060462	1	0.012987
1507586	1	0.012987
16	1	0.012987
16578560	1	0.012987
16642080	1	0.012987
189479	1	0.012987
1981751	1	0.012987
1986872	1	0.012987
2	1	0.012987
2006134	1	0.012987
2041528	1	0.012987
209950	1	0.012987
2112002	1	0.012987
2112489	1	0.012987
2112500	1	0.012987
2120544	1	0.012987
2128390	1	0.012987
2128616	1	0.012987
229433	1	0.012987
246817	1	0.012987
26	1	0.012987
266090	1	0.012987
267132	1	0.012987
269357	1	0.012987
272427	1	0.012987
272430	1	0.012987
287799	1	0.012987
292916	1	0.012987
296995	1	0.012987
29745	1	0.012987
301110	1	0.012987
305199	1	0.012987
3150725	1	0.012987
3152773	1	0.012987
346184	1	0.012987
3674845	1	0.012987
4328511	1	0.012987
4859012	1	0.012987
5250770	1	0.012987
5603	1	0.012987
56356	1	0.012987
7069712	1	0.012987
70715	1	0.012987
7073666	1	0.012987
72750	1	0.012987
73787	1	0.012987
80958	1	0.012987
8296464	1	0.012987
8388608	1	0.012987
8456450	1	0.012987
847577	1	0.012987
8482111	1	0.012987
8613839	1	0.012987
9512687	1	0.012987
9997312	1	0.012987
