# lot C-ter volet 1 — CT.1.2 — film 8076f97f (KOTH / shogun)
# increment	film	equipe	valeur	t_ms	frame	terminal
# hasard_1	film	part	t0_ms	t1_ms
# periode_actuelle	film	zone	frame_t0	frame_t1 · rampe	film	slot	frame_t0	frame_pic
# lecture	film	mode	tag	lecture	role	slot_candidat	bascules	exclusivite	ok_tous	tot_tous	taux_tous	ok_chg	tot_chg	taux_chg	decale	permute	hasard_1	hasard_n	delai_film_ms	delai_rejeu_ms	kf_premiere_presente_ms	kf_derniere_absente_ms	premier_contact_ms	verdict
increment	8076f97f	6	1	184545	1695	false
increment	8076f97f	6	2	265446	2504	false
increment	8076f97f	6	3	347261	3322	true
hasard_1	8076f97f	0.0177	15045	354845
periode_actuelle	8076f97f	1	400	3397
rampe	8076f97f	1543	400	409
rampe	8076f97f	1543	666	676
rampe	8076f97f	1543	777	793
rampe	8076f97f	1543	838	848
rampe	8076f97f	1543	910	970
rampe	8076f97f	1543	1012	1024
rampe	8076f97f	1543	1177	1186
rampe	8076f97f	1543	1209	1258
rampe	8076f97f	1543	1388	1389
rampe	8076f97f	1543	1559	1568
rampe	8076f97f	1543	1569	1817
rampe	8076f97f	1543	1866	1876
rampe	8076f97f	1543	2001	2004
rampe	8076f97f	1543	2122	2124
rampe	8076f97f	1543	2154	2163
rampe	8076f97f	1543	2271	2289
rampe	8076f97f	1543	2373	2383
rampe	8076f97f	1543	2384	2564
rampe	8076f97f	1543	2861	2870
rampe	8076f97f	1543	2893	2902
rampe	8076f97f	1543	2917	2931
rampe	8076f97f	1543	3132	3172
lecture	8076f97f	A	2	F	candidat	1468	1	0.9997	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	59152	44107	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	A	1	F	candidat	sans_objet
lecture	8076f97f	A	1	D	candidat	sans_objet
lecture	8076f97f	A	6	D	candidat	sans_objet
lecture	8076f97f	A	5	D	hors liste	1540	2	0.9554	2	3	0.6667	2	2	1.0000	0.0000	0.2500	0.0177	0.0117	184560	169515	39993	19989	55049	NON TENU [hors terminal : TENU]
lecture	8076f97f	A	4	D	temoin	1542	37	0.0030	0	3	0.0000	0	2	0.0000	0.3333	0.6667	0.0177	0.2233	55049	40004	39993	19989	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	A	3	D	temoin	1543	274	0.9997	0	3	0.0000	0	2	0.0000	0.6667	0.0000	0.0177	0.8033	55049	40004	39993	19989	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	7	D	candidat	1462	182	0.0000	1	3	0.3333	0	2	0.0000	0.6667	0.0833	0.0177	0.6467	39953	24908	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	8	D	candidat	1455	3	0.0000	3	3	1.0000	2	2	1.0000	0.0000	0.0000	0.0177	0.0133	184543	169498	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	9	D	candidat	1456	1	0.0776	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	272332	257287	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	10	F	candidat	1518	1	0.9981	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	303035	287990	-1	360067	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	10	D	candidat	1478	2	0.8302	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0117	49327	34282	-1	360067	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	11	F	candidat	1497	1	0.0000	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	336818	321773	-1	360067	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	11	D	candidat	1464	1	0.3090	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	149391	134346	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	12	F	candidat	1459	1	0.3320	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	232540	217495	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	12	D	candidat	1459	2	0.3320	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0117	232540	217495	19989	0	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	13	F	candidat	1518	1	0.7216	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	291870	276825	-1	360067	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	13	D	candidat	1518	1	0.7216	0	3	0.0000	0	2	0.0000	0.0000	0.0000	0.0177	0.0083	291870	276825	-1	360067	55049	NON TENU [hors terminal : NON TENU]
lecture	8076f97f	B	14	F	candidat	sans_objet
lecture	8076f97f	B	14	D	candidat	sans_objet
lecture	8076f97f	B	15	F	candidat	sans_objet
lecture	8076f97f	B	15	D	candidat	sans_objet
