# lot C-ter volet 1 — CT.1.1 — film 01e1f945 — resume par (slot, mode, tag), calcule sur les lectures CHAINEES ; non_chainees = lectures ecartees ; bande = 1 stricte
slot	bande	mode	tag	emissions	avec_valeur	non_chainees	distinctes	changements	joueurs	t_ms_premiere	t_ms_derniere	frame_premiere	frame_derniere	valeurs_top4
1383	1	B	0	0	0	15	0	0	0	0	0	-1	-1	
1383	1	B	1	0	0	10	0	0	0	0	0	-1	-1	
1383	1	B	2	0	0	1	0	0	0	0	0	-1	-1	
1383	1	B	3	0	0	1	0	0	0	0	0	-1	-1	
1383	1	B	4	0	0	3	0	0	0	0	0	-1	-1	
1383	1	B	5	0	0	5	0	0	0	0	0	-1	-1	
1383	1	B	6	0	0	4	0	0	0	0	0	-1	-1	
1383	1	B	7	1	1	0	1	0	1	543650	543650	5310	5310	0x001F7222 x1
1383	1	B	8	21	21	6	4	12	9	109988	545218	974	5326	0x00000001 x8 0x00000002 x8 0x00000003 x4 0x996ADE89 x1
1383	1	B	9	3	3	7	3	2	1	545235	545285	5326	5326	0x18FAE089 x1 0x58CAE489 x1 0xD85AE689 x1
1383	1	B	10	0	0	2	0	0	0	0	0	-1	-1	
1383	1	B	11	0	0	3	0	0	0	0	0	-1	-1	
1383	1	B	12	1	1	11	1	0	1	424928	424928	4123	4123	0x00000005 x1
1383	1	B	13	0	0	9	0	0	0	0	0	-1	-1	
1383	1	B	14	0	0	19	0	0	0	0	0	-1	-1	
1383	1	B	15	0	0	22	0	0	0	0	0	-1	-1	
1384	1	A	6	0	0	1	0	0	0	0	0	-1	-1	
1384	1	A	10	0	0	1	0	0	0	0	0	-1	-1	
1384	1	B	0	0	0	37	0	0	0	0	0	-1	-1	
1384	1	B	1	0	0	5	0	0	0	0	0	-1	-1	
1384	1	B	2	0	0	5	0	0	0	0	0	-1	-1	
1384	1	B	3	0	0	3	0	0	0	0	0	-1	-1	
1384	1	B	4	0	0	17	0	0	0	0	0	-1	-1	
1384	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1384	1	B	6	0	0	6	0	0	0	0	0	-1	-1	
1384	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1384	1	B	8	0	0	31	0	0	0	0	0	-1	-1	
1384	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1384	1	B	10	0	0	3	0	0	0	0	0	-1	-1	
1384	1	B	11	0	0	3	0	0	0	0	0	-1	-1	
1384	1	B	12	0	0	2	0	0	0	0	0	-1	-1	
1384	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1384	1	B	15	0	0	6	0	0	0	0	0	-1	-1	
1385	1	A	2	0	0	1	0	0	0	0	0	-1	-1	
1385	1	A	4	0	0	1	0	0	0	0	0	-1	-1	
1385	1	A	6	0	0	1	0	0	0	0	0	-1	-1	
1385	1	A	8	0	0	1	0	0	0	0	0	-1	-1	
1385	1	B	0	0	0	13	0	0	0	0	0	-1	-1	
1385	1	B	1	0	0	7	0	0	0	0	0	-1	-1	
1385	1	B	2	0	0	3	0	0	0	0	0	-1	-1	
1385	1	B	4	0	0	3	0	0	0	0	0	-1	-1	
1385	1	B	5	0	0	1	0	0	0	0	0	-1	-1	
1385	1	B	6	0	0	8	0	0	0	0	0	-1	-1	
1385	1	B	7	0	0	1	0	0	0	0	0	-1	-1	
1385	1	B	8	0	0	12	0	0	0	0	0	-1	-1	
1385	1	B	9	0	0	2	0	0	0	0	0	-1	-1	
1385	1	B	10	0	0	3	0	0	0	0	0	-1	-1	
1385	1	B	11	0	0	5	0	0	0	0	0	-1	-1	
1385	1	B	14	0	0	2	0	0	0	0	0	-1	-1	
1385	1	B	15	0	0	5	0	0	0	0	0	-1	-1	
1386	1	A	4	0	0	1	0	0	0	0	0	-1	-1	
1386	1	A	6	0	0	1	0	0	0	0	0	-1	-1	
1386	1	A	8	0	0	1	0	0	0	0	0	-1	-1	
1386	1	B	0	0	0	7	0	0	0	0	0	-1	-1	
1386	1	B	1	0	0	2	0	0	0	0	0	-1	-1	
1386	1	B	2	0	0	7	0	0	0	0	0	-1	-1	
1386	1	B	4	0	0	4	0	0	0	0	0	-1	-1	
1386	1	B	5	0	0	2	0	0	0	0	0	-1	-1	
1386	1	B	6	0	0	8	0	0	0	0	0	-1	-1	
1386	1	B	8	0	0	12	0	0	0	0	0	-1	-1	
1386	1	B	10	0	0	6	0	0	0	0	0	-1	-1	
1386	1	B	11	0	0	5	0	0	0	0	0	-1	-1	
1386	1	B	12	0	0	5	0	0	0	0	0	-1	-1	
1386	1	B	13	0	0	1	0	0	0	0	0	-1	-1	
1386	1	B	14	0	0	3	0	0	0	0	0	-1	-1	
1386	1	B	15	0	0	2	0	0	0	0	0	-1	-1	
1387	1	A	3	0	0	1	0	0	0	0	0	-1	-1	
1387	1	A	4	0	0	1	0	0	0	0	0	-1	-1	
1387	1	A	6	0	0	1	0	0	0	0	0	-1	-1	
1387	1	A	10	0	0	2	0	0	0	0	0	-1	-1	
1387	1	A	12	0	0	1	0	0	0	0	0	-1	-1	
1387	1	A	15	0	0	1	0	0	0	0	0	-1	-1	
1387	1	B	0	0	0	9	0	0	0	0	0	-1	-1	
1387	1	B	1	0	0	14	0	0	0	0	0	-1	-1	
1387	1	B	2	1	0	10	0	0	1	537360	537360	5247	5247	
1387	1	B	3	1	0	10	0	0	1	484691	484691	4721	4721	
1387	1	B	4	0	0	12	0	0	0	0	0	-1	-1	
1387	1	B	5	0	0	6	0	0	0	0	0	-1	-1	
1387	1	B	6	0	0	15	0	0	0	0	0	-1	-1	
1387	1	B	7	0	0	4	0	0	0	0	0	-1	-1	
1387	1	B	8	0	0	10	0	0	0	0	0	-1	-1	
1387	1	B	9	0	0	5	0	0	0	0	0	-1	-1	
1387	1	B	10	1	1	6	1	0	1	537027	537027	5244	5244	0x00000000 x1
1387	1	B	11	0	0	6	0	0	0	0	0	-1	-1	
1387	1	B	12	0	0	5	0	0	0	0	0	-1	-1	
1387	1	B	13	0	0	6	0	0	0	0	0	-1	-1	
1387	1	B	14	0	0	5	0	0	0	0	0	-1	-1	
1387	1	B	15	0	0	7	0	0	0	0	0	-1	-1	
1388	1	A	0	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	1	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	4	0	0	2	0	0	0	0	0	-1	-1	
1388	1	A	7	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	10	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	11	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	12	0	0	1	0	0	0	0	0	-1	-1	
1388	1	A	15	0	0	2	0	0	0	0	0	-1	-1	
1388	1	B	0	0	0	7	0	0	0	0	0	-1	-1	
1388	1	B	1	0	0	3	0	0	0	0	0	-1	-1	
1388	1	B	2	0	0	5	0	0	0	0	0	-1	-1	
1388	1	B	3	0	0	7	0	0	0	0	0	-1	-1	
1388	1	B	4	0	0	5	0	0	0	0	0	-1	-1	
1388	1	B	5	0	0	6	0	0	0	0	0	-1	-1	
1388	1	B	6	0	0	9	0	0	0	0	0	-1	-1	
1388	1	B	7	0	0	5	0	0	0	0	0	-1	-1	
1388	1	B	8	1	1	21	1	0	1	345598	345598	3330	3330	0x18A9144C x1
1388	1	B	9	0	0	1	0	0	0	0	0	-1	-1	
1388	1	B	10	0	0	5	0	0	0	0	0	-1	-1	
1388	1	B	11	0	0	6	0	0	0	0	0	-1	-1	
1388	1	B	12	0	0	8	0	0	0	0	0	-1	-1	
1388	1	B	13	0	0	3	0	0	0	0	0	-1	-1	
1388	1	B	14	0	0	1	0	0	0	0	0	-1	-1	
1388	1	B	15	1	1	1	1	0	1	285354	285354	2727	2727	0x0000000C x1
1389	1	A	9	0	0	1	0	0	0	0	0	-1	-1	
