# film=C:/Users/GUILLA~1/AppData/Local/Temp/claude/C--Users-Guillaume-Downloads-Scripts-LevelUp-go-migration/6ad639a9-c92a-41b8-a18c-f635b71d30d9/scratchpad/gate_p2_work/data/cache/film_chunks/d9781168 slots_bipede=160
# passe B : records certains=7, signature rep32=410434976 portee par 7
# lectures=167 avec_ref=167 index_hors_roster=0 hors_vie=1 temoin_fantome=0
# vies totales=176 vies nommees directement=159 (90.3 %)
# concordants=131 discordants=13 nouveaux=22
# ref5=0:17 1:23 2:18 3:15 4:25 5:21 6:24 7:24
voie	chunk	pidx	tsUS	frame	slot	gen	ver	rep32	hasRef	ref5	verdict	vie	gtSrc	gtMeth	gtXuid	myXuid
A	1	2046	7923633068	-1	512	1	13	410434976	true	0	discordant	512[0..984]	deduit	pont_par_morts	2533274977810162	2535435655459376
A	1	2048	7923651135	0	513	1	13	410434976	true	1	hors_vie					
A	1	2050	7923666155	0	514	1	13	410434976	true	2	nouveau	514[0..37]	non_resolu			2535455182553276
B	1	2052	7923682953	0	515	1	13	410434976	true	3	nouveau	515[0..36]	non_resolu			2533274977810162
A	1	2052	7923682953	0	515	1	13	410434976	true	3	nouveau	515[0..36]	non_resolu			2533274977810162
A	1	2054	7923699076	0	516	1	13	410434976	true	4	nouveau	516[0..38]	non_resolu			2535432478853823
A	1	2056	7923716555	0	517	1	13	410434976	true	5	nouveau	517[0..39]	non_resolu			2535446563676950
B	1	2058	7923733312	0	518	1	13	410434976	true	6	nouveau	518[0..39]	non_resolu			2533274974091007
A	1	2058	7923733312	0	518	1	13	410434976	true	6	nouveau	518[0..39]	non_resolu			2533274974091007
B	1	2060	7923750061	0	519	1	13	410434976	true	7	nouveau	519[1..7]	non_resolu			2535463284150067
A	1	2060	7923750061	0	519	1	13	410434976	true	7	nouveau	519[1..7]	non_resolu			2535463284150067
A	4	440	7969696215	460	520	1	13	410434976	true	7	concordant	520[460..592]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	4	476	7969996843	463	521	1	13	410434976	true	5	discordant	521[463..868]	deduit	pont_par_morts	2535463284150067	2535446563676950
A	4	788	7972599479	489	522	1	13	410434976	true	4	concordant	522[489..785]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	4	1414	7977821878	541	523	1	13	410434976	true	2	concordant	523[541..688]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	4	1684	7980075356	564	524	1	13	410434976	true	1	concordant	524[564..840]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	5	688	7991769525	681	525	1	13	410434976	true	3	concordant	525[681..768]	deduit	pont_par_morts	2533274977810162	2533274977810162
A	5	830	7992953400	693	526	1	13	410434976	true	7	nouveau	526[693..868]	non_resolu			2535463284150067
A	5	1984	8002580565	789	527	1	13	410434976	true	2	concordant	527[789..1365]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	6	538	8010521623	868	528	1	13	410434976	true	3	discordant	528[868..984]	deduit	pont_par_morts	2535435655459376	2533274977810162
A	6	750	8012288981	886	529	1	13	410434976	true	4	concordant	529[886..1059]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	6	1406	8017762151	941	530	1	13	410434976	true	1	concordant	530[941..1336]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	6	1736	8020514848	968	531	1	13	410434976	true	5	concordant	531[968..1103]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	6	1744	8020581609	969	532	1	13	410434976	true	7	concordant	532[969..1299]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	7	734	8032159647	1085	533	1	13	410434976	true	0	concordant	533[1085..1126]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	7	738	8032193165	1085	534	1	13	410434976	true	3	concordant	534[1085..1214]	deduit	pont_par_morts	2533274977810162	2533274977810162
A	7	1320	8037048072	1133	535	1	13	410434976	true	6	concordant	535[1134..1219]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	7	1626	8039599901	1159	536	1	13	410434976	true	4	concordant	536[1159..1331]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	7	2158	8044038679	1203	537	1	13	410434976	true	5	concordant	537[1204..1505]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	8	32	8046307376	1226	538	1	13	410434976	true	0	concordant	538[1226..1575]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	8	1092	8055149844	1314	539	1	13	410434976	true	3	concordant	539[1315..1994]	deduit	pont_par_morts	2533274977810162	2533274977810162
A	8	1148	8055617051	1319	540	1	13	410434976	true	6	concordant	540[1319..1415]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	8	2108	8063624237	1399	541	1	13	410434976	true	7	concordant	541[1399..1558]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	9	92	8066811166	1431	542	1	13	410434976	true	4	concordant	542[1431..1548]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	9	154	8067328924	1436	543	1	13	410434976	true	1	concordant	543[1436..1729]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	9	506	8070265220	1466	544	1	13	410434976	true	2	concordant	544[1466..1643]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	9	1106	8075270290	1516	545	1	13	410434976	true	6	concordant	545[1516..1573]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	9	2184	8084262088	1606	546	1	13	410434976	true	5	concordant	546[1606..1704]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	10	302	8088565875	1649	547	1	13	410434976	true	4	concordant	547[1649..1756]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	10	418	8089533837	1658	548	1	13	410434976	true	7	concordant	548[1658..1920]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	10	598	8091036261	1673	549	1	13	410434976	true	6	nouveau	549[1673..1674]	non_resolu			2533274974091007
A	10	626	8091269552	1676	550	1	13	410434976	true	0	concordant	550[1676..1790]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	10	1434	8098009722	1743	551	1	13	410434976	true	2	concordant	551[1743..1911]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	10	2166	8104115875	1804	552	1	13	410434976	true	5	nouveau	552[1804..2127]	non_resolu			2535446563676950
A	11	70	8106634993	1829	553	1	13	410434976	true	1	concordant	553[1829..2071]	deduit	fermeture	2533274823110022	2533274823110022
A	11	400	8109387386	1857	554	1	13	410434976	true	4	nouveau	554[1857..2139]	non_resolu			2535432478853823
A	11	808	8112791384	1891	555	1	13	410434976	true	0	nouveau	555[1891..2074]	non_resolu			2535435655459376
A	11	2252	8124836452	2011	556	1	13	410434976	true	2	nouveau	556[2011..2106]	non_resolu			2535455182553276
A	11	2360	8125736998	2020	557	1	13	410434976	true	7	nouveau	557[2021..2139]	non_resolu			2535463284150067
A	12	1436	8138045138	2143	558	1	13	410434976	true	0	concordant	558[2168..2168]	deduit	exclusion_temporelle	2535435655459376	2535435655459376
A	12	1438	8138063375	2144	559	1	13	410434976	true	3	concordant	559[2144..2672]	deduit	pont_par_morts	2533274977810162	2533274977810162
B	12	1440	8138078458	2144	560	1	13	410434976	true	1	concordant	560[2144..2317]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	12	1440	8138078458	2144	560	1	13	410434976	true	1	concordant	560[2144..2317]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	12	1442	8138095309	2144	561	1	13	410434976	true	2	concordant	561[2144..2588]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	12	1444	8138111500	2144	562	1	13	410434976	true	4	concordant	562[2144..2300]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	12	1446	8138128904	2144	563	1	13	410434976	true	5	concordant	563[2144..2276]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	12	1448	8138145820	2144	564	1	13	410434976	true	6	concordant	564[2145..2352]	deduit	pont_par_morts	2533274974091007	2533274974091007
B	12	1450	8138162019	2145	565	1	13	410434976	true	7	concordant	565[2145..2537]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	12	1450	8138162019	2145	565	1	13	410434976	true	7	concordant	565[2145..2537]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	13	1828	8161319156	2376	566	1	13	410434976	true	5	concordant	566[2376..2861]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	13	2114	8163704175	2400	567	1	13	410434976	true	4	concordant	567[2400..2741]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	13	2328	8165490153	2418	568	1	13	410434976	true	1	concordant	568[2418..2566]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	14	348	8168977220	2453	569	1	13	410434976	true	6	concordant	569[2453..2663]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	15	170	8187495492	2638	570	1	13	410434976	true	7	concordant	570[2638..2750]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	15	508	8190315099	2666	571	1	13	410434976	true	1	concordant	571[2666..3134]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	15	774	8192534133	2688	572	1	13	410434976	true	2	concordant	572[2688..2989]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	15	1268	8196655227	2730	573	1	13	410434976	true	0	nouveau	573[2730..2730]	non_resolu			2535435655459376
A	15	1670	8200008728	2763	574	1	13	410434976	true	6	concordant	574[2763..2905]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	15	1782	8200943173	2772	575	1	13	410434976	true	3	concordant	575[2773..4224]	deduit	exclusion_temporelle	2533274977810162	2533274977810162
A	16	212	8207849665	2841	576	1	13	410434976	true	4	concordant	576[2842..3038]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	16	314	8208701007	2850	577	1	13	410434976	true	7	concordant	577[2850..3249]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	16	1656	8219895541	2962	578	1	13	410434976	true	5	concordant	578[2962..3154]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	16	2176	8224233575	3005	579	1	13	410434976	true	6	discordant	579[3005..3212]	deduit	pont_par_morts	2535432478853823	2533274974091007
A	17	782	8232608248	3089	580	1	13	410434976	true	2	concordant	580[3089..3848]	deduit	pont_par_morts	2535455182553276	2535455182553276
A	17	1192	8236028607	3123	581	1	13	410434976	true	0	concordant	581[3123..3283]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	17	1372	8237529799	3138	582	1	13	410434976	true	4	discordant	582[3138..3212]	deduit	pont_par_morts	2533274974091007	2535432478853823
A	18	122	8247106335	3234	583	1	13	410434976	true	1	concordant	583[3234..3909]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	18	368	8249158625	3255	584	1	13	410434976	true	5	concordant	584[3255..3613]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	18	1060	8254929993	3312	585	1	13	410434976	true	4	concordant	585[3312..3565]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	18	1062	8254948444	3312	586	1	13	410434976	true	6	concordant	586[3313..3478]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	18	1500	8258601059	3349	587	1	13	410434976	true	7	concordant	587[3349..3417]	deduit	exclusion_temporelle	2535463284150067	2535463284150067
A	18	1914	8262056241	3384	588	1	13	410434976	true	0	concordant	588[3384..3630]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	19	1852	8281541295	3578	589	1	13	410434976	true	6	concordant	589[3579..3790]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	19	2050	8283192128	3595	590	1	13	410434976	true	7	concordant	590[3595..3949]	deduit	pont_par_morts	2535463284150067	2535463284150067
A	20	500	8290265752	3666	591	1	13	410434976	true	4	concordant	591[3666..3911]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	20	1068	8295004247	3713	592	1	13	410434976	true	5	concordant	592[3713..3903]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	20	1280	8296774015	3731	593	1	13	410434976	true	0	concordant	593[3731..4023]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	21	802	8312788814	3891	594	1	13	410434976	true	6	concordant	594[3891..4040]	deduit	pont_par_morts	2533274974091007	2533274974091007
A	21	1494	8318560824	3949	595	1	13	410434976	true	2	concordant	595[3949..4251]	deduit	exclusion_temporelle	2535455182553276	2535455182553276
A	21	2156	8324083775	4004	596	1	13	410434976	true	5	concordant	596[4004..4088]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	21	2220	8324618080	4009	597	1	13	410434976	true	1	concordant	597[4009..4130]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	21	2242	8324801238	4011	598	1	13	410434976	true	4	concordant	598[4011..4139]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	22	306	8328655104	4050	599	1	13	410434976	true	7	nouveau	599[4050..4235]	non_resolu			2535463284150067
A	22	1190	8336029261	4123	600	1	13	410434976	true	0	nouveau	600[4123..4251]	non_resolu			2535435655459376
A	22	1394	8337730901	4140	601	1	13	410434976	true	6	concordant	601[4140..4251]	deduit	fermeture	2533274974091007	2533274974091007
A	23	376	8349256338	4256	602	1	13	410434976	true	0	concordant	602[4256..4470]	deduit	pont_par_morts	2535435655459376	2535435655459376
A	23	378	8349272587	4256	603	1	13	410434976	true	2	concordant	603[4281..4520]	deduit	exclusion_temporelle	2535455182553276	2535455182553276
B	23	380	8349287476	4256	604	1	13	410434976	true	1	concordant	604[4256..4696]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	23	380	8349287476	4256	604	1	13	410434976	true	1	concordant	604[4256..4696]	deduit	pont_par_morts	2533274823110022	2533274823110022
A	23	382	8349304268	4256	605	1	13	410434976	true	3	concordant	605[4256..4833]	deduit	pont_par_morts	2533274977810162	2533274977810162
A	23	384	8349320477	4256	606	1	13	410434976	true	4	concordant	606[4256..4413]	deduit	pont_par_morts	2535432478853823	2535432478853823
A	23	386	8349337914	4256	607	1	13	410434976	true	5	concordant	607[4257..4432]	deduit	pont_par_morts	2535446563676950	2535446563676950
A	23	388	8349354747	4257	608	1	13	410434976	true	6	concordant	608[4257..4396]	deduit	pont_par_morts	2533274974091007	2533274974091007
