ti	i	composant	statut	annonces_total	films_presents	annonces_max_film	exces_max	7344d24f	696a9d7c	0a247154	01e1f945	606d9844	8076f97f	64e8adfa	530820e5	53ce4390	24dbb67d	000d5950	
10	31	(hors grammaire)	hors_grammaire	2387	10	861	1.5	313	146	239	205	33	64	412	79	861	35	0
10	29	managed-object-rtpc-component	non_porte	2320	10	709	1.2	296	113	144	95	21	57	709	134	709	42	0
10	22	managed-object-interaction-filter-component	non_porte	2313	10	740	4.9	272	116	82	129	39	42	423	740	420	50	0
10	34	(hors grammaire)	hors_grammaire	2203	10	698	2.2	363	120	165	93	49	82	445	146	698	42	0
10	23	managed-object-flags-component	non_porte	2202	10	598	4.0	188	102	74	92	15	46	586	598	452	49	0
10	12	managed-object-navpoint-component	non_porte	2169	10	645	1.3	361	236	85	131	24	45	469	121	645	52	0
12	21	managed-navpoint-visual-state-groups-component-1	non_porte	2163	11	582	12.8	247	198	121	321	56	125	582	210	255	42	6
10	62	(hors grammaire)	hors_grammaire	2130	10	502	2.7	116	502	148	79	10	84	491	131	487	82	0
13	59	(hors grammaire)	hors_grammaire	2120	11	612	11.5	211	350	40	442	5	60	612	162	69	157	12
13	2	managed-object-player-masked-property-component	non_porte	2111	11	434	11.7	68	92	434	280	108	300	305	60	150	290	24
10	53	(hors grammaire)	hors_grammaire	2095	10	552	1.5	223	138	144	143	34	107	540	125	552	89	0
13	0	managed-object-property-name-component	porte	2095	11	458	6.9	182	163	140	153	34	186	458	237	204	301	37
10	21	managed-object-networked-property-component	non_porte	2076	10	721	4.9	132	112	92	721	11	58	446	139	325	40	0
13	8	managed-object-player-masked-property-component	non_porte	2069	11	482	13.0	139	94	482	274	135	265	361	86	140	64	29
13	60	(hors grammaire)	hors_grammaire	2014	11	590	11.8	198	320	50	228	35	50	376	90	69	590	8
13	48	(hors grammaire)	hors_grammaire	1992	11	959	13.4	504	959	82	61	18	39	146	22	101	48	12
10	39	(hors grammaire)	hors_grammaire	1989	10	591	1.2	321	133	139	140	11	86	424	91	591	53	0
10	11	managed-object-navpoint-component	non_porte	1926	10	525	3.3	289	133	112	92	72	46	479	115	525	63	0
13	3	managed-object-player-masked-property-component	non_porte	1904	11	440	11.9	104	73	440	235	128	274	287	70	104	161	28
10	37	(hors grammaire)	hors_grammaire	1900	10	533	3.6	225	109	89	82	15	43	357	533	382	65	0
10	63	(hors grammaire)	hors_grammaire	1885	10	496	1.9	123	356	121	61	17	91	496	70	496	54	0
13	27	managed-object-player-masked-property-component	non_porte	1866	11	501	9.1	224	262	40	351	6	61	501	237	95	75	14
10	19	managed-object-networked-property-component	non_porte	1851	10	489	1.0	305	130	93	104	14	44	453	153	489	66	0
47	6	(hors grammaire)	hors_grammaire	1809	11	310	14.4	75	112	242	260	13	46	280	260	310	24	187
10	56	(hors grammaire)	hors_grammaire	1808	10	522	1.0	234	136	149	95	9	54	522	95	439	75	0
10	35	(hors grammaire)	hors_grammaire	1781	10	491	1.5	260	112	251	76	15	31	384	108	491	53	0
12	5	managed-navpoint-visibility-filter-component	non_porte	1765	11	770	5.0	124	45	129	21	22	21	770	226	294	99	14
13	6	managed-object-player-masked-property-component	non_porte	1761	11	435	11.8	76	58	435	256	136	261	259	31	121	107	21
10	41	(hors grammaire)	hors_grammaire	1760	10	467	0.9	254	141	122	130	15	33	467	88	447	63	0
10	50	(hors grammaire)	hors_grammaire	1731	10	476	1.0	187	176	110	144	13	45	476	89	431	60	0
10	15	managed-object-navpoint-component	non_porte	1709	10	424	1.0	328	107	102	70	19	51	424	146	419	43	0
12	4	managed-navpoint-can-be-occluded-filters-component	non_porte	1694	11	434	6.3	207	127	313	58	47	37	434	195	212	53	11
10	30	(hors grammaire)	hors_grammaire	1636	10	509	0.8	249	115	92	87	9	49	378	84	509	64	0
13	5	managed-object-player-masked-property-component	non_porte	1636	11	469	12.7	64	42	469	264	156	268	185	44	46	84	14
13	7	managed-object-player-masked-property-component	non_porte	1585	11	435	11.8	129	83	435	260	117	240	148	46	66	52	9
13	36	(hors grammaire)	hors_grammaire	1521	11	303	5.7	163	164	67	143	55	96	303	119	231	117	63
10	51	(hors grammaire)	hors_grammaire	1498	10	351	1.3	223	154	169	45	16	40	351	99	301	100	0
10	54	(hors grammaire)	hors_grammaire	1496	10	464	1.4	165	101	98	88	9	99	464	79	363	30	0
13	9	managed-object-player-masked-property-component	non_porte	1451	11	503	13.6	73	43	503	246	129	78	147	41	118	52	21
13	20	managed-object-player-masked-property-component	non_porte	1437	11	277	5.5	153	121	58	109	83	95	164	69	277	251	57
12	20	managed-navpoint-visual-state-groups-component-0	non_porte	1429	11	307	6.1	262	54	307	152	39	80	186	87	173	76	13
13	55	(hors grammaire)	hors_grammaire	1401	11	482	9.6	135	92	47	35	29	47	253	195	75	482	11
13	52	(hors grammaire)	hors_grammaire	1384	11	294	6.5	129	160	49	135	20	86	294	95	221	124	71
10	44	(hors grammaire)	hors_grammaire	1374	10	400	0.7	162	92	73	89	10	49	379	67	400	53	0
13	57	(hors grammaire)	hors_grammaire	1373	11	443	8.9	97	57	21	42	25	157	369	74	78	443	10
10	49	(hors grammaire)	hors_grammaire	1354	10	457	0.8	145	105	69	60	17	46	319	75	457	61	0
10	46	(hors grammaire)	hors_grammaire	1353	10	355	1.0	156	89	168	75	4	44	355	97	335	30	0
12	3	managed-navpoint-visible-offscreen-filters-component	non_porte	1284	11	442	3.4	238	29	161	53	15	28	442	154	111	39	14
12	36	(hors grammaire)	hors_grammaire	1237	11	303	3.6	168	19	268	89	18	40	303	142	132	39	19
12	27	managed-navpoint-visual-state-groups-component-7	non_porte	1207	11	497	3.3	124	19	497	37	3	50	302	48	64	52	11
12	59	(hors grammaire)	hors_grammaire	1138	11	602	4.0	72	23	602	26	11	25	216	24	47	88	4
13	58	(hors grammaire)	hors_grammaire	1133	11	411	3.4	96	185	27	130	15	45	411	84	44	77	19
12	52	(hors grammaire)	hors_grammaire	1130	11	270	2.6	195	29	236	65	13	37	270	86	154	38	7
12	8	managed-navpoint-docking-group-name-component	non_porte	1129	11	291	2.7	227	33	215	45	20	39	291	90	124	32	13
12	60	(hors grammaire)	hors_grammaire	1114	11	408	3.3	131	23	408	27	3	27	209	147	52	78	9
13	14	managed-object-player-masked-property-component	non_porte	1110	11	215	2.9	215	199	108	37	6	123	213	55	82	55	17
13	24	managed-object-player-masked-property-component	non_porte	1095	11	551	7.7	119	551	37	40	33	79	98	39	68	25	6
13	32	managed-object-player-masked-property-component	non_porte	1092	11	395	6.2	120	74	48	32	35	106	115	68	395	74	25
47	10	(hors grammaire)	hors_grammaire	1092	11	289	14.4	47	79	289	171	9	34	170	85	104	63	41
13	16	managed-object-player-masked-property-component	non_porte	1089	11	215	4.1	115	85	122	73	62	99	215	41	116	134	27
13	25	managed-object-player-masked-property-component	non_porte	1074	11	582	8.1	63	582	19	24	12	128	120	26	62	19	19
12	2	managed-navpoint-visibility-distance-filters-component	non_porte	1051	11	337	8.3	144	40	229	35	62	21	337	90	63	24	6
13	26	managed-object-player-masked-property-component	non_porte	1045	11	239	4.1	132	113	48	143	18	47	239	142	98	53	12
12	58	(hors grammaire)	hors_grammaire	1031	11	293	6.9	150	138	293	20	4	16	189	101	58	54	8
47	4	(hors grammaire)	hors_grammaire	1011	11	243	8.8	39	61	64	114	19	33	168	158	243	41	71
12	16	managed-navpoint-override-flags	non_porte	972	11	251	2.6	134	51	152	59	13	29	251	105	108	60	10
4	60	(hors grammaire)	hors_grammaire	951	11	519	84.0	39	76	47	38	42	21	16	1	102	519	50
13	10	managed-object-player-masked-property-component	non_porte	939	11	201	3.7	62	62	90	107	55	52	201	33	90	178	9
47	0	managed-object-networked-splash-message-static-component	porte	911	11	188	14.1	84	86	76	74	22	47	119	74	188	99	42
12	9	managed-navpoint-formatted-text-component	non_porte	865	11	206	2.3	206	25	144	47	12	34	182	46	134	24	11
13	61	(hors grammaire)	hors_grammaire	850	11	292	2.3	143	99	19	88	7	32	292	21	54	85	10
13	62	(hors grammaire)	hors_grammaire	834	11	265	3.7	90	265	19	93	9	37	162	36	44	69	10
12	32	(hors grammaire)	hors_grammaire	811	11	176	2.4	121	24	147	36	8	27	176	70	139	53	10
12	62	(hors grammaire)	hors_grammaire	789	11	333	2.4	103	21	179	21	7	18	333	20	26	57	4
12	10	managed-navpoint-timers-component	non_porte	785	11	198	2.1	198	28	173	24	12	20	128	71	66	50	15
13	12	managed-object-player-masked-property-component	non_porte	775	11	175	3.4	92	79	33	58	12	65	175	117	77	57	10
13	63	(hors grammaire)	hors_grammaire	770	11	237	3.7	63	70	19	30	4	84	186	22	237	46	9
12	40	(hors grammaire)	hors_grammaire	758	11	235	1.6	81	17	235	38	3	17	179	66	80	35	7
12	26	managed-navpoint-visual-state-groups-component-6	non_porte	756	11	214	2.0	111	19	205	19	15	22	214	62	50	31	8
12	48	(hors grammaire)	hors_grammaire	745	11	180	2.6	97	19	148	66	7	27	180	51	115	26	9
13	11	managed-object-player-masked-property-component	non_porte	744	11	226	3.1	56	57	31	33	12	226	156	34	51	59	29
12	13	managed-navpoint-top-progress	non_porte	732	11	249	1.7	134	13	249	22	9	29	131	45	81	14	5
12	18	managed-navpoint-position-offset	non_porte	732	11	156	3.1	119	23	92	45	6	25	156	138	66	52	10
13	40	(hors grammaire)	hors_grammaire	725	11	198	3.1	84	48	45	35	46	117	198	31	75	38	8
12	19	managed-navpoint-visual-states-component	non_porte	717	11	282	1.9	120	16	282	31	5	20	125	43	41	31	3
4	55	(hors grammaire)	hors_grammaire	705	9	511	56.8	21	18	44	41	0	7	36	0	7	511	20
12	47	(hors grammaire)	hors_grammaire	702	11	197	4.8	81	13	154	19	7	25	197	63	28	112	3
47	20	(hors grammaire)	hors_grammaire	691	11	166	9.6	33	35	59	44	22	52	44	46	166	61	129
47	36	(hors grammaire)	hors_grammaire	690	11	122	5.9	46	71	103	60	16	37	85	63	122	41	46
47	52	(hors grammaire)	hors_grammaire	667	11	104	7.3	67	57	104	52	16	31	62	50	88	51	89
12	61	(hors grammaire)	hors_grammaire	666	11	234	2.1	94	24	234	17	16	24	147	22	45	37	6
13	18	managed-object-player-masked-property-component	non_porte	652	11	160	3.6	49	41	23	104	13	59	160	29	46	88	40
12	7	managed-navpoint-docking-order-component	non_porte	650	11	181	1.7	181	20	113	23	5	28	112	40	98	21	9
12	17	managed-navpoint-object-marker	non_porte	649	11	185	1.6	120	24	85	27	10	27	185	45	84	29	13
12	12	managed-navpoint-manual-timer-current-duration-component	non_porte	637	11	139	3.1	139	23	88	78	7	22	132	29	92	18	9
12	23	managed-navpoint-visual-state-groups-component-3	non_porte	636	10	275	1.7	71	18	66	23	0	19	275	61	84	14	5
11	0	managed-objective-timers-component	non_porte	625	8	486	7.0	0	0	8	7	4	3	486	13	41	63	0
12	55	(hors grammaire)	hors_grammaire	625	11	204	3.3	125	8	204	21	25	34	116	36	38	11	7
12	53	(hors grammaire)	hors_grammaire	624	11	178	1.9	141	16	76	40	14	22	178	39	74	17	7
11	4	managed-objective-interaction-filter-component	non_porte	622	8	322	11.0	0	0	3	2	2	3	322	87	137	66	0
13	53	(hors grammaire)	hors_grammaire	597	11	160	1.5	61	53	31	30	9	76	160	51	90	29	7
13	56	(hors grammaire)	hors_grammaire	583	11	155	1.7	155	51	28	15	6	82	127	24	51	34	10
12	15	managed-navpoint-bottom-progress	non_porte	582	11	195	1.3	135	14	195	10	5	17	101	32	54	14	5
13	42	(hors grammaire)	hors_grammaire	576	11	150	1.4	44	38	30	51	7	82	150	36	82	41	15
12	34	(hors grammaire)	hors_grammaire	574	11	153	7.2	106	18	90	17	54	18	153	65	27	18	8
12	25	managed-navpoint-visual-state-groups-component-5	non_porte	571	11	132	2.2	95	38	84	54	3	30	132	18	94	12	11
12	57	(hors grammaire)	hors_grammaire	569	11	157	1.2	130	13	157	30	9	29	91	56	41	9	4
13	19	managed-object-player-masked-property-component	non_porte	568	11	121	2.2	89	81	30	41	11	27	121	75	40	35	18
13	54	(hors grammaire)	hors_grammaire	568	11	234	3.7	39	44	20	11	5	40	109	18	234	36	12
12	42	(hors grammaire)	hors_grammaire	553	11	163	1.2	83	9	126	29	2	29	163	38	51	19	4
12	24	managed-navpoint-visual-state-groups-component-4	non_porte	552	11	203	1.4	78	18	94	23	5	36	203	33	46	7	9
13	47	(hors grammaire)	hors_grammaire	551	11	108	1.2	106	81	35	17	3	85	108	22	25	58	11
12	33	(hors grammaire)	hors_grammaire	546	11	135	1.5	99	24	102	5	9	18	135	37	89	23	5
12	11	managed-navpoint-manual-timer-initial-duration-component	non_porte	545	11	140	1.6	140	15	104	40	2	17	127	25	45	17	13
13	23	managed-object-player-masked-property-component	non_porte	544	11	144	2.1	68	50	37	81	18	41	144	24	53	20	8
12	46	(hors grammaire)	hors_grammaire	541	11	195	1.6	90	20	195	39	4	16	104	21	37	12	3
4	57	(hors grammaire)	hors_grammaire	540	9	507	56.3	0	1	11	3	0	1	5	2	7	507	3
12	29	(hors grammaire)	hors_grammaire	537	11	205	1.4	83	14	205	6	3	17	101	33	51	14	10
12	45	(hors grammaire)	hors_grammaire	532	11	121	1.6	88	28	121	11	5	32	89	74	59	21	4
12	63	(hors grammaire)	hors_grammaire	524	11	168	1.8	50	14	95	14	2	19	168	28	100	20	14
12	38	(hors grammaire)	hors_grammaire	522	11	181	1.1	135	11	87	15	5	14	181	30	31	5	8
13	29	managed-object-player-masked-property-component	non_porte	522	11	151	1.5	54	37	57	20	21	61	151	14	48	53	6
13	33	managed-object-player-masked-property-component	non_porte	519	11	119	1.2	49	67	22	19	9	89	119	31	71	34	9
12	43	(hors grammaire)	hors_grammaire	518	11	130	2.1	85	25	104	20	4	23	130	40	29	49	9
12	54	(hors grammaire)	hors_grammaire	517	11	133	1.2	87	24	125	18	6	23	133	26	52	16	7
12	50	(hors grammaire)	hors_grammaire	511	11	133	2.5	83	12	96	63	11	17	133	35	42	14	5
12	56	(hors grammaire)	hors_grammaire	509	11	156	1.4	111	17	85	18	9	9	156	31	40	22	11
12	35	(hors grammaire)	hors_grammaire	507	11	132	1.0	112	18	113	9	6	24	132	41	30	17	5
