ti	i	composant	statut	annonces_total	films_presents	annonces_max_film	exces_max	7344d24f	696a9d7c	0a247154	01e1f945	606d9844	8076f97f	64e8adfa	530820e5	53ce4390	24dbb67d	000d5950	
47	18	(hors grammaire)	hors_grammaire	223	11	65	2.4	9	16	19	22	6	6	34	18	65	17	11
47	27	(hors grammaire)	hors_grammaire	216	11	44	3.7	17	8	29	20	7	44	25	18	32	9	7
11	3	managed-objective-object-reference-component	non_porte	214	7	139	2.7	0	0	3	2	0	1	139	20	25	24	0
11	48	(hors grammaire)	hors_grammaire	214	6	153	3.4	0	0	2	0	0	2	153	31	21	5	0
47	24	(hors grammaire)	hors_grammaire	213	11	38	2.0	22	18	24	33	4	19	33	11	38	3	8
47	45	(hors grammaire)	hors_grammaire	206	11	40	3.0	5	8	29	25	7	28	30	12	17	5	40
47	51	(hors grammaire)	hors_grammaire	206	11	71	3.1	7	10	15	71	3	3	23	24	37	3	10
11	8	managed-objective-message-type-component	non_porte	202	6	146	5.0	0	0	10	0	1	0	146	9	24	12	0
47	39	(hors grammaire)	hors_grammaire	195	11	54	2.1	9	17	18	22	3	10	54	38	10	3	11
47	33	(hors grammaire)	hors_grammaire	190	11	40	2.0	14	8	23	30	4	24	13	8	40	6	20
47	61	(hors grammaire)	hors_grammaire	189	11	120	8.9	2	5	11	7	3	10	5	8	15	3	120
47	19	(hors grammaire)	hors_grammaire	188	11	35	1.7	3	9	15	24	5	10	35	25	30	12	20
11	12	managed-objective-progress-component	non_porte	187	6	130	2.2	0	0	4	0	0	1	130	9	28	15	0
11	32	managed-objective-outro-phase-duration-component	non_porte	186	7	136	7.0	0	0	2	1	0	7	136	3	30	7	0
47	42	(hors grammaire)	hors_grammaire	186	11	46	3.5	2	46	15	23	6	3	30	19	20	1	21
47	11	(hors grammaire)	hors_grammaire	185	11	45	2.4	8	6	25	18	1	6	22	20	45	17	17
47	14	(hors grammaire)	hors_grammaire	183	11	34	3.6	12	14	29	23	7	8	14	10	34	25	7
11	26	managed-objective-sub-objective-entities-component	non_porte	182	7	130	4.0	0	0	2	1	0	4	130	17	15	13	0
47	15	(hors grammaire)	hors_grammaire	181	11	46	6.6	6	13	29	5	3	10	11	12	39	46	7
47	44	(hors grammaire)	hors_grammaire	174	11	48	4.0	8	6	20	7	9	48	40	16	11	3	6
47	40	(hors grammaire)	hors_grammaire	173	11	31	2.4	12	3	18	23	4	15	25	13	31	17	12
47	25	(hors grammaire)	hors_grammaire	172	11	49	3.2	3	6	16	13	8	39	15	8	49	9	6
47	55	(hors grammaire)	hors_grammaire	170	11	48	1.3	7	10	12	30	5	11	21	10	48	8	8
47	23	(hors grammaire)	hors_grammaire	169	11	50	1.5	5	19	23	18	1	9	16	14	50	7	7
47	60	(hors grammaire)	hors_grammaire	169	11	31	1.7	8	11	16	26	4	9	14	31	26	11	13
11	60	(hors grammaire)	hors_grammaire	168	7	119	2.0	0	0	1	1	0	2	119	13	23	9	0
47	34	(hors grammaire)	hors_grammaire	167	11	33	1.8	5	10	20	25	3	12	15	33	29	6	9
11	58	(hors grammaire)	hors_grammaire	166	7	110	3.0	0	0	6	1	0	2	110	23	12	12	0
11	5	managed-objective-type-component	non_porte	165	7	139	3.0	0	0	4	3	0	1	139	5	7	6	0
47	50	(hors grammaire)	hors_grammaire	165	11	47	1.8	9	3	12	31	5	7	47	10	30	2	9
47	7	(hors grammaire)	hors_grammaire	163	11	42	1.5	17	13	12	10	2	14	26	15	42	4	8
11	47	(hors grammaire)	hors_grammaire	160	7	139	1.7	0	0	0	1	1	1	139	3	10	5	0
11	31	managed-objective-sub-objective-entities-component	non_porte	151	6	99	3.4	0	0	3	0	0	1	99	31	12	5	0
11	56	(hors grammaire)	hors_grammaire	151	7	106	3.0	0	0	1	1	0	3	106	16	16	8	0
47	30	(hors grammaire)	hors_grammaire	148	11	36	1.5	12	19	19	15	1	12	9	14	36	2	9
47	29	(hors grammaire)	hors_grammaire	143	11	32	1.6	9	9	32	9	6	14	9	24	16	6	9
47	35	(hors grammaire)	hors_grammaire	143	11	36	1.3	14	16	19	9	1	10	18	13	36	1	6
11	7	managed-objective-priority-component	non_porte	139	6	110	2.0	0	0	1	2	0	0	110	7	10	9	0
47	46	(hors grammaire)	hors_grammaire	136	11	27	1.4	13	7	27	9	5	14	21	14	16	5	5
11	17	managed-objective-sub-objective-entities-component	non_porte	133	8	90	2.0	0	0	1	2	1	1	90	5	19	14	0
11	44	(hors grammaire)	hors_grammaire	133	7	106	1.5	0	0	3	1	0	1	106	6	11	5	0
11	27	managed-objective-sub-objective-entities-component	non_porte	132	8	84	8.0	0	0	1	8	1	3	84	6	20	9	0
4	2	(hors grammaire)	hors_grammaire	130	8	110	12.2	6	0	0	2	0	1	3	3	3	110	2
47	38	(hors grammaire)	hors_grammaire	130	11	21	1.9	21	14	11	9	3	6	15	21	16	6	8
11	18	managed-objective-sub-objective-entities-component	non_porte	129	7	72	3.1	0	0	5	1	0	2	72	11	10	28	0
11	57	(hors grammaire)	hors_grammaire	128	6	72	12.0	0	0	3	0	0	12	72	13	19	9	0
47	37	(hors grammaire)	hors_grammaire	128	11	34	2.8	8	5	16	10	14	10	8	15	34	2	6
11	11	managed-objective-is-only-one-item-unlocked-component	non_porte	127	7	88	2.0	0	0	2	2	1	0	88	9	7	18	0
4	28	(hors grammaire)	hors_grammaire	127	10	72	18.0	4	9	72	11	3	1	3	0	5	13	6
4	52	(hors grammaire)	hors_grammaire	127	11	21	10.5	21	21	19	12	4	2	15	4	3	15	11
11	38	(hors grammaire)	hors_grammaire	123	7	88	3.0	0	0	2	1	0	3	88	5	13	11	0
11	50	(hors grammaire)	hors_grammaire	122	7	73	3.0	0	0	1	2	0	3	73	18	11	14	0
4	33	(hors grammaire)	hors_grammaire	119	10	32	16.0	32	18	14	9	7	5	10	0	5	9	10
4	56	(hors grammaire)	hors_grammaire	119	11	30	10.0	13	20	30	11	2	4	6	3	4	16	10
11	62	(hors grammaire)	hors_grammaire	117	7	96	1.2	0	0	1	0	1	1	96	4	7	7	0
4	6	(hors grammaire)	hors_grammaire	117	11	41	14.0	12	3	8	15	7	4	14	2	3	41	8
4	8	(hors grammaire)	hors_grammaire	116	11	24	6.0	11	12	14	7	1	3	22	3	4	24	15
47	41	(hors grammaire)	hors_grammaire	116	11	37	1.4	8	7	9	7	7	6	11	8	37	4	12
11	42	(hors grammaire)	hors_grammaire	115	7	73	3.0	0	0	6	1	0	2	73	5	13	15	0
11	55	(hors grammaire)	hors_grammaire	115	6	69	14.0	0	0	2	0	0	14	69	14	10	6	0
4	17	(hors grammaire)	hors_grammaire	115	11	32	10.0	6	4	10	4	5	3	14	8	16	13	32
11	25	managed-objective-sub-objective-entities-component	non_porte	113	7	72	4.0	0	0	2	2	0	4	72	22	10	1	0
47	28	(hors grammaire)	hors_grammaire	112	11	24	1.4	11	4	8	8	7	6	20	5	24	6	13
11	40	(hors grammaire)	hors_grammaire	111	7	69	7.0	0	0	3	7	0	4	69	4	15	9	0
11	61	(hors grammaire)	hors_grammaire	110	5	85	1.1	0	0	1	0	0	0	85	4	12	8	0
11	63	(hors grammaire)	hors_grammaire	110	5	50	3.8	0	0	0	0	0	1	50	6	48	5	0
11	14	managed-objective-state-component	non_porte	109	5	58	1.9	0	0	2	0	0	0	58	12	20	17	0
4	48	(hors grammaire)	hors_grammaire	109	11	64	32.0	9	64	9	4	3	1	6	1	4	4	4
47	54	(hors grammaire)	hors_grammaire	109	11	34	0.9	7	9	18	8	4	9	8	5	34	1	6
11	13	managed-objective-required-progress-component	non_porte	107	7	63	2.0	0	0	2	1	0	1	63	2	20	18	0
11	43	(hors grammaire)	hors_grammaire	104	7	87	1.5	0	0	3	0	1	1	87	3	3	6	0
4	32	(hors grammaire)	hors_grammaire	102	11	23	11.5	6	5	22	23	3	2	7	3	4	10	17
11	39	(hors grammaire)	hors_grammaire	99	5	58	3.4	0	0	0	0	0	3	58	31	6	1	0
11	54	(hors grammaire)	hors_grammaire	97	6	54	3.0	0	0	1	0	0	3	54	3	30	6	0
11	35	(hors grammaire)	hors_grammaire	95	6	77	1.0	0	0	1	0	0	1	77	5	6	5	0
11	34	(hors grammaire)	hors_grammaire	94	7	52	2.6	0	0	1	0	2	1	52	23	6	9	0
11	24	managed-objective-sub-objective-entities-component	non_porte	93	4	70	1.0	0	0	0	0	0	0	70	5	13	5	0
11	59	(hors grammaire)	hors_grammaire	92	6	59	2.0	0	0	2	0	0	2	59	9	18	2	0
4	53	(hors grammaire)	hors_grammaire	92	11	22	8.0	3	3	15	16	4	4	22	3	2	14	6
47	62	(hors grammaire)	hors_grammaire	91	11	14	0.9	10	8	14	12	2	4	10	7	14	1	9
4	36	(hors grammaire)	hors_grammaire	90	10	19	8.0	5	15	19	5	4	0	14	4	3	9	12
11	23	managed-objective-sub-objective-entities-component	non_porte	88	6	58	2.0	0	0	2	2	0	0	58	10	14	2	0
11	53	(hors grammaire)	hors_grammaire	88	7	47	2.0	0	0	1	2	0	1	47	9	22	6	0
11	19	managed-objective-sub-objective-entities-component	non_porte	87	7	57	2.0	0	0	1	2	0	1	57	10	8	8	0
11	15	managed-objective-parent-objective-component	non_porte	83	7	51	4.0	0	0	2	4	1	0	51	8	8	9	0
11	21	managed-objective-sub-objective-entities-component	non_porte	83	6	53	2.0	0	0	0	1	0	2	53	10	4	13	0
11	45	(hors grammaire)	hors_grammaire	79	7	43	2.2	0	0	1	1	0	2	43	3	9	20	0
4	20	(hors grammaire)	hors_grammaire	76	9	18	4.5	3	4	18	5	2	0	12	0	6	13	13
11	22	managed-objective-sub-objective-entities-component	non_porte	74	6	53	1.0	0	0	0	1	0	1	53	6	7	6	0
11	28	managed-objective-sub-objective-entities-component	non_porte	72	5	53	1.0	0	0	2	0	0	0	53	5	5	7	0
4	30	(hors grammaire)	hors_grammaire	72	10	45	11.2	1	4	45	2	1	0	6	2	2	5	4
4	54	(hors grammaire)	hors_grammaire	72	9	19	9.5	19	0	11	2	0	5	9	1	11	7	7
4	12	(hors grammaire)	hors_grammaire	71	11	26	10.0	6	13	5	2	5	1	2	2	7	2	26
11	46	(hors grammaire)	hors_grammaire	70	7	43	4.0	0	0	2	4	1	0	43	4	9	7	0
11	33	managed-objective-forced-update-component	non_porte	69	5	34	2.6	0	0	5	2	0	0	34	0	5	23	0
11	30	managed-objective-sub-objective-entities-component	non_porte	67	4	49	1.0	0	0	0	1	0	0	49	0	12	5	0
11	41	(hors grammaire)	hors_grammaire	66	7	42	4.0	0	0	1	4	0	2	42	5	7	5	0
4	44	(hors grammaire)	hors_grammaire	66	11	23	11.5	6	23	11	4	4	1	6	1	1	4	5
11	37	(hors grammaire)	hors_grammaire	64	6	39	2.0	0	0	1	0	0	2	39	6	6	10	0
11	29	managed-objective-sub-objective-entities-component	non_porte	61	7	41	2.0	0	0	1	2	0	1	41	6	7	3	0
11	51	(hors grammaire)	hors_grammaire	60	6	39	2.0	0	0	4	0	1	0	39	9	6	1	0
4	7	(hors grammaire)	hors_grammaire	60	10	27	14.0	3	7	0	2	7	1	3	1	4	27	5
4	40	(hors grammaire)	hors_grammaire	58	9	18	9.0	4	18	11	1	0	1	5	0	3	11	4
4	29	(hors grammaire)	hors_grammaire	56	7	39	9.8	0	0	39	1	3	0	2	2	0	5	4
4	18	(hors grammaire)	hors_grammaire	55	10	16	4.0	5	1	2	8	0	1	5	2	2	16	13
11	49	(hors grammaire)	hors_grammaire	50	5	31	1.5	0	0	3	0	0	0	31	5	5	6	0
4	31	(hors grammaire)	hors_grammaire	48	10	25	6.2	1	1	25	0	2	1	4	2	2	1	9
4	24	(hors grammaire)	hors_grammaire	46	11	9	4.0	2	5	4	4	1	4	4	4	1	8	9
4	16	(hors grammaire)	hors_grammaire	45	9	11	4.0	8	1	3	4	0	0	4	3	4	7	11
4	42	(hors grammaire)	hors_grammaire	42	9	19	2.1	3	0	5	4	0	2	4	2	2	19	1
4	15	(hors grammaire)	hors_grammaire	41	7	23	3.3	1	0	0	0	0	3	4	1	2	7	23
4	27	(hors grammaire)	hors_grammaire	40	7	18	4.5	2	2	18	0	0	0	2	0	2	6	8
4	61	(hors grammaire)	hors_grammaire	37	7	18	2.6	0	2	1	1	0	0	2	1	0	12	18
4	62	(hors grammaire)	hors_grammaire	35	7	10	1.8	0	0	7	2	0	1	3	0	3	10	9
4	26	(hors grammaire)	hors_grammaire	34	8	11	6.0	2	0	0	2	3	0	3	1	3	9	11
4	19	(hors grammaire)	hors_grammaire	33	9	14	2.0	0	1	1	1	0	2	5	1	3	14	5
4	43	(hors grammaire)	hors_grammaire	32	9	9	3.0	1	2	3	1	0	0	5	3	2	9	6
4	1	(hors grammaire)	hors_grammaire	31	8	9	1.8	1	2	2	2	0	0	7	0	3	9	5
4	14	(hors grammaire)	hors_grammaire	31	11	9	4.0	2	1	2	3	2	1	4	1	2	4	9
4	25	(hors grammaire)	hors_grammaire	31	8	9	4.0	0	2	1	2	0	0	8	4	1	4	9
4	35	(hors grammaire)	hors_grammaire	31	8	12	1.7	1	0	3	1	0	0	2	1	4	7	12
4	13	(hors grammaire)	hors_grammaire	30	9	12	2.0	1	1	1	1	0	0	3	2	1	12	8
4	37	(hors grammaire)	hors_grammaire	30	7	13	1.4	1	1	3	2	0	0	2	0	0	13	8
4	45	(hors grammaire)	hors_grammaire	30	10	8	2.0	0	1	2	2	1	1	8	1	1	6	7
4	59	(hors grammaire)	hors_grammaire	30	9	9	2.2	1	0	5	1	1	1	9	0	2	8	2
4	9	(hors grammaire)	hors_grammaire	30	8	9	2.2	1	2	1	2	0	0	9	0	4	6	5
4	47	(hors grammaire)	hors_grammaire	27	5	12	1.3	0	0	3	0	0	0	4	1	0	12	7
4	63	(hors grammaire)	hors_grammaire	27	5	14	2.0	1	0	0	0	0	0	3	0	1	8	14
4	22	(hors grammaire)	hors_grammaire	26	5	10	3.0	0	0	0	1	0	3	4	0	0	10	8
4	41	(hors grammaire)	hors_grammaire	26	8	7	1.2	2	0	1	2	0	1	3	0	3	7	7
4	10	(hors grammaire)	hors_grammaire	25	9	8	4.0	1	0	2	1	2	0	3	3	1	8	4
4	34	(hors grammaire)	hors_grammaire	25	11	7	2.0	1	3	2	2	1	1	4	1	1	7	2
4	50	(hors grammaire)	hors_grammaire	25	8	11	6.0	1	0	0	1	0	6	2	1	1	11	2
4	46	(hors grammaire)	hors_grammaire	24	10	6	1.5	1	2	6	3	0	1	3	1	1	5	1
4	39	(hors grammaire)	hors_grammaire	23	7	6	1.6	0	1	2	0	0	0	4	1	4	6	5
4	21	(hors grammaire)	hors_grammaire	22	7	5	2.0	2	0	2	4	0	0	4	0	1	4	5
4	58	(hors grammaire)	hors_grammaire	22	10	5	1.5	1	1	4	3	0	1	1	1	3	2	5
4	38	(hors grammaire)	hors_grammaire	21	7	8	2.0	1	0	8	2	0	0	1	1	0	7	1
4	11	(hors grammaire)	hors_grammaire	19	6	6	2.0	2	3	0	0	0	2	2	0	0	6	4
4	49	(hors grammaire)	hors_grammaire	19	9	5	2.0	1	1	3	1	1	1	2	0	0	5	4
4	51	(hors grammaire)	hors_grammaire	19	5	7	1.0	0	0	0	1	0	0	4	0	1	7	6
4	23	(hors grammaire)	hors_grammaire	18	6	9	2.0	0	0	0	0	1	0	3	2	1	9	2
