ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	577	54	54	1569,1571,1629,1630,1631,1632,1685,1688,1710,1730,1747,1761,1782,1792,1795,1802,1871,1915,1941,1974,1988,2013,2014,2037,2047,2069,2089,2101,2136,2168,2244,2248,2250,2279,2301,2313,2359,2380,2413,2430,2447,2488,2522,2562,2564,2673,2722,2774,2823,2857,2879,2952,3008,3033
12	true	28	157	58	57	1568,1570,1634,1635,1689,1731,1759,1791,1796,1799,1824,1996,2044,2077,2102,2103,2138,2169,2170,2196,2199,2237,2240,2274,2275,2311,2325,2337,2357,2360,2387,2392,2531,2532,2533,2581,2611,2614,2615,2616,2617,2655,2656,2659,2660,2661,2751,2752,2753,2754,2770,2771,2772,2810,2824,2954,2955,3045
23	true	33	0	0	0	
11	true	34	38	1	1	1620
13	true	34	775	20	20	1553,1554,1555,1556,1557,1558,1559,1560,1561,1562,1563,1564,1565,1566,1567,1621,1622,1623,1624,1625
47	true	3	312	8	8	1298,1300,1302,1304,1306,1308,1310,1312
4	true	1	39	1	1	123
38	false	0	7980	217	0	1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1533,1534,1542,1545,1626,1627,1789,1985,1986,2055,2066,2067,2267,2298,2299,2704,2749,2750
6	false	0	1918	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	1320	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
