# C.0.2 boundary-visibility : 1347 records, 1162 valeurs distinctes, 32 bits utiles, 1182 transitions
# C.1b.3a radial-progress : 16679 valeurs, 15 slots, 62 rampes, captures couvertes 68/71 (95.8 %), temoin 36.6 %, verdict NON TENU
rampe	1624	37146	52655	127	253	360
rampe	2962	48484	71698	12	68	3
rampe	1624	52690	75836	127	253	366
rampe	1624	75853	84861	127	253	367
rampe	1623	87814	94688	127	253	282
rampe	1625	94922	101899	127	253	419
rampe	1623	94706	102847	127	143	52
rampe	1624	104197	111172	127	253	372
rampe	1625	101914	112623	127	196	230
rampe	1624	111189	129992	127	253	273
rampe	1623	104232	140669	127	253	420
rampe	1625	123586	141104	127	202	249
rampe	2969	142255	142872	48	234	4
rampe	1625	141121	144490	0	253	170
rampe	2962	145441	147126	30	247	4
rampe	1624	130009	148661	127	228	251
rampe	1623	140688	187049	127	253	417
rampe	1623	187068	198061	127	253	420
rampe	1624	148912	232265	127	196	202
rampe	1623	198079	235484	127	253	419
rampe	1623	235502	244728	127	253	332
rampe	1625	144508	245345	127	253	400
rampe	1624	234168	249801	127	253	367
rampe	2962	234234	249967	5	171	4
rampe	2962	254056	254106	1	169	3
rampe	2962	257812	257862	36	191	3
rampe	2962	259731	260243	65	160	3
rampe	2962	260277	260794	32	136	4
rampe	1624	249819	261612	127	253	299
rampe	1625	245363	265548	127	253	420
rampe	1623	244747	301552	127	253	413
rampe	2970	257646	322223	40	163	3
rampe	1624	261630	328262	127	253	365
rampe	1624	328297	342526	127	202	219
rampe	1625	265566	347731	127	253	392
rampe	1625	347750	355856	127	253	339
rampe	1625	355873	366865	127	207	268
rampe	1624	365281	372455	127	253	365
rampe	1623	301570	381072	127	233	354
rampe	1625	368284	388045	127	253	419
rampe	1624	372491	388413	127	158	90
rampe	1623	383393	392484	127	253	420
rampe	1625	388063	407413	127	253	420
rampe	2962	350601	424683	15	184	3
rampe	2306	326960	434175	128	189	3
rampe	1623	392504	438714	127	253	416
rampe	1625	407431	449756	127	152	84
rampe	1623	438731	461372	127	253	419
rampe	1623	461389	469164	127	253	297
rampe	1623	469181	489729	127	253	389
rampe	1624	438080	492916	127	253	365
rampe	2962	496035	497037	35	233	5
rampe	1624	492933	501611	127	253	368
rampe	1623	489747	514946	127	253	420
rampe	1625	452343	523611	127	253	420
rampe	1625	523630	532137	127	253	325
rampe	1623	514964	537811	127	253	403
rampe	2969	257680	548582	39	144	4
rampe	1623	537829	551118	127	253	420
rampe	1625	532155	565581	127	253	420
rampe	1624	584131	589352	127	253	274
rampe	1623	551136	590553	127	253	316
# C.1b.3b boundary-color : 1194 records, 996 quadruplets, 1023 changements, captures couvertes 67/71 (94.4 %), verdict NON TENU
# C.1b.3c rtpc : 23470 records, 811 identifiants, 23469 avec valeur, 124 rampes
