ti	archetype_present	composants	records_image_cle	slots_distincts	slots_bande	slots
10	true	30	0	0	0	
12	true	28	3	3	3	1751,1799,2475
23	true	33	0	0	0	
11	true	34	0	0	0	
13	true	34	200	8	8	1454,1455,1456,1457,1458,1459,1460,1461
47	true	3	200	8	8	1298,1300,1302,1304,1306,1308,1310,1312
4	true	1	25	1	1	123
38	false	0	2013	139	0	1280,1281,1282,1283,1284,1285,1286,1289,1290,1291,1292,1293,1294,1295,1296,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1473,1487,1493,1498,1510,1564,1566,1588,1607,1627,1638,1642,1648,1671,1704,1706,1710,1715,1746,1769,1825,1866,1870,1887,1907,1944,1984,2017,2048,2074,2075,2079,2082,2089,2126,2162,2170,2177,2182,2214,2226,2239,2245,2268,2275,2303,2304,2351,2355,2391,2411,2419,2467,2473,2510,2515,2557,2571,2580,2598,2617,2641
6	false	0	1248	48	0	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
17	false	0	858	33	0	84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
