bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	4	player-masked-property (i4)	10	22	1542	782	1566	3	A8900055640FE39B	1	1	[non chaine]
reelle	4	player-masked-property (i4)	11	24	1186	705	1553	1	B8900055640F391D	4	8	[non chaine]
reelle	4	player-masked-property (i4)	12	26	974	382	1563	3	C28C005903E8E6E9	4	2	[non chaine]
reelle	4	player-masked-property (i4)	12	28	722	213	1562	3	C8900055640ECC5E	4	8	[non chaine]
reelle	4	player-masked-property (i4)	13	33	882	388	1564	1	D13D25001155640F	4	1	[non chaine]
reelle	4	player-masked-property (i4)	14	31	784	1169	1553	1	EE900055640F825F	4	14	[non chaine]
reelle	4	player-masked-property (i4)	15	24	276	736	1565	0	FCCC006F512CA301	4	12	[non chaine]
reelle	4	player-masked-property (i4)	15	33	588	444	1564	0	F694004555903C54	4	6	[non chaine]
reelle	5	player-masked-property (i5)	0	8	1146	33	1564	1	0E2D59B889A8592C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	0	8	1578	33	1563	1	062D59B889A8592C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	0	8	2196	33	1565	1	002D59B889A8592C	0	0	[non chaine]
reelle	5	player-masked-property (i5)	1	14	1394	1201	1564	3	1202C30010842557	0	0	[non chaine]
reelle	5	player-masked-property (i5)	1	17	366	1343	1554	1	101D052040B66AC1	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	36	26	1305	1621	2	2B3A480021061FE9	0	0	[non chaine]
reelle	5	player-masked-property (i5)	2	37	1792	566	1625	1	26900055640F339E	0	0	[non chaine]
reelle	5	player-masked-property (i5)	3	20	1862	1561	1559	1	3EDAE42F86002108	0	0	[non chaine]
reelle	5	player-masked-property (i5)	3	39	536	316	1564	0	3494004555903DE3	0	0	[non chaine]
reelle	5	player-masked-property (i5)	5	39	60	367	1554	2	559D930009104A7D	0	0	[non chaine]
reelle	5	player-masked-property (i5)	5	39	380	449	1554	0	559480016012316D	0	0	[non chaine]
reelle	5	player-masked-property (i5)	5	39	382	270	1554	0	559480015E12306D	0	0	[non chaine]
reelle	5	player-masked-property (i5)	6	39	330	270	1553	2	65200064846514CA	0	0	[non chaine]
reelle	5	player-masked-property (i5)	10	16	1886	230	1558	0	A111DA400155903C	1	0	[non chaine]
reelle	9	player-masked-property (i9)	0	8	1792	33	1563	1	062D59B889A8592C	0	0	[non chaine]
reelle	9	player-masked-property (i9)	0	8	2046	33	1564	1	0E2D59B889A8592C	0	0	[non chaine]
reelle	9	player-masked-property (i9)	0	22	2216	1448	1565	2	00A9F344039F0010	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	21	2044	199	1567	0	1127A400155903F0	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	29	1734	1216	1556	1	17F62ABE49286002	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	31	1454	729	1558	0	118964C086002107	0	0	[non chaine]
reelle	9	player-masked-property (i9)	2	11	576	837	1555	0	2DC88B12000AAC81	0	0	[non chaine]
reelle	9	player-masked-property (i9)	3	11	586	843	1555	0	30EEED5734458900	0	0	[non chaine]
reelle	9	player-masked-property (i9)	4	4	2164	349	1624	0	4335B0F4F19BF441	0	0	[non chaine]
reelle	9	player-masked-property (i9)	4	29	1740	1216	1556	0	40B878B649286002	0	0	[non chaine]
reelle	9	player-masked-property (i9)	5	16	728	933	1565	3	511EA40015590414	0	0	[non chaine]
reelle	9	player-masked-property (i9)	5	24	2020	399	1566	2	512DA5001155640F	0	0	[non chaine]
reelle	9	player-masked-property (i9)	8	31	340	675	1554	1	8002042509161A64	32	2114128	[non chaine]
reelle	9	player-masked-property (i9)	9	15	78	645	1556	0	9ED31446E9000456	32	3979428974	[non chaine]
reelle	9	player-masked-property (i9)	9	19	1694	738	1562	1	9986000EE0D95BF7	32	2556428526	[non chaine]
reelle	9	player-masked-property (i9)	9	29	1674	1088	1558	2	99576282A2042782	32	2507548714	[non chaine]
reelle	9	player-masked-property (i9)	10	12	536	670	1561	2	AB5AD3909281118A	1	1	[non chaine]
reelle	9	player-masked-property (i9)	12	1	8	154234	1567	0	C2D2828C01310285	4	2	[non chaine]
reelle	9	player-masked-property (i9)	12	1	8	164807	1561	2	C2D2828C01310285	4	2	[non chaine]
reelle	9	player-masked-property (i9)	12	7	2274	1818	1560	2	CA91801061FF73B8	4	10	[non chaine]
reelle	9	player-masked-property (i9)	13	2	2342	1125	1559	3	D2FA2B374881D200	4	2	[non chaine]
reelle	9	player-masked-property (i9)	14	17	710	635	1624	2	E8BD3731120A4001	4	8	[non chaine]
reelle	12	player-masked-property (i12)	0	5	1514	1239	1564	2	004A536C220010F6	0	0	[non chaine]
reelle	12	player-masked-property (i12)	0	8	1930	57	1563	1	062D59B889A8592C	0	0	[non chaine]
reelle	12	player-masked-property (i12)	0	9	26	33	1564	1	0E2D59B889A8592C	0	0	[non chaine]
reelle	12	player-masked-property (i12)	2	3	614	1856	1624	0	2855880EB0090903	0	0	[non chaine]
reelle	12	player-masked-property (i12)	2	4	328	1801	1564	0	227A4D4A880043EC	0	0	[non chaine]
reelle	12	player-masked-property (i12)	4	30	2272	149	1555	1	41868000640F6840	0	0	[non chaine]
reelle	12	player-masked-property (i12)	4	37	2288	232	1562	2	4D428004A40F6840	0	0	[non chaine]
reelle	12	player-masked-property (i12)	6	11	564	458	1555	0	6D088B11800B2077	0	0	[non chaine]
