ti	i	composant	niveau	statut	annonces	pct_records_ti	plancher_bruit	exces_sur_plancher	temoin_vide	temoin_inconnu	temoin_occupe
12	7	managed-navpoint-docking-order-component	2	non_porte	23	0.26	25.0	0.9	102	443	129
12	8	managed-navpoint-docking-group-name-component	1	non_porte	45	0.51	25.0	1.8	459	685	764
12	9	managed-navpoint-formatted-text-component	1	non_porte	47	0.53	25.0	1.9	266	570	1098
12	10	managed-navpoint-timers-component	1	non_porte	24	0.27	25.0	1.0	250	442	297
12	11	managed-navpoint-manual-timer-initial-duration-component	1	non_porte	40	0.45	25.0	1.6	149	327	244
12	12	managed-navpoint-manual-timer-current-duration-component	1	non_porte	78	0.89	25.0	3.1	214	417	185
12	13	managed-navpoint-top-progress	1	non_porte	22	0.25	25.0	0.9	801	374	524
12	14	managed-navpoint-radial-progress	1	non_porte	7233	82.09	25.0	289.3	93	273	191
12	15	managed-navpoint-bottom-progress	1	non_porte	10	0.11	25.0	0.4	79	247	258
12	16	managed-navpoint-override-flags	1	non_porte	59	0.67	25.0	2.4	1445	737	954
12	17	managed-navpoint-object-marker	1	non_porte	27	0.31	25.0	1.1	167	532	439
12	18	managed-navpoint-position-offset	1	non_porte	45	0.51	25.0	1.8	394	318	340
12	19	managed-navpoint-visual-states-component	1	non_porte	31	0.35	25.0	1.2	135	194	3468
12	20	managed-navpoint-visual-state-groups-component-0	2	non_porte	152	1.73	25.0	6.1	212	333	338
12	21	managed-navpoint-visual-state-groups-component-1	1	non_porte	321	3.64	25.0	12.8	175	271	80373
12	22	managed-navpoint-visual-state-groups-component-2	1	non_porte	279	3.17	25.0	11.2	97	118	332
12	23	managed-navpoint-visual-state-groups-component-3	1	non_porte	23	0.26	25.0	0.9	149	140	174
12	24	managed-navpoint-visual-state-groups-component-4	1	non_porte	23	0.26	25.0	0.9	128	356	253
12	25	managed-navpoint-visual-state-groups-component-5	1	non_porte	54	0.61	25.0	2.2	76	270	162100
12	26	managed-navpoint-visual-state-groups-component-6	1	non_porte	19	0.22	25.0	0.8	192	322	436
12	27	managed-navpoint-visual-state-groups-component-7	1	non_porte	37	0.42	25.0	1.5	165	379	286
12	28	(hors grammaire)	-	hors_grammaire	11	0.12	25.0	0.4	79	263	1570
12	29	(hors grammaire)	-	hors_grammaire	6	0.07	25.0	0.2	422	231	148
12	30	(hors grammaire)	-	hors_grammaire	10	0.11	25.0	0.4	801	204	2365
12	31	(hors grammaire)	-	hors_grammaire	20	0.23	25.0	0.8	65	249	321
12	32	(hors grammaire)	-	hors_grammaire	36	0.41	25.0	1.4	494	419	521
12	33	(hors grammaire)	-	hors_grammaire	5	0.06	25.0	0.2	144	562	991
12	34	(hors grammaire)	-	hors_grammaire	17	0.19	25.0	0.7	124	259	364
12	35	(hors grammaire)	-	hors_grammaire	9	0.10	25.0	0.4	68	281	188
12	36	(hors grammaire)	-	hors_grammaire	89	1.01	25.0	3.6	258	563	351
12	37	(hors grammaire)	-	hors_grammaire	23	0.26	25.0	0.9	168	414	268
12	38	(hors grammaire)	-	hors_grammaire	15	0.17	25.0	0.6	113	481	575
12	39	(hors grammaire)	-	hors_grammaire	12	0.14	25.0	0.5	428	466	198
12	40	(hors grammaire)	-	hors_grammaire	38	0.43	25.0	1.5	168	559	397
12	41	(hors grammaire)	-	hors_grammaire	19	0.22	25.0	0.8	271	402	245
12	42	(hors grammaire)	-	hors_grammaire	29	0.33	25.0	1.2	140	365	652
12	43	(hors grammaire)	-	hors_grammaire	20	0.23	25.0	0.8	222	367	244
12	44	(hors grammaire)	-	hors_grammaire	15	0.17	25.0	0.6	129	318	255
12	45	(hors grammaire)	-	hors_grammaire	11	0.12	25.0	0.4	1378	204	419
12	46	(hors grammaire)	-	hors_grammaire	39	0.44	25.0	1.6	116	267	251
12	47	(hors grammaire)	-	hors_grammaire	19	0.22	25.0	0.8	614	333	381
12	48	(hors grammaire)	-	hors_grammaire	66	0.75	25.0	2.6	330	502	350
12	49	(hors grammaire)	-	hors_grammaire	22	0.25	25.0	0.9	76	276	226
12	50	(hors grammaire)	-	hors_grammaire	63	0.72	25.0	2.5	148	244	272
12	51	(hors grammaire)	-	hors_grammaire	18	0.20	25.0	0.7	68	241	221
12	52	(hors grammaire)	-	hors_grammaire	65	0.74	25.0	2.6	273	496	242
12	53	(hors grammaire)	-	hors_grammaire	40	0.45	25.0	1.6	228	559	513
