bande	i	composant	tag	chunk	paquet	bit_charge	slot	gen	bits_bruts_hex	pay_bits	payload
reelle	8	player-masked-property (i8)	6	15	1442	758	1404	2	61FA21088E920008	0	0	[non chaine]
reelle	8	player-masked-property (i8)	7	22	1812	1753	1407	2	736C1948B4B92F4C	24	3588500	[non chaine]
reelle	8	player-masked-property (i8)	8	10	1538	7510	1392	1	80000000195CD18A	32	1	[CHAINE]
reelle	8	player-masked-property (i8)	8	10	1714	3049	1392	1	80000000095CD12A	32	0	[CHAINE]
reelle	8	player-masked-property (i8)	8	20	1324	3647	1392	1	80000000195CD12A	32	1	[CHAINE]
reelle	8	player-masked-property (i8)	9	13	658	327	1403	0	9118A400155906EF	32	294273025	[non chaine]
reelle	8	player-masked-property (i8)	9	14	2356	657	1406	0	911BA4001676065A	32	297418753	[non chaine]
reelle	8	player-masked-property (i8)	9	17	794	261	1401	2	911D240015590692	32	298991617	[non chaine]
reelle	8	player-masked-property (i8)	13	3	2016	1400	1409	3	D39F302310424001	4	3	[non chaine]
reelle	8	player-masked-property (i8)	15	12	2338	991	1379	2	F9D037688C91800B	4	9	[non chaine]
reelle	8	player-masked-property (i8)	15	17	2320	849	1409	3	F011D44749000556	4	0	[non chaine]
reelle	8	player-masked-property (i8)	15	17	2322	441	1377	3	F011E44749000556	4	0	[non chaine]
reelle	9	player-masked-property (i9)	0	8	786	1742	1382	3	000420C6B62A8415	0	0	[non chaine]
reelle	9	player-masked-property (i9)	0	15	978	194	1404	0	0223446002C83322	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	4	968	1654	1380	3	10008D65D4B8ABA7	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	5	1902	1003	1409	0	1E601325A4001083	0	0	[non chaine]
reelle	9	player-masked-property (i9)	1	8	2316	2039	1409	2	111F402711023001	0	0	[non chaine]
reelle	9	player-masked-property (i9)	2	8	2378	8732	1402	1	2A8401B2826CFD7B	0	0	[non chaine]
reelle	9	player-masked-property (i9)	3	8	2378	8963	1404	1	308401B27E6E357F	0	0	[non chaine]
reelle	9	player-masked-property (i9)	3	8	2390	1310	1402	1	3A8401B24E6D0580	0	0	[non chaine]
reelle	9	player-masked-property (i9)	3	13	1102	978	1403	3	37118008436A4D2E	0	0	[non chaine]
reelle	9	player-masked-property (i9)	4	3	774	1834	1402	1	4B825E4480021063	0	0	[non chaine]
reelle	9	player-masked-property (i9)	5	2	1954	129	1404	2	5100A400155906B7	0	0	[non chaine]
reelle	9	player-masked-property (i9)	7	9	1958	1175	1409	3	748401AC96A2AD7E	24	4735002	[non chaine]
reelle	9	player-masked-property (i9)	7	13	1438	1071	1409	0	7D89385180084351	24	14193541	[non chaine]
reelle	9	player-masked-property (i9)	7	16	812	1146	1377	1	7549E68C00421ACE	24	5545576	[non chaine]
reelle	9	player-masked-property (i9)	8	6	614	7590	1392	1	80000000195CD20A	32	1	[CHAINE]
reelle	9	player-masked-property (i9)	8	6	1468	2622	1392	1	80000000095CD1AA	32	0	[CHAINE]
reelle	9	player-masked-property (i9)	8	6	1768	3758	1392	1	80000000195CD1AA	32	1	[CHAINE]
reelle	9	player-masked-property (i9)	13	2	1958	129	1404	2	D100A400155906B7	4	1	[non chaine]
reelle	9	player-masked-property (i9)	13	14	2366	688	1405	3	D11BA5001559D819	4	1	[non chaine]
reelle	12	player-masked-property (i12)	0	13	10	2554	1378	3	0F5A289D34717A80	0	0	[non chaine]
reelle	12	player-masked-property (i12)	0	13	10	3439	1378	3	0D79E47934717A80	0	0	[non chaine]
reelle	12	player-masked-property (i12)	0	13	10	4259	1378	3	0F01B0AC34717A80	0	0	[CHAINE]
reelle	12	player-masked-property (i12)	1	12	808	358	1376	0	1BE445A900055641	0	0	[non chaine]
reelle	12	player-masked-property (i12)	5	14	1362	426	1375	3	511A250011556419	0	0	[non chaine]
reelle	12	player-masked-property (i12)	5	14	2386	657	1405	1	511BA5001559D819	0	0	[non chaine]
reelle	12	player-masked-property (i12)	5	17	1336	760	1404	1	5120A300164191C6	0	0	[non chaine]
reelle	12	player-masked-property (i12)	8	9	1766	157	1380	1	8221A440320D7153	32	572146691	[non chaine]
reelle	12	player-masked-property (i12)	9	5	930	550	1404	1	910823001641BA56	32	276967425	[non chaine]
reelle	12	player-masked-property (i12)	9	13	690	428	1404	1	91192300164199F6	32	294793217	[non chaine]
reelle	12	player-masked-property (i12)	13	15	1690	785	1404	2	DE0530888E93000A	4	14	[non chaine]
reelle	12	player-masked-property (i12)	13	15	1692	7348	1404	2	DE0530A88E92000A	4	14	[non chaine]
reelle	12	player-masked-property (i12)	13	16	154	713	1402	0	D11E22019065CF9A	4	1	[non chaine]
reelle	12	player-masked-property (i12)	14	3	1950	1520	1409	3	EF1D202F10422019	4	15	[non chaine]
reelle	12	player-masked-property (i12)	14	5	1202	449	1379	3	E75BA023105A4001	4	7	[non chaine]
reelle	12	player-masked-property (i12)	14	6	1722	346	1377	1	E216D44189000556	4	2	[non chaine]
reelle	12	player-masked-property (i12)	15	8	2346	1134	1379	0	F250306310EA4001	4	2	[non chaine]
reelle	12	player-masked-property (i12)	15	13	152	1517	1410	0	F1327B9480021063	4	1	[non chaine]
reelle	12	player-masked-property (i12)	15	23	1004	1084	1377	2	FD1A544B89000556	4	13	[non chaine]
reelle	24	player-masked-property (i24)	1	12	24	1830	1408	2	1F03B57FE4902781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	1	12	26	1753	1408	2	1A6FB98271CBE781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	1	12	28	1784	1408	2	15D7B980C0852781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	2	6	126	1396	1406	0	2EBEEA1A95119080	0	0	[non chaine]
reelle	24	player-masked-property (i24)	2	12	60	1967	1408	2	2837C5804104E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	2	12	76	1643	1408	2	2CD3CD808A84E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	3	12	94	1714	1408	2	3603D5811D84E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	3	12	110	1750	1408	2	3F37DD81B084E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	4	12	128	1644	1408	2	4867E581FA04E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	5	12	146	1664	1408	2	5197ED828D04E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	5	12	162	1813	1408	2	5633F5832004E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	5	12	180	1966	1408	2	5F63FD836984E781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	6	12	186	1879	1408	2	63FBFD83B3042781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	6	12	190	1708	1408	2	63FBFD83B303A781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	6	12	194	2116	1408	2	63F80183FC836781	0	0	[non chaine]
reelle	24	player-masked-property (i24)	7	12	258	1537	1408	2	71C40D848F80A781	24	1851608	[non chaine]
reelle	24	player-masked-property (i24)	7	12	282	3530	1408	2	71C40D84D9006781	24	1851608	[non chaine]
reelle	24	player-masked-property (i24)	8	12	10	1696	1408	2	88F7ADDB0510E781	32	2407194032	[non chaine]
reelle	24	player-masked-property (i24)	9	9	138	360	1404	1	910EA3001641ADD6	32	283783169	[non chaine]
reelle	24	player-masked-property (i24)	9	12	8	1588	1408	2	96BFA9CEAA912781	32	1811586282	[non chaine]
reelle	24	player-masked-property (i24)	12	4	224	164	1376	0	C87DCAA448821180	4	8	[non chaine]
reelle	24	player-masked-property (i24)	14	8	2296	1547	1409	0	EC9EA07710EA4001	4	12	[non chaine]
reelle	24	player-masked-property (i24)	15	23	958	1185	1409	2	FD18E44B89400556	4	13	[non chaine]
reelle	25	player-masked-property (i25)	0	21	332	174	1404	2	00024D7691E82BFB	0	0	[non chaine]
reelle	25	player-masked-property (i25)	1	4	978	1855	1380	3	10008D6A54BA2BA1	0	0	[non chaine]
reelle	25	player-masked-property (i25)	1	8	2296	2019	1409	2	125EA02B11024001	0	0	[non chaine]
reelle	25	player-masked-property (i25)	1	15	980	1365	1405	0	10008D9574E32BF7	0	0	[non chaine]
reelle	25	player-masked-property (i25)	2	1	8	40241	1404	1	2CF3E86600015002	0	0	[non chaine]
reelle	25	player-masked-property (i25)	2	1	8	41802	1404	1	2CF3E86680015002	0	0	[non chaine]
reelle	25	player-masked-property (i25)	2	1	8	43363	1404	1	2CF3E86700015002	0	0	[non chaine]
reelle	25	player-masked-property (i25)	4	2	2272	1351	1404	1	4576D0E15B844403	0	0	[non chaine]
reelle	25	player-masked-property (i25)	4	2	2274	1320	1404	1	4576D2201BF54080	0	0	[non chaine]
reelle	25	player-masked-property (i25)	4	17	1118	1798	1405	1	4600210D6A13FC2B	0	0	[non chaine]
reelle	25	player-masked-property (i25)	10	6	446	624	1404	1	A5F1BDE88512000A	1	0	[non chaine]
reelle	25	player-masked-property (i25)	10	6	470	562	1404	1	A5F23F688511800B	1	0	[non chaine]
reelle	25	player-masked-property (i25)	10	6	512	651	1404	1	A5F2A2088511800B	1	0	[non chaine]
reelle	25	player-masked-property (i25)	13	2	1574	358	1404	1	D1022201906B68A5	4	1	[non chaine]
reelle	25	player-masked-property (i25)	13	14	1470	867	1376	0	D11BA3001641AF46	4	1	[non chaine]
reelle	26	player-masked-property (i26)	0	16	710	1842	1409	0	03E081EFC00209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	0	20	2160	1326	1409	0	042081EFDF020BBF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	0	20	2272	1448	1409	0	010081EFDF020BBF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	1	12	794	318	1376	0	1116A3001641AE76	0	0	[non chaine]
reelle	26	player-masked-property (i26)	1	13	92	1815	1409	0	1B2081EFCF8209BF	0	0	[CHAINE]
reelle	26	player-masked-property (i26)	1	13	620	954	1409	0	12E0826FDF020BBF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	2	12	2210	1587	1409	0	2C4081EFC00209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	2	12	2212	3462	1409	0	248081EFC00209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	2	13	48	1747	1409	0	2BE081EBEF8209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	3	12	2206	1205	1409	0	3C2081EFC00209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	3	13	46	1701	1409	0	33E081EBFF0209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	4	13	44	2269	1409	0	43E081EBFF0209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	5	13	42	2293	1409	0	53E081EBFF0209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	5	15	1124	1014	1405	1	511BA3001641A4AA	0	0	[non chaine]
reelle	26	player-masked-property (i26)	6	13	40	1809	1409	0	63E081EBFF0209BF	0	0	[non chaine]
reelle	26	player-masked-property (i26)	7	4	1842	659	1392	0	701DCC469000420C	24	122052	[non chaine]
reelle	26	player-masked-property (i26)	7	13	38	1747	1409	0	73E081EBFF0209BF	24	4065310	[non chaine]
reelle	26	player-masked-property (i26)	8	13	36	1861	1409	0	8BE081EBFF0209BF	32	3188203199	[non chaine]
reelle	26	player-masked-property (i26)	9	9	154	495	1404	1	910EA400155906B7	32	283787265	[non chaine]
reelle	26	player-masked-property (i26)	13	13	1482	965	1381	3	D3A6F911AA300164	4	3	[CHAINE]
reelle	26	player-masked-property (i26)	13	22	214	232	1404	1	D12925001155641A	4	1	[non chaine]
reelle	26	player-masked-property (i26)	14	5	1468	1442	1409	3	E713F44269400455	4	7	[non chaine]
reelle	26	player-masked-property (i26)	14	5	1470	965	1377	3	E754044269400455	4	7	[non chaine]
reelle	26	player-masked-property (i26)	14	13	32	1838	1409	0	EBE081EBFF0209BF	4	11	[non chaine]
reelle	26	player-masked-property (i26)	15	2	808	265	1409	0	FBE081EBEF8209AF	4	11	[non chaine]
reelle	26	player-masked-property (i26)	15	2	810	419	1409	0	FBE081EBEF8209AF	4	11	[non chaine]
reelle	26	player-masked-property (i26)	15	2	812	378	1409	0	FBE081EBEF8209AF	4	11	[non chaine]
reelle	27	player-masked-property (i27)	0	6	870	1678	1409	0	0BE081EFCF8209BF	0	0	[CHAINE]
reelle	27	player-masked-property (i27)	0	14	80	1164	1376	3	04F9E841CFC68820	0	0	[non chaine]
reelle	27	player-masked-property (i27)	0	20	1130	1191	1405	1	0EF59F5102D7DF04	0	0	[non chaine]
reelle	27	player-masked-property (i27)	1	8	2298	1095	1377	2	12DEB44409000556	0	0	[non chaine]
reelle	27	player-masked-property (i27)	1	14	456	585	1377	3	111BA40015590724	0	0	[non chaine]
reelle	27	player-masked-property (i27)	1	16	680	2327	1409	0	10C081EFC00209BF	0	0	[non chaine]
reelle	27	player-masked-property (i27)	2	14	1042	756	1404	1	2E10B2288E12000A	0	0	[non chaine]
reelle	27	player-masked-property (i27)	5	9	698	1567	1409	0	5C4081EBE00209BF	0	0	[non chaine]
reelle	27	player-masked-property (i27)	5	21	2020	867	1381	1	5F10A1A25248002A	0	0	[non chaine]
reelle	27	player-masked-property (i27)	5	22	612	1355	1409	0	500081EFCF8209AF	0	0	[non chaine]
reelle	27	player-masked-property (i27)	6	3	1870	1382	1409	0	6BE0826FCF820DBF	0	0	[non chaine]
reelle	27	player-masked-property (i27)	7	22	88	2003	1409	0	7FC081EFDF0209AF	24	16517150	[non chaine]
reelle	27	player-masked-property (i27)	8	6	1200	1798	1409	0	8FC081EBE00209BF	32	4228390590	[non chaine]
reelle	27	player-masked-property (i27)	8	6	1202	1813	1409	0	8FC081EBE00209BF	32	4228390590	[non chaine]
reelle	27	player-masked-property (i27)	8	6	1204	1773	1409	0	8FC081EBE00209BF	32	4228390590	[non chaine]
