ti	i	composant	statut	annonces_fenetre	annonces_hors	secondes_fenetre	secondes_hors	densite_fenetre	densite_hors	rapport	rapport_serre_1s
10	61	(hors grammaire)	hors_grammaire	295	448	350.0	500.9	0.843	0.894	0.94x	1.08x
10	62	(hors grammaire)	hors_grammaire	211	280	350.0	500.9	0.603	0.559	1.08x	1.36x
10	63	(hors grammaire)	hors_grammaire	224	272	350.0	500.9	0.640	0.543	1.18x	0.85x
12	0	managed-navpoint-sub-type-component	porte	694	1027	350.0	500.9	1.983	2.050	0.97x	1.15x
12	1	managed-navpoint-flags-component	non_porte	1441	2172	350.0	500.9	4.117	4.336	0.95x	0.97x
12	2	managed-navpoint-visibility-distance-filters-component	non_porte	128	209	350.0	500.9	0.366	0.417	0.88x	0.83x
12	3	managed-navpoint-visible-offscreen-filters-component	non_porte	246	196	350.0	500.9	0.703	0.391	1.80x	1.87x
12	4	managed-navpoint-can-be-occluded-filters-component	non_porte	244	190	350.0	500.9	0.697	0.379	1.84x	2.39x
12	5	managed-navpoint-visibility-filter-component	non_porte	555	215	350.0	500.9	1.586	0.429	3.69x	4.58x
12	6	managed-navpoint-docking-filter-component	non_porte	273	134	350.0	500.9	0.780	0.268	2.92x	1.65x
12	7	managed-navpoint-docking-order-component	non_porte	59	53	350.0	500.9	0.169	0.106	1.59x	1.44x
12	8	managed-navpoint-docking-group-name-component	non_porte	130	161	350.0	500.9	0.371	0.321	1.16x	0.84x
12	9	managed-navpoint-formatted-text-component	non_porte	73	109	350.0	500.9	0.209	0.218	0.96x	0.89x
12	10	managed-navpoint-timers-component	non_porte	59	69	350.0	500.9	0.169	0.138	1.22x	1.10x
12	11	managed-navpoint-manual-timer-initial-duration-component	non_porte	40	87	350.0	500.9	0.114	0.174	0.66x	0.59x
12	12	managed-navpoint-manual-timer-current-duration-component	non_porte	64	68	350.0	500.9	0.183	0.136	1.35x	1.01x
12	13	managed-navpoint-top-progress	non_porte	59	72	350.0	500.9	0.169	0.144	1.17x	0.81x
12	14	managed-navpoint-radial-progress	non_porte	1714	811	350.0	500.9	4.897	1.619	3.02x	2.02x
12	15	managed-navpoint-bottom-progress	non_porte	59	42	350.0	500.9	0.169	0.084	2.01x	1.52x
12	16	managed-navpoint-override-flags	non_porte	68	183	350.0	500.9	0.194	0.365	0.53x	0.72x
12	17	managed-navpoint-object-marker	non_porte	88	97	350.0	500.9	0.251	0.194	1.30x	1.02x
12	18	managed-navpoint-position-offset	non_porte	65	91	350.0	500.9	0.186	0.182	1.02x	1.08x
12	19	managed-navpoint-visual-states-component	non_porte	62	63	350.0	500.9	0.177	0.126	1.41x	1.29x
12	20	managed-navpoint-visual-state-groups-component-0	non_porte	84	102	350.0	500.9	0.240	0.204	1.18x	0.81x
12	21	managed-navpoint-visual-state-groups-component-1	non_porte	426	156	350.0	500.9	1.217	0.311	3.91x	4.78x
12	22	managed-navpoint-visual-state-groups-component-2	non_porte	538	163	350.0	500.9	1.537	0.325	4.72x	5.19x
12	23	managed-navpoint-visual-state-groups-component-3	non_porte	190	85	350.0	500.9	0.543	0.170	3.20x	3.96x
12	24	managed-navpoint-visual-state-groups-component-4	non_porte	82	121	350.0	500.9	0.234	0.242	0.97x	0.97x
12	25	managed-navpoint-visual-state-groups-component-5	non_porte	66	66	350.0	500.9	0.189	0.132	1.43x	0.57x
12	26	managed-navpoint-visual-state-groups-component-6	non_porte	90	124	350.0	500.9	0.257	0.248	1.04x	1.28x
12	27	managed-navpoint-visual-state-groups-component-7	non_porte	156	146	350.0	500.9	0.446	0.291	1.53x	1.60x
12	28	(hors grammaire)	hors_grammaire	37	55	350.0	500.9	0.106	0.110	0.96x	1.42x
12	29	(hors grammaire)	hors_grammaire	52	49	350.0	500.9	0.149	0.098	1.52x	1.31x
12	30	(hors grammaire)	hors_grammaire	50	69	350.0	500.9	0.143	0.138	1.04x	1.06x
12	31	(hors grammaire)	hors_grammaire	37	63	350.0	500.9	0.106	0.126	0.84x	1.20x
12	32	(hors grammaire)	hors_grammaire	74	102	350.0	500.9	0.211	0.204	1.04x	1.20x
12	33	(hors grammaire)	hors_grammaire	64	71	350.0	500.9	0.183	0.142	1.29x	1.03x
12	34	(hors grammaire)	hors_grammaire	77	76	350.0	500.9	0.220	0.152	1.45x	1.85x
12	35	(hors grammaire)	hors_grammaire	50	82	350.0	500.9	0.143	0.164	0.87x	1.01x
12	36	(hors grammaire)	hors_grammaire	151	152	350.0	500.9	0.431	0.303	1.42x	1.64x
12	37	(hors grammaire)	hors_grammaire	45	48	350.0	500.9	0.129	0.096	1.34x	1.32x
12	38	(hors grammaire)	hors_grammaire	65	116	350.0	500.9	0.186	0.232	0.80x	0.89x
