# C.0.2 boundary-visibility : 551 records, 448 valeurs distinctes, 32 bits utiles, 453 transitions
# C.1b.3a radial-progress : 7180 valeurs, 10 slots, 62 rampes, captures couvertes 0/0 (0.0 %), temoin 0.0 %, verdict NON TENU
rampe	1477	33706	48705	127	254	890
rampe	1484	49372	50340	129	251	52
rampe	1484	54677	58464	127	251	54
rampe	1484	60020	62318	127	251	54
rampe	1484	64787	67473	127	251	52
rampe	1484	68692	69759	127	251	53
rampe	1484	72896	77250	127	251	54
rampe	1613	122012	123814	129	220	45
rampe	1613	124548	125532	127	251	60
rampe	1613	132039	136743	127	188	29
rampe	1613	138511	139512	127	251	59
rampe	1613	142306	144991	127	251	59
rampe	1613	152933	155252	127	251	60
rampe	1404	36042	155652	17	83	3
rampe	1613	158838	160355	127	251	59
rampe	1613	164176	165644	127	251	59
rampe	1613	182646	183596	127	245	55
rampe	1613	184965	185948	127	251	60
rampe	1613	188768	192272	127	251	61
rampe	1613	198733	202232	127	251	59
rampe	1613	208188	209172	127	251	59
rampe	1613	211241	214777	127	251	60
rampe	1613	215561	215878	167	197	17
rampe	1613	216429	218130	127	251	60
rampe	1613	226156	228208	127	251	59
rampe	1404	198345	231327	18	200	3
rampe	1932	238018	238986	129	251	58
rampe	1932	240605	243625	129	251	59
rampe	1932	247663	250599	129	251	59
rampe	1932	256938	267064	129	251	59
rampe	1932	270151	277675	129	251	59
rampe	1932	278993	279193	230	251	12
rampe	1932	281279	289738	129	243	56
rampe	1932	290138	292641	192	251	29
rampe	1932	312027	312361	213	251	20
rampe	1932	317732	320670	129	251	59
rampe	1932	323205	324389	129	251	59
rampe	1932	325574	329412	129	251	59
rampe	1932	341107	343892	129	251	58
rampe	2235	351049	352167	131	251	58
rampe	2235	353152	354135	127	251	60
rampe	2235	363045	364029	127	251	59
rampe	2235	374306	378810	127	251	60
rampe	2235	388322	389306	127	251	60
rampe	2235	412679	413662	127	251	60
rampe	2235	416899	417883	127	251	60
rampe	2235	425876	427811	127	251	60
rampe	2235	430217	431200	127	251	60
rampe	2410	297412	444845	64	251	60
rampe	2410	451019	451369	131	165	19
rampe	2410	451670	459495	127	251	59
rampe	2410	462518	465854	127	251	59
rampe	2410	474230	475248	127	251	59
rampe	2410	479368	480383	127	251	60
rampe	2410	481768	486405	127	251	60
rampe	2410	487706	490058	127	251	60
rampe	2410	498451	499451	129	251	60
rampe	2410	508144	509929	127	251	60
rampe	2410	512716	513749	127	251	60
rampe	2410	519622	520674	127	251	58
rampe	2410	523643	524344	132	213	41
rampe	2410	525829	526813	127	251	60
# C.1b.3b boundary-color : 822 records, 458 quadruplets, 499 changements, captures couvertes 0/0 (0.0 %), verdict NON TENU
# C.1b.3c rtpc : 13808 records, 392 identifiants, 13808 avec valeur, 74 rampes
