# C.0.2 boundary-visibility : 1031 records, 625 valeurs distinctes, 32 bits utiles, 685 transitions
# C.1b.3a radial-progress : 17298 valeurs, 8 slots, 50 rampes, captures couvertes 70/77 (90.9 %), temoin 28.6 %, verdict NON TENU
rampe	1624	41906	48880	127	253	392
rampe	1623	48830	53534	127	253	281
rampe	1624	48898	70734	127	253	397
rampe	1623	53552	72919	127	253	351
rampe	1624	70752	89269	127	253	301
rampe	1625	80676	89935	127	253	394
rampe	1625	89954	94759	127	177	168
rampe	1624	89287	103769	127	253	383
rampe	1623	72937	109676	127	244	388
rampe	1623	110427	116049	127	197	232
rampe	1624	103786	142309	127	253	350
rampe	1625	95643	145195	127	241	380
rampe	1624	142327	154554	127	253	264
rampe	1623	118702	179462	127	253	342
rampe	1623	179480	194463	127	222	317
rampe	1624	154573	220274	127	253	394
rampe	1624	220291	226646	127	253	340
rampe	1623	195665	234538	127	253	419
rampe	1625	176878	238157	127	253	419
rampe	1624	226664	240143	127	253	355
rampe	1623	234556	244581	127	253	419
rampe	1624	240161	260914	127	253	298
rampe	1625	238176	266670	127	253	293
rampe	1623	244598	278498	127	253	420
rampe	1623	278515	290295	127	253	419
rampe	1624	260932	290928	127	196	191
rampe	1625	266687	310515	127	250	390
rampe	1625	312801	350104	127	253	317
rampe	1624	296751	365903	127	253	395
rampe	1625	350121	366219	127	253	311
rampe	1624	365920	377798	127	253	394
rampe	1623	293148	381236	127	253	402
rampe	1624	377817	394917	127	253	393
rampe	1625	366237	407013	127	253	364
rampe	1623	381254	407347	127	253	363
rampe	1624	394934	421044	127	253	395
rampe	1625	407031	421427	127	253	420
rampe	1623	407364	428518	127	179	172
rampe	1623	428568	438179	127	175	143
rampe	1625	421445	453828	127	206	264
rampe	1719	177644	485642	54	254	4
rampe	1623	438496	486042	127	253	420
rampe	1623	486061	493417	127	253	420
rampe	1625	455362	498172	127	253	420
rampe	1625	498190	508616	127	253	420
rampe	1625	508633	519527	127	229	339
rampe	1623	493435	528636	127	253	420
rampe	1623	528654	542635	127	253	355
rampe	1624	451642	548624	127	253	395
rampe	1625	522614	550759	127	253	368
# C.1b.3b boundary-color : 697 records, 390 quadruplets, 463 changements, captures couvertes 57/77 (74.0 %), verdict NON TENU
# C.1b.3c rtpc : 25305 records, 680 identifiants, 25292 avec valeur, 251 rampes
