bipedPickups	21	47cccac009159d6193ee2fff1a12cb6782e877f4021fdbb91cbe76141ed2957e	{TimestampUS:4521524430 Chunk:1 Slot:512 CatalogID:31913 Class:0}
zoomEvents	37	d2686333cb17a0d976c69cbaf1650eb000c84924a23c9562321c23d08e2dbf51	{TimestampUS:4551203771 Slot:517 Level:1}
translocatorTeleports	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	(population vide)
vehicleEvents	0	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	(population vide)
carrierMarks	0	d6a65f97afe19919221450ba9c2d5c791a7c737a294df11d291c4c5de302d95d	(population vide)
catalogueFamillesDuFilm	15	2b1b39c60ec667315a3442ffe5127dc3d6d7c93b6ccb665157edb399f7e7f66b	map[1120495519:true 169448124:true 1907034668:true 2157411237:true 220251241:true 2216347109:true 2226989549:true 2475141305:true 2694143646...
keyframeLoadouts	30	1c6ac856b1cb74bef5271b0b29afe1071ca97ce04ee254bbf3ed78a86ce91a6c	{TimestampUS:4537898226 Chunk:2 PacketIndex:1 Slot:512 Families:[1120495519 2216347109 1120495519]}
keyframeGroundWeapons	28	34845121e4ece6c4ee96b1d2fec2eef94b54fdccbd18d8b07675f16c70e6b306	{TimestampUS:4537898226 Chunk:2 PacketIndex:1 Slot:1346 Gen:1 Families:[3924295545]}
weaponShots	45	d99cb487b59c4572da14279a0f94e3fe4b9f07b66d380f2a94b53dff96e62823	{TimestampUS:4551737292 Attacker:4 WeaponID:9564847282609285023 FilmIndex:4 HasPair:true}
weaponDamages	46	ca6255f40deeda294486bd43bb7fa2339117d2c98bf44973775412dfcdbfbadd	{TimestampUS:4552522451 VictimIdx:3 ResponsibleIdx:4 Source:4004011046 HasSource:true Negative:false MagClear:4 MagRaw:8}
weaponDamagesBaseSlot	512	94f8607915dff25f013e45fc0642fb9830b0fb25ab0ab46d477eaf1061def379	512
