film	xuid	avant_k	avant_d	avant_a	apres_k	apres_d	apres_a	feuille_k	feuille_d	feuille_a	bouge	avant_exact	apres_exact
8a485699	2535432697785403	16	15	0	16	15	0	16	15	0	false	true	true
8a485699	2535446257398602	21	8	1	21	8	1	21	8	1	false	true	true
8a485699	2535470975082210	7	14	1	7	14	1	7	14	1	false	true	true
8a485699	2535470980155958	14	13	1	14	13	1	14	13	1	false	true	true
8bc6074f	2533274823110022	7	9	3	7	9	3	7	9	3	false	true	true
8bc6074f	2533274829350000	6	10	5	6	10	5	6	10	5	false	true	true
8bc6074f	2533274833178266	3	9	6	3	9	6	3	9	6	false	true	true
8bc6074f	2533274858283686	15	13	2	15	13	2	15	13	2	false	true	true
8bc6074f	2535449383340628	13	5	6	13	5	6	13	5	6	false	true	true
8bc6074f	2535450759128461	9	10	3	9	10	3	9	10	3	false	true	true
8bc6074f	2535452521259564	14	12	6	14	12	6	14	12	6	false	true	true
8bc6074f	2535469190789936	14	11	7	14	11	7	14	11	7	false	true	true
92f18088	2533274823110022	12	17	7	12	17	7	12	17	7	false	true	true
92f18088	2533274858283686	13	11	4	13	11	4	13	11	4	false	true	true
92f18088	2533274898411924	15	13	11	15	13	11	15	13	11	false	true	true
92f18088	2533274952689662	8	13	5	8	13	5	8	13	5	false	true	true
92f18088	2533274975343060	13	17	9	13	17	9	13	17	9	false	true	true
92f18088	2535416401044714	20	13	5	20	13	5	20	13	5	false	true	true
92f18088	2535463185952034	19	10	4	19	10	4	19	10	4	false	true	true
92f18088	2535469190789936	7	14	9	7	14	9	7	14	9	false	true	true
94a28b8b	2533274809720438	15	9	4	15	9	4	15	9	4	false	true	true
94a28b8b	2533274823110022	13	11	2	13	11	2	13	11	2	false	true	true
94a28b8b	2533274823647240	9	9	10	9	9	10	9	9	10	false	true	true
94a28b8b	2533274858283686	18	12	7	18	12	7	18	12	7	false	true	true
94a28b8b	2533274882512913	6	15	11	6	15	11	6	15	11	false	true	true
94a28b8b	2535469190789936	10	5	7	10	5	7	10	5	7	false	true	true
94a28b8b	2535470866500012	6	11	5	6	11	5	6	11	5	false	true	true
9e8fb31b	2533274792948063	12	6	6	12	6	6	12	6	6	false	true	true
9e8fb31b	2533274801967217	18	8	2	18	8	2	18	8	2	false	true	true
9e8fb31b	2533274823110022	5	11	4	5	11	4	5	11	4	false	true	true
9e8fb31b	2533274858283686	18	16	1	18	16	1	18	16	1	false	true	true
9e8fb31b	2535413351051087	14	9	2	14	9	2	14	9	2	false	true	true
9e8fb31b	2535428698487710	1	13	1	1	13	1	1	13	1	false	true	true
9e8fb31b	2535435603277867	6	7	1	6	7	1	6	7	1	false	true	true
9e8fb31b	2535442920020606	6	16	0	6	16	0	6	16	0	false	true	true
9ffce8ef	2533274803787234	9	7	4	9	7	4	9	7	4	false	true	true
9ffce8ef	2533274808317823	12	17	4	12	17	4	12	17	4	false	true	true
9ffce8ef	2533274823110022	11	6	2	11	6	2	11	6	2	false	true	true
9ffce8ef	2533274878846948	16	14	0	16	14	0	16	14	0	false	true	true
9ffce8ef	2533274901611703	18	9	1	18	9	1	18	9	1	false	true	true
9ffce8ef	2535434284105622	8	14	4	8	14	4	8	14	4	false	true	true
9ffce8ef	2535437599342478	8	8	1	8	8	1	8	8	1	false	true	true
9ffce8ef	2535446257398602	13	17	4	13	17	4	13	17	4	false	true	true
a03a5e65	2533274823110022	5	11	4	5	11	4	5	11	4	false	true	true
a03a5e65	2533274858283686	14	15	5	14	15	5	14	15	5	false	true	true
a03a5e65	2533274952531003	10	8	8	10	8	8	10	8	8	false	true	true
a03a5e65	2535410463219623	3	10	2	3	10	2	3	10	2	false	true	true
a03a5e65	2535448131958677	17	10	5	17	10	5	17	10	5	false	true	true
a03a5e65	2535451846074018	9	6	8	9	6	8	9	6	8	false	true	true
a03a5e65	2535463885263775	14	5	6	14	5	6	14	5	6	false	true	true
a03a5e65	2535469190789936	7	12	2	7	12	2	7	12	2	false	true	true
a0c36016	2533274823110022	9	15	6	9	15	6	9	15	6	false	true	true
a0c36016	2533274858283686	22	18	4	22	18	4	22	18	4	false	true	true
a0c36016	2533274858911298	10	18	4	10	18	4	10	18	4	false	true	true
a0c36016	2535425652517893	16	19	9	16	19	9	16	19	9	false	true	true
a0c36016	2535427927026623	26	11	12	26	11	12	26	11	12	false	true	true
a0c36016	2535448372866366	17	18	9	17	18	9	17	18	9	false	true	true
a0c36016	2535456861208728	22	17	8	22	17	8	22	17	8	false	true	true
a0c36016	2535469190789936	15	21	9	15	21	9	15	21	9	false	true	true
a36c8bed	2533274823110022	10	11	4	10	11	4	10	11	4	false	true	true
a36c8bed	2533274923802103	4	11	7	4	11	7	4	11	7	false	true	true
a36c8bed	2535438872399421	9	10	4	9	10	4	9	10	4	false	true	true
a36c8bed	2535449697867729	10	8	3	10	8	3	10	8	3	false	true	true
a36c8bed	2535454710220286	11	6	5	11	6	5	11	6	5	false	true	true
a36c8bed	2535468773663308	13	7	2	13	7	2	13	7	2	false	true	true
a36c8bed	2535472706803453	12	8	2	12	8	2	12	8	2	false	true	true
