film	xuid	periodes_av	periodes_ap	publie_av_s	publie_ap_s	oracle_s	ecart_av_s	ecart_ap_s	ratio_av	ratio_ap
bc60b4d9	2533274823110022	2	2	9.1	9.0	8.8	+0.3	+0.2	1.034	1.023
bc60b4d9	2533274897645479	5	5	41.8	41.8	41.3	+0.5	+0.5	1.012	1.012
bc60b4d9	2533274924336100	4	4	18.8	18.6	18.2	+0.6	+0.4	1.033	1.022
bc60b4d9	2533274943116584	3	3	9.6	9.6	9.1	+0.5	+0.5	1.055	1.055
bc60b4d9	2535458465148583	1	1	1.8	1.8	1.6	+0.2	+0.2	1.125	1.125
bc60b4d9	2535469190789936	5	5	23.9	23.2	22.6	+1.3	+0.6	1.058	1.027
bc60b4d9	2654577101798078	9	11	23.6	19.8	18.6	+5.0	+1.2	1.269	1.065
bf5ced1b	2535412865870758	2	3	14.7	12.5	12.3	+2.4	+0.2	1.195	1.016
bf5ced1b	2535434888128184	2	2	17.2	17.2	17.0	+0.2	+0.2	1.012	1.012
bf5ced1b	2535459651975585	7	7	4.3	4.2	3.8	+0.5	+0.4	1.132	1.105
cde26226	2533274817658307	6	6	275.3	275.3	274.0	+1.3	+1.3	1.005	1.005
cde26226	2533274818074729	4	4	73.0	73.0	72.4	+0.6	+0.6	1.008	1.008
cde26226	2533274823110022	1	1	2.9	2.9	2.8	+0.1	+0.1	1.036	1.036
cde26226	2533274849050722	4	4	12.9	12.9	12.5	+0.4	+0.4	1.032	1.032
cde26226	2533274858283686	6	6	40.2	40.2	33.7	+6.5	+6.5	1.193	1.193
cde26226	2535415492484355	13	13	18.1	18.1	16.6	+1.5	+1.5	1.090	1.090
cde26226	2535468122262494	40	40	46.6	46.6	42.3	+4.3	+4.3	1.102	1.102
cde26226	2535469190789936	10	10	30.5	30.5	26.1	+4.4	+4.4	1.169	1.169
f8efc5ca	2533274804730586	3	3	30.4	30.4	29.8	+0.6	+0.6	1.020	1.020
f8efc5ca	2533274811578968	3	4	64.4	63.0	62.2	+2.2	+0.8	1.035	1.013
f8efc5ca	2533274823110022	5	5	25.9	25.9	25.1	+0.8	+0.8	1.032	1.032
f8efc5ca	2533274858283686	7	7	22.8	22.8	21.7	+1.1	+1.1	1.051	1.051
f8efc5ca	2535458336606528	8	8	21.6	21.6	23.3	-1.7	-1.7	0.927	0.927
f8efc5ca	2535467632752562	6	6	29.6	29.6	28.9	+0.7	+0.7	1.024	1.024
f8efc5ca	2535469190789936	2	2	5.3	5.3	5.0	+0.3	+0.3	1.060	1.060
fb1a1a72	2533274795950878	3	3	20.5	20.5	12.5	+8.0	+8.0	1.640	1.640
fb1a1a72	2535408981717353	3	3	19.1	19.1	18.8	+0.3	+0.3	1.016	1.016
fb1a1a72	2535417580715145	8	8	33.9	33.8	32.7	+1.2	+1.1	1.037	1.034
fb1a1a72	2535425179403277	5	5	23.9	23.9	23.3	+0.6	+0.6	1.026	1.026
fb1a1a72	2535450323793545	1	1	18.2	18.2	18.1	+0.1	+0.1	1.006	1.006
fb1a1a72	2535469190789936	11	12	145.7	141.8	140.0	+5.7	+1.8	1.041	1.013
fb1a1a72	2535473461033821	3	3	15.4	15.4	15.0	+0.4	+0.4	1.027	1.027
