film	famille	mode	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ratio	depasse_oracle
4f77afc1	CTF	BTB:CTF	2533274798159764		0	0.0	0.2	-0.2	0.000	false
4f77afc1	CTF	BTB:CTF	2533274858283686		0	0.0	1.2	-1.2	0.000	false
4f77afc1	CTF	BTB:CTF	2533274988198027		0	0.0	1.8	-1.8	0.000	false
4f77afc1	CTF	BTB:CTF	2535418140736812		0	0.0	13.9	-13.9	0.000	false
4f77afc1	CTF	BTB:CTF	2535420159292452		0	0.0	3.2	-3.2	0.000	false
4f77afc1	CTF	BTB:CTF	2535447170907787		0	0.0	1.1	-1.1	0.000	false
4f77afc1	CTF	BTB:CTF	2535457217346540		0	0.0	13.0	-13.0	0.000	false
4f77afc1	CTF	BTB:CTF	2535457514480546		0	0.0	29.2	-29.2	0.000	false
4f77afc1	CTF	BTB:CTF	2535462972817970		0	0.0	9.6	-9.6	0.000	false
879a4dba	CTF	BTB:CTF	2533274817737470		0	0.0	1.1	-1.1	0.000	false
879a4dba	CTF	BTB:CTF	2533274823110022	JGtm	0	0.0	1.6	-1.6	0.000	false
879a4dba	CTF	BTB:CTF	2533274858283686		0	0.0	12.0	-12.0	0.000	false
879a4dba	CTF	BTB:CTF	2533274893737372		0	0.0	3.3	-3.3	0.000	false
879a4dba	CTF	BTB:CTF	2533274920570623		0	0.0	38.9	-38.9	0.000	false
879a4dba	CTF	BTB:CTF	2535405728090473		0	0.0	13.8	-13.8	0.000	false
879a4dba	CTF	BTB:CTF	2535432231421181		0	0.0	46.9	-46.9	0.000	false
879a4dba	CTF	BTB:CTF	2535443641007500		0	0.0	2.0	-2.0	0.000	false
879a4dba	CTF	BTB:CTF	2535457217346540		0	0.0	16.5	-16.5	0.000	false
879a4dba	CTF	BTB:CTF	2535458469688663		0	0.0	3.1	-3.1	0.000	false
879a4dba	CTF	BTB:CTF	2535460487570599		0	0.0	47.5	-47.5	0.000	false
879a4dba	CTF	BTB:CTF	2535462209962245		0	0.0	4.5	-4.5	0.000	false
879a4dba	CTF	BTB:CTF	2667980672122182		0	0.0	1.8	-1.8	0.000	false
16ea3668	CTF	CTF:Arena	2533274858283686		9	32.1	30.9	1.2	1.039	true
16ea3668	CTF	CTF:Arena	2533275034585819		3	6.0	5.5	0.5	1.091	true
16ea3668	CTF	CTF:Arena	2535417044536883		2	1.1	0.9	0.2	1.222	true
16ea3668	CTF	CTF:Arena	2535447614023932		8	17.5	16.3	1.2	1.074	true
16ea3668	CTF	CTF:Arena	2535466949313010		4	31.8	31.2	0.6	1.019	true
16ea3668	CTF	CTF:Arena	2598952284978039		3	46.5	46.2	0.3	1.006	true
58864b3c	CTF	CTF:Arena	2533274822170595		1	37.6	37.4	0.2	1.005	true
58864b3c	CTF	CTF:Arena	2533274823110022	JGtm	2	13.8	13.5	0.3	1.022	true
58864b3c	CTF	CTF:Arena	2533274829350000		5	13.7	13.2	0.5	1.038	true
58864b3c	CTF	CTF:Arena	2533274858283686		5	9.9	9.3	0.6	1.065	true
58864b3c	CTF	CTF:Arena	2535452521259564		4	27.2	26.8	0.4	1.015	true
58864b3c	CTF	CTF:Arena	2535469190789936		3	10.3	9.9	0.4	1.040	true
7fce3219	CTF	CTF:Arena	2533274823110022	JGtm	2	8.2	8.0	0.2	1.025	true
7fce3219	CTF	CTF:Arena	2533274858283686		9	13.8	12.9	0.9	1.070	true
7fce3219	CTF	CTF:Arena	2533274943116584		1	0.6	0.4	0.2	1.500	true
7fce3219	CTF	CTF:Arena	2533274955626571		27	43.3	40.2	3.1	1.077	true
7fce3219	CTF	CTF:Arena	2535415254450151		13	64.8	63.3	1.5	1.024	true
7fce3219	CTF	CTF:Arena	2535458465148583		1	2.8	2.7	0.1	1.037	true
7fce3219	CTF	CTF:Arena	2535469190789936		17	23.6	21.6	2.0	1.093	true
7fce3219	CTF	CTF:Arena	2654577101798078		15	26.3	24.8	1.5	1.060	true
8bc6074f	CTF	CTF:Arena	2533274823110022		5	33.1	32.4	0.7	1.022	true
8bc6074f	CTF	CTF:Arena	2533274829350000		12	42.6	41.6	1.0	1.024	true
8bc6074f	CTF	CTF:Arena	2533274833178266	XxDaemonGamerxX	3	11.9	12.8	-0.9	0.930	false
8bc6074f	CTF	CTF:Arena	2533274858283686		5	9.9	9.1	0.8	1.088	true
8bc6074f	CTF	CTF:Arena	2535449383340628		11	43.6	42.4	1.2	1.028	true
8bc6074f	CTF	CTF:Arena	2535450759128461		2	27.1	26.8	0.3	1.011	true
8bc6074f	CTF	CTF:Arena	2535452521259564		3	12.7	12.5	0.2	1.016	true
8bc6074f	CTF	CTF:Arena	2535469190789936		10	32.6	31.7	0.9	1.028	true
a0c36016	CTF	CTF:Arena	2533274823110022	JGtm	1	1.4	1.4	0.0	1.000	false
a0c36016	CTF	CTF:Arena	2533274858283686		5	32.8	32.3	0.5	1.015	true
a0c36016	CTF	CTF:Arena	2533274858911298		7	42.3	41.5	0.8	1.019	true
a0c36016	CTF	CTF:Arena	2535425652517893		7	21.2	20.1	1.1	1.055	true
a0c36016	CTF	CTF:Arena	2535427927026623		8	5.9	5.0	0.9	1.180	true
a0c36016	CTF	CTF:Arena	2535448372866366		2	3.1	3.0	0.1	1.033	true
a0c36016	CTF	CTF:Arena	2535456861208728		7	10.4	9.4	1.0	1.106	true
a0c36016	CTF	CTF:Arena	2535469190789936		12	43.4	43.8	-0.4	0.991	false
b8a44fe8	CTF	CTF:Arena	2533274823110022		2	25.0	17.2	7.8	1.453	true
b8a44fe8	CTF	CTF:Arena	2533274858283686		30	232.4	271.8	-39.4	0.855	false
b8a44fe8	CTF	CTF:Arena	2533274858911298		2	56.4	28.4	28.0	1.986	true
b8a44fe8	CTF	CTF:Arena	2533274897257135		2	9.2	9.0	0.2	1.022	true
b8a44fe8	CTF	CTF:Arena	2535442462807197		13	140.4	59.0	81.4	2.380	true
b8a44fe8	CTF	CTF:Arena	2535455799302553		10	30.9	14.9	16.0	2.074	true
b8a44fe8	CTF	CTF:Arena	2535469190789936	Chocoboflor	1	0.8	0.8	0.0	1.000	false
bc60b4d9	CTF	CTF:Arena	2533274823110022	JGtm	2	9.1	8.8	0.3	1.034	true
bc60b4d9	CTF	CTF:Arena	2533274897645479		5	41.8	41.3	0.5	1.012	true
bc60b4d9	CTF	CTF:Arena	2533274924336100		4	18.8	18.2	0.6	1.033	true
bc60b4d9	CTF	CTF:Arena	2533274943116584		3	9.6	9.1	0.5	1.055	true
bc60b4d9	CTF	CTF:Arena	2535458465148583		1	1.8	1.6	0.2	1.125	true
