match_id	xuid	gamertag	team_id	outcome	rank	score	kills	deaths	assists	shots_fired	shots_hit	damage_dealt	damage_taken	created_at	avg_life_seconds	headshot_kills	max_killing_spree	kda	accuracy	time_played_seconds	grenade_kills	melee_kills	power_weapon_kills	personal_score	team_mmr	kills_expected	kills_stddev	deaths_expected	deaths_stddev	enemy_mmr	backfill_bits	present_at_beginning	present_at_completion	joined_in_progress	left_in_progress	first_joined_time	last_leave_time	assassination_kills	ground_pound_kills	shoulder_bash_kills
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2533274885517482		0	4	19	1850	14	8	6	542	157	8896.0	2615.0	2026-02-14 18:31:24.076259	63.0	1	9	8.0	28.96	707	0	2	13	1850							523744	true	false	false	true	2025-07-07 17:16:45.976+02	2025-07-07 17:28:33.761+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2533274898586675		0	4	19	1300	12	12	2	217	108	3506.0	3438.0	2026-02-14 18:31:24.076259	49.0	5	3	0.66	49.76	795	0	0	4	1300							523744	true	false	false	true	2025-07-07 17:16:45.977+02	2025-07-07 17:30:53.757+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2533274938790473		0	3	14	975	8	19	5	721	393	10641.0	4770.0	2026-02-14 18:31:24.076259	27.0	1	3	-9.33	54.5	795	1	0	2	975							523744	true	true	false	false	2025-07-07 17:16:45.977+02		0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535413205569574		0	3	14	1285	10	9	5	214	94	3182.0	2694.0	2026-02-14 18:31:24.076259	54.0	2	3	2.66	43.92	576	0	0	5	1285							523744	false	true	true	false	2025-07-07 17:20:24.213+02		0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535414623267078		0	4	19	1985	16	6	3	199	96	6301.0	2178.0	2026-02-14 18:31:24.076259	84.0	2	5	11.0	48.24	690	0	2	9	1985							523744	true	false	false	true	2025-07-07 17:16:45.978+02	2025-07-07 17:28:16.09+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535414713404076		0	3	14	1050	7	15	3	236	98	5988.0	4095.0	2026-02-14 18:31:24.076259	39.0	2	2	-7.0	41.52	795	0	0	4	1050							523744	true	true	false	false	2025-07-07 17:16:45.978+02		0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535418449474912		0	4	19	125	2	16	0	345	197	4724.0	3936.0	2026-02-14 18:31:24.076259	36.0	0	1	-14.0	57.1	795	1	0	1	125							523744	true	false	false	true	2025-07-07 17:16:45.978+02	2025-07-07 17:31:02.031+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535448420857893		0	4	19	200	2	9	1	105	15	966.0	2316.0	2026-02-14 18:31:24.076259	30.0	0	2	-6.66	14.28	424	0	0	2	200							523744	false	false	true	true	2025-07-07 17:22:57.059+02	2025-07-07 17:30:02.049+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535452338884679		0	4	19	350	3	2	0	35	15	816.0	513.0	2026-02-14 18:31:24.076259	38.0	0	3	1.0	42.85	213	0	0	3	350							523744	true	false	false	true	2025-07-07 17:16:45.978+02	2025-07-07 17:20:19.808+02	0	0	0
06dfe6d9-c522-4bd0-89bf-b6a6f9de7384	2535453152760456		0	3	14	700	6	3	1	271	108	1916.0	878.0	2026-02-14 18:31:24.076259	58.0	0	3	3.33	39.85	795	0	1	1	700							523744	true	true	true	true	2025-07-07 17:16:45.978+02		0	0	0
