film	famille	xuid	gamertag	periodes	publie_s	oracle_s	ecart_s	ecart_par_periode_s	publie_demi_fenetre_s	demi_fenetre_depasse_oracle
16ea3668	CTF	2533274858283686		5	38.5	30.9	7.6	1.52	43.5	true
16ea3668	CTF	2533275034585819		1	10.3	5.5	4.8	4.80	11.3	true
16ea3668	CTF	2535417044536883		1	56.7	0.9	55.8	55.80	57.7	true
16ea3668	CTF	2535447614023932		2	22.5	16.3	6.2	3.10	24.5	true
16ea3668	CTF	2535466949313010		4	34.5	31.2	3.3	0.83	38.5	true
16ea3668	CTF	2598952284978039		3	50.3	46.2	4.1	1.37	53.3	true
58864b3c	CTF	2533274822170595		1	37.6	37.4	0.2	0.20	38.6	true
58864b3c	CTF	2533274823110022	JGtm	1	18.6	13.5	5.1	5.10	19.6	true
58864b3c	CTF	2533274829350000		1	20.6	13.2	7.4	7.40	21.6	true
58864b3c	CTF	2533274858283686		2	24.4	9.3	15.1	7.55	26.4	true
58864b3c	CTF	2535452521259564		2	34.8	26.8	8.0	4.00	36.8	true
58864b3c	CTF	2535469190789936		3	23.5	9.9	13.6	4.53	26.5	true
7fce3219	CTF	2533274823110022	JGtm	1	10.0	8.0	2.0	2.00	11.0	true
7fce3219	CTF	2533274858283686		3	25.4	12.9	12.5	4.17	28.4	true
7fce3219	CTF	2533274943116584		1	5.6	0.4	5.2	5.20	6.6	true
7fce3219	CTF	2533274955626571		4	65.9	40.2	25.7	6.43	69.9	true
7fce3219	CTF	2535415254450151		6	74.2	63.3	10.9	1.82	80.2	true
7fce3219	CTF	2535458465148583		1	2.8	2.7	0.1	0.10	3.8	true
7fce3219	CTF	2535469190789936		3	37.0	21.6	15.4	5.13	40.0	true
7fce3219	CTF	2654577101798078		3	40.8	24.8	16.0	5.33	43.8	true
8bc6074f	CTF	2533274823110022		2	69.3	32.4	36.9	18.45	71.3	true
8bc6074f	CTF	2533274829350000		2	63.8	41.6	22.2	11.10	65.8	true
8bc6074f	CTF	2533274833178266	XxDaemonGamerxX	3	13.1	12.8	0.3	0.10	16.1	true
8bc6074f	CTF	2533274858283686		1	14.1	9.1	5.0	5.00	15.1	true
8bc6074f	CTF	2535449383340628		4	80.8	42.4	38.4	9.60	84.8	true
8bc6074f	CTF	2535450759128461		2	39.1	26.8	12.3	6.15	41.1	true
8bc6074f	CTF	2535452521259564		2	28.8	12.5	16.3	8.15	30.8	true
8bc6074f	CTF	2535469190789936		2	39.4	31.7	7.7	3.85	41.4	true
a0c36016	CTF	2533274823110022	JGtm	1	1.4	1.4	0.0	0.00	2.4	true
a0c36016	CTF	2533274858283686		3	37.5	32.3	5.2	1.73	40.5	true
a0c36016	CTF	2533274858911298		5	60.0	41.5	18.5	3.70	65.0	true
a0c36016	CTF	2535425652517893		4	64.3	20.1	44.2	11.05	68.3	true
a0c36016	CTF	2535427927026623		2	28.3	5.0	23.3	11.65	30.3	true
a0c36016	CTF	2535448372866366		2	3.2	3.0	0.2	0.10	5.2	true
a0c36016	CTF	2535456861208728		3	19.4	9.4	10.0	3.33	22.4	true
a0c36016	CTF	2535469190789936		4	49.2	43.8	5.4	1.35	53.2	true
b8a44fe8	CTF	2533274823110022		2	25.6	17.2	8.4	4.20	27.6	true
b8a44fe8	CTF	2533274858283686		7	342.9	271.8	71.1	10.16	349.9	true
b8a44fe8	CTF	2533274858911298		2	56.5	28.4	28.1	14.05	58.5	true
b8a44fe8	CTF	2533274897257135		2	9.3	9.0	0.3	0.15	11.3	true
b8a44fe8	CTF	2535442462807197		5	223.9	59.0	164.9	32.98	228.9	true
b8a44fe8	CTF	2535455799302553		6	37.2	14.9	22.3	3.72	43.2	true
b8a44fe8	CTF	2535469190789936	Chocoboflor	1	0.8	0.8	0.0	0.00	1.8	true
bc60b4d9	CTF	2533274823110022	JGtm	2	9.2	8.8	0.4	0.20	11.2	true
bc60b4d9	CTF	2533274897645479		3	50.5	41.3	9.2	3.07	53.5	true
bc60b4d9	CTF	2533274924336100		4	18.8	18.2	0.6	0.15	22.8	true
bc60b4d9	CTF	2533274943116584		2	10.9	9.1	1.8	0.90	12.9	true
bc60b4d9	CTF	2535458465148583		1	1.8	1.6	0.2	0.20	2.8	true
bc60b4d9	CTF	2535469190789936		4	28.9	22.6	6.3	1.57	32.9	true
bc60b4d9	CTF	2654577101798078		4	43.0	18.6	24.4	6.10	47.0	true
bf5ced1b	CTF	2535412865870758		1	16.6	12.3	4.3	4.30	17.6	true
bf5ced1b	CTF	2535434888128184		2	17.4	17.0	0.4	0.20	19.4	true
bf5ced1b	CTF	2535459651975585		2	15.6	3.8	11.8	5.90	17.6	true
cde26226	CTF	2533274817658307		5	283.6	274.0	9.6	1.92	288.6	true
cde26226	CTF	2533274818074729		1	108.2	72.4	35.8	35.80	109.2	true
cde26226	CTF	2533274823110022	JGtm	1	2.9	2.8	0.1	0.10	3.9	true
cde26226	CTF	2533274849050722		4	17.6	12.5	5.1	1.28	21.6	true
cde26226	CTF	2533274858283686		3	47.5	33.7	13.8	4.60	50.5	true
cde26226	CTF	2535415492484355		2	63.3	16.6	46.7	23.35	65.3	true
cde26226	CTF	2535468122262494		6	115.2	42.3	72.9	12.15	121.2	true
cde26226	CTF	2535469190789936		3	34.6	26.1	8.5	2.83	37.6	true
f8efc5ca	CTF	2533274804730586		3	30.4	29.8	0.6	0.20	33.4	true
f8efc5ca	CTF	2533274811578968		3	64.4	62.2	2.2	0.73	67.4	true
f8efc5ca	CTF	2533274823110022		4	57.6	25.1	32.5	8.12	61.6	true
f8efc5ca	CTF	2533274858283686		4	41.0	21.7	19.3	4.83	45.0	true
f8efc5ca	CTF	2535458336606528		3	30.7	23.3	7.4	2.47	33.7	true
f8efc5ca	CTF	2535467632752562		4	56.2	28.9	27.3	6.83	60.2	true
f8efc5ca	CTF	2535469190789936		2	8.5	5.0	3.5	1.75	10.5	true
4ecdf3e7	CTF	2533274823110022	JGtm	2	22.7	22.4	0.3	0.15	24.7	true
4ecdf3e7	CTF	2533274858283686		3	70.2	52.9	17.3	5.77	73.2	true
4ecdf3e7	CTF	2535426953464929		2	33.3	15.9	17.4	8.70	35.3	true
4ecdf3e7	CTF	2535469190789936		2	3.9	14.3	-10.4	-5.20	5.9	false
