match_id	start_time_utc	game_variant_name	pair_name	mode_category	map_name	duration_seconds	playable_duration_seconds	team_0_score	team_1_score	player_count
7b0d89c4-a068-4ea2-82b8-8f13ba0311d6	2026-09-01 21:01:56.714 +0000 UTC	Slayer:Arena	Arena:Slayer on Behemoth - Forge	Other	Behemoth	599	599	50	44	0
7fce3219-2935-4b78-8f40-fbba55603189	2026-07-28 21:07:56.477 +0000 UTC	CTF:Arena	Arena:CTF on Takamanohara	Other	Takamanohara	919	912	2	3	0
81c02726-3f03-4a9e-9c05-3e286460752c	2026-09-07 19:34:52.324 +0000 UTC	Strongholds:Arena	Arena:Strongholds on Isolation	Other	Isolation	321	321	31	200	0
879a4dba-8228-4920-83ff-814c5061a3d7	2026-07-24 19:56:53.965 +0000 UTC	BTB:CTF	BTB:CTF on Fortitude	Other	Fortitude	415	415	2	3	0
8a485699-0deb-40d2-aa3b-fa40e84b1e1d	2026-07-29 19:51:50.467 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Launch Site - Forge	Other	Launch Site	704	704	48	50	0
8bc6074f-d001-428b-8d6a-a755f0925572	2026-09-07 20:00:56.577 +0000 UTC	CTF:Arena	Arena:CTF on Origin	Other	Origin	486	486	1	3	0
92f18088-d0f8-4660-b09b-8246cf956719	2025-11-06 20:12:16.636 +0000 UTC	Ranked:Oddball	Ranked:Oddball on Lattice - Ranked	Ranked	Lattice - Ranked	610	602	113	200	3
94a28b8b-d2ee-4da3-a831-4f0293ce1ac6	2026-08-27 20:51:43.973 +0000 UTC	Team Slayer:Arena	Arena:Team Slayer on Aquarius - Forge	Other	Aquarius	598	598	50	37	0
9e8fb31b-ea96-4848-a3b0-03117171d01e	2026-07-24 19:21:32.963 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Cliffhanger - Forge	Other	Cliffhanger	414	414	30	50	0
9ffce8ef-a755-4b7c-a558-9e1e99664dae	2026-07-29 19:38:27.684 +0000 UTC	Slayer:Arena Super Fiesta	Super Fiesta:Slayer on Bazaar - Forge	Other	Bazaar	705	705	50	45	0
a03a5e65-ede1-4a35-95ef-1bb6e07c6faa	2026-09-01 20:05:46.131 +0000 UTC	Team Slayer:Arena	Community:Team Slayer on Opulence	Other	Opulence	417	417	50	29	0
a0c36016-e051-4d17-84b0-ff86148e8992	2026-08-27 19:55:00.031 +0000 UTC	CTF:Arena	Arena:CTF on Forest	Other	Forest	766	766	0	1	0
a349fea8-6570-4be2-bf9d-e4e52807929e	2023-07-31 18:41:03.154 +0000 UTC	BTB Heavies:Total Control	BTB Heavies:Total Control on Fragmentation Heavies	BTB	Fragmentation Heavies	955	954	1	2	1
