film	famille	mode	action	xuid	gamertag	publie	oracle_feuille	ecart	depasse_oracle	max_pas
4f77afc1	CTF	BTB:CTF	assists	bid(42.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	assists	bid(57.0)		0	0	0	false	0
4f77afc1	CTF	BTB:CTF	assists	bid(59.0)		0	3	-3	false	0
4f77afc1	CTF	BTB:CTF	assists	bid(6.0)		0	0	0	false	0
879a4dba	CTF	BTB:CTF	kills	2533274817737470		0	4	-4	false	0
879a4dba	CTF	BTB:CTF	kills	2533274823110022	JGtm	0	3	-3	false	0
879a4dba	CTF	BTB:CTF	kills	2533274858283686		0	15	-15	false	0
879a4dba	CTF	BTB:CTF	kills	2533274893737372		0	16	-16	false	0
879a4dba	CTF	BTB:CTF	kills	2533274903657297		0	0	0	false	0
879a4dba	CTF	BTB:CTF	kills	2533274904730771		0	3	-3	false	0
879a4dba	CTF	BTB:CTF	kills	2533274920570623		0	5	-5	false	0
879a4dba	CTF	BTB:CTF	kills	2533274964038601		0	23	-23	false	0
879a4dba	CTF	BTB:CTF	kills	2533274965326253		0	6	-6	false	0
879a4dba	CTF	BTB:CTF	kills	2533275013465881		0	4	-4	false	0
879a4dba	CTF	BTB:CTF	kills	2535405373150550		0	5	-5	false	0
879a4dba	CTF	BTB:CTF	kills	2535405728090473		0	3	-3	false	0
879a4dba	CTF	BTB:CTF	kills	2535430485417183		0	3	-3	false	0
879a4dba	CTF	BTB:CTF	kills	2535432231421181		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	kills	2535442785735008		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	kills	2535443641007500		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	kills	2535451766941238		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	kills	2535457217346540		0	7	-7	false	0
879a4dba	CTF	BTB:CTF	kills	2535458469688663		0	9	-9	false	0
879a4dba	CTF	BTB:CTF	kills	2535460487570599		0	4	-4	false	0
879a4dba	CTF	BTB:CTF	kills	2535462209962245		0	5	-5	false	0
879a4dba	CTF	BTB:CTF	kills	2535464482335907		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	kills	2535464793953913		0	6	-6	false	0
879a4dba	CTF	BTB:CTF	kills	2535471754130150		0	0	0	false	0
879a4dba	CTF	BTB:CTF	kills	2667980672122182		0	7	-7	false	0
879a4dba	CTF	BTB:CTF	kills	bid(10.0)		0	0	0	false	0
879a4dba	CTF	BTB:CTF	assists	2533274817737470		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2533274823110022	JGtm	0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2533274858283686		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2533274893737372		0	14	-14	false	0
879a4dba	CTF	BTB:CTF	assists	2533274903657297		0	4	-4	false	0
879a4dba	CTF	BTB:CTF	assists	2533274904730771		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2533274920570623		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	assists	2533274964038601		0	3	-3	false	0
879a4dba	CTF	BTB:CTF	assists	2533274965326253		0	0	0	false	0
879a4dba	CTF	BTB:CTF	assists	2533275013465881		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535405373150550		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535405728090473		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535430485417183		0	0	0	false	0
879a4dba	CTF	BTB:CTF	assists	2535432231421181		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	assists	2535442785735008		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535443641007500		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535451766941238		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	assists	2535457217346540		0	4	-4	false	0
879a4dba	CTF	BTB:CTF	assists	2535458469688663		0	6	-6	false	0
879a4dba	CTF	BTB:CTF	assists	2535460487570599		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2535462209962245		0	3	-3	false	0
879a4dba	CTF	BTB:CTF	assists	2535464482335907		0	0	0	false	0
879a4dba	CTF	BTB:CTF	assists	2535464793953913		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	assists	2535471754130150		0	2	-2	false	0
879a4dba	CTF	BTB:CTF	assists	2667980672122182		0	1	-1	false	0
879a4dba	CTF	BTB:CTF	assists	bid(10.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274808505789		0	4	-4	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274817737470		0	12	-12	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274823110022	JGtm	0	9	-9	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274845241701		0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274858283686		0	10	-10	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274858343347		0	31	-31	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274893737372		0	42	-42	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533274964038601		0	17	-17	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2533275013465881		0	8	-8	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535405373150550		0	11	-11	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535409375826107		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535418818079206		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535420302347168		0	3	-3	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535430435508594		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535431120813349		0	5	-5	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535442484776177		0	6	-6	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535444408537131		0	1	-1	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535446464444062		0	7	-7	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535449780816216		0	8	-8	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535452383863984		0	10	-10	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535456111695736		0	3	-3	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535457217346540		0	16	-16	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535458469688663		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535459882866010		0	10	-10	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535462209962245		0	16	-16	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535468111373012		0	3	-3	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	2535469049971772		0	2	-2	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	bid(10.0)		0	0	0	false	0
5676a9ba	TotalControl	BTB:Total Control	kills	bid(40.0)		0	0	0	false	0
