film	famille	mode	images_portees	images_muettes	pct_muettes	periodes	periodes_avec_trou	images_muettes_expliquees_vehicule
16ea3668	CTF	CTF:Arena	2128	0	0.0	16	0	0
58864b3c	CTF	CTF:Arena	1595	12	0.8	10	1	0
7fce3219	CTF	CTF:Arena	2617	0	0.0	22	0	0
8bc6074f	CTF	CTF:Arena	3484	52	1.5	18	1	0
a0c36016	CTF	CTF:Arena	2633	0	0.0	24	0	0
b8a44fe8	CTF	CTF:Arena	6962	258	3.7	25	1	0
bc60b4d9	CTF	CTF:Arena	1631	0	0.0	20	0	0
bf5ced1b	CTF	CTF:Arena	496	0	0.0	5	0	0
cde26226	CTF	CTF:Arena	6729	134	2.0	25	1	0
f8efc5ca	CTF	CTF:Arena	2888	75	2.6	23	1	0
4ecdf3e7	CTF	CTF:Arena Neutral Flag	1301	2	0.2	9	1	0
