id	xuid	team_id	kills	deaths	assists
1c01e34f	2533274930168166	0	19	15	5
1c01e34f	2535440516585340	0	10	11	4
1c01e34f	2535448712239570	0	5	13	4
1c01e34f	2535455283639988	0	9	15	2
1c01e34f	bid(10.0)	0	1	4	0
1c01e34f	2533274812378593	1	14	13	3
1c01e34f	2533274823110022	1	7	15	7
1c01e34f	2533274970340030	1	23	7	8
1c01e34f	2535406537212173	1	13	11	5
34bb3bc8	2533274793016098	0	10	19	8
34bb3bc8	2533274800142775	0	26	7	9
34bb3bc8	2533274822235536	0	27	8	10
34bb3bc8	2533274986640146	0	23	18	4
34bb3bc8	2535423888969891	0	15	22	11
34bb3bc8	2535432076449668	0	8	11	7
34bb3bc8	2535441829380898	0	4	13	2
34bb3bc8	2535443286668413	0	3	20	2
34bb3bc8	2533274858283686	1	17	13	11
34bb3bc8	2533274859915433	1	15	18	7
34bb3bc8	2533274886285313	1	24	15	10
34bb3bc8	2533274945264448	1	1	5	1
34bb3bc8	2535420637871292	1	4	15	10
34bb3bc8	2535421086206217	1	25	13	8
34bb3bc8	2535427093086419	1	7	12	6
34bb3bc8	2535459376902757	1	7	15	8
34bb3bc8	2535468448516403	1	17	10	6
35b75a31	2533274824432629	0	9	19	15
35b75a31	2535406578258524	0	13	19	7
35b75a31	2535420196688895	0	36	16	14
35b75a31	2535460750735339	0	27	19	9
35b75a31	2533274797735697	1	6	5	0
35b75a31	2533274858283686	1	24	19	8
35b75a31	2535434638359191	1	19	21	9
35b75a31	2535441223342887	1	9	17	5
35b75a31	2535445743480343	1	15	23	10
35b75a31	bid(12.0)	1	NULL	NULL	NULL
3d58eb37	2533274823110022	0	5	11	3
3d58eb37	2533274970945469	0	6	9	0
3d58eb37	2533274992863571	0	0	0	0
3d58eb37	2535448390985976	0	3	8	4
3d58eb37	2639833174450086	0	10	10	2
3d58eb37	2533274825405280	1	0	0	0
3d58eb37	2533274882553342	1	5	6	4
3d58eb37	2535411368239592	1	6	5	0
3d58eb37	2535412756510021	1	0	0	0
3d58eb37	2535452615389938	1	8	7	8
3d58eb37	2535460369498191	1	14	5	5
3d58eb37	bid(33.0)	1	0	0	0
3d58eb37	bid(49.0)	1	5	5	4
69b16f5d	2533274860880373	0	6	3	4
69b16f5d	2533274896131112	0	5	7	3
69b16f5d	2535446255636577	0	3	7	1
69b16f5d	2812739231567214	0	5	6	1
69b16f5d	2533274823110022	1	3	3	3
69b16f5d	2533274929895713	1	4	3	2
69b16f5d	2533275020663662	1	8	5	2
69b16f5d	2535440477705077	1	0	0	0
69b16f5d	2535441080025979	1	6	7	3
69b16f5d	bid(20.0)	1	0	0	0
69b16f5d	bid(46.0)	1	0	0	0
69b16f5d	bid(57.0)	1	0	0	0
69b16f5d	bid(59.0)	1	2	2	1
9f57c612	2533274794288184	0	0	1	0
9f57c612	2533274796620553	0	5	14	7
9f57c612	2533274825165140	0	2	2	0
9f57c612	2535443340699438	0	6	7	3
9f57c612	2535470127489792	0	7	12	2
9f57c612	2535470823750470	0	11	6	2
9f57c612	bid(21.0)	0	0	0	0
9f57c612	bid(27.0)	0	0	0	0
9f57c612	2533274823110022	1	14	7	2
9f57c612	2533274974091007	1	10	11	4
9f57c612	2535419279251362	1	3	7	11
9f57c612	2535446563676950	1	14	8	6
c75f33b8	2533274823110022	0	0	1	0
c75f33b8	2533274977810162	0	5	11	0
c75f33b8	2535415634552853	0	8	11	4
c75f33b8	2535425645549407	0	1	2	0
c75f33b8	2535428057106471	0	3	11	2
c75f33b8	2535429774532623	0	3	5	2
c75f33b8	bid(21.0)	0	0	0	0
c75f33b8	bid(26.0)	0	0	1	0
c75f33b8	bid(34.0)	0	0	0	0
c75f33b8	bid(4.0)	0	0	0	0
c75f33b8	2533274974091007	1	5	7	2
c75f33b8	2535446563676950	1	20	5	4
c75f33b8	2535453226752724	1	6	7	1
c75f33b8	2535469218706037	1	11	1	7
ce083875	2533274815479987	0	22	14	9
ce083875	2535411528542505	0	19	23	14
ce083875	2535418719355510	0	29	26	13
ce083875	2535457579971223	0	20	22	8
ce083875	2533274823110022	1	23	26	7
ce083875	2533274834055193	1	20	21	7
ce083875	2533274862966625	1	23	20	12
ce083875	2533274913034055	1	19	23	14
df8fcbef	2533274823110022	0	18	18	9
df8fcbef	2535432443553753	0	9	17	11
df8fcbef	2535448764025846	0	16	17	6
df8fcbef	2535472176311605	0	17	15	3
df8fcbef	2533274873490304	1	15	18	11
df8fcbef	2533274911350516	1	21	13	6
df8fcbef	2535409894989079	1	22	15	4
df8fcbef	2535426290102159	1	8	18	10
