# film	ti	paquets	propres	desync	records	statborg_total	statborg_propres	statborg_desync	new_statborg
530820e5	6	29148	9385	19763	73344	255	135	120	23
696a9d7c	6	34276	13501	20775	82836	638	248	390	78
000d5950	6	30418	11384	19034	86578	1530	620	910	78
