film	famille	mode	zones_publiees	images_possedees_eq0	images_possedees_eq1	s_possession_eq0	s_possession_eq1	oracle_time_in_zones_total_s	oracle_zone_scoring_ticks_total	joueurs_oracle_temps_non_nul	publie_par_joueur
01e1f945	KOTH	KOTH:Arena	4	3431	1544	343.1	154.4	415.3	272	9	0 (aucun calque par joueur)
21ece4d8	KOTH	KOTH:Arena	3	1945	1932	194.5	193.2	603.0	359	8	0 (aucun calque par joueur)
606d9844	KOTH	KOTH:Arena	3	1861	102	186.1	10.2	226.1	199	8	0 (aucun calque par joueur)
7f1bbf06	KOTH	KOTH:Arena	3	2269	489	226.9	48.9	271.7	192	8	0 (aucun calque par joueur)
8076f97f	KOTH	KOTH:Arena	3	1664	1334	166.4	133.4	376.8	247	8	0 (aucun calque par joueur)
a36c8bed	KOTH	KOTH:Arena	4	2019	1534	201.9	153.4	277.3	227	8	0 (aucun calque par joueur)
