metaext	10ed320d	Strongholds:Arena	174	169	620	1230	19	1211	0	59	26214	618253	1141
forme_gen	1	1230
serie	8	393279	95
serie	8	394286	96
serie	8	395285	97
serie	8	396286	98
serie	8	397287	100
serie	8	398288	101
serie	8	399289	102
serie	8	400290	103
serie	8	401291	104
serie	8	402292	105
serie	8	403293	106
serie	8	404293	107
serie	8	405294	108
serie	8	406296	109
serie	8	407298	110
serie	8	408299	111
serie	8	409300	112
serie	8	447547	113
serie	8	450065	114
serie	8	454988	115
serie	8	455989	116
serie	8	456990	117
serie	8	457990	118
serie	8	458992	119
serie	8	459993	120
serie	8	460994	121
serie	8	461995	122
serie	8	463000	123
serie	8	464005	124
serie	8	465003	125
serie	8	466004	126
serie	8	467005	127
serie	8	468006	128
serie	8	469007	129
serie	8	470008	130
serie	8	471009	131
serie	8	472009	132
serie	8	473011	133
serie	8	474013	134
serie	8	475013	135
serie	8	476015	136
serie	8	477015	137
serie	8	481138	138
serie	8	482139	139
serie	8	483140	140
serie	8	484141	141
serie	8	485142	142
serie	8	486143	143
serie	8	487145	144
serie	8	488145	145
serie	8	490298	146
serie	8	491299	147
serie	8	492300	148
serie	8	493301	149
serie	8	494303	150
serie	8	495303	151
serie	8	496305	152
serie	8	497306	153
serie	8	498307	154
serie	8	499311	155
serie	8	500309	156
serie	8	501309	157
serie	8	502311	158
serie	8	518543	159
serie	8	519544	160
serie	8	520545	161
serie	8	521547	162
serie	8	522548	163
serie	8	523549	164
serie	8	524550	165
serie	8	549475	166
serie	8	550478	167
serie	8	551478	168
serie	8	552479	169
serie	8	596948	170
hdr	0	h1=0,h2=0	344
hdr	0	h1=2,h2=4	1
hdr	0	h1=7,h2=6	1
hdr_slot	0	h1	6	0	175	48336	618253	200
hdr_slot	0	h1	8	0	169	144082	596948	170
hdr_slot	0	h1	8	7	1	154293	154293	2751467651
hdr_slot	0	h1	12	2	1	496605	496605	2553085730
hdr_slot	0	h2	6	0	175	48336	618253	200
hdr_slot	0	h2	8	0	169	144082	596948	170
hdr_slot	0	h2	8	6	1	154293	154293	2751467651
hdr_slot	0	h2	12	4	1	496605	496605	2553085730
hdr	2	h1=0,h2=0	413
hdr	2	h1=0,h2=1	2
hdr_slot	2	h1	6	0	102	41147	615904	55
hdr_slot	2	h1	8	0	103	68429	615904	56
hdr_slot	2	h1	10	0	26	69233	615904	14
hdr_slot	2	h1	12	0	28	44102	598205	18
hdr_slot	2	h1	14	0	24	110615	588040	6
hdr_slot	2	h1	16	0	28	41147	602006	17
hdr_slot	2	h1	18	0	25	122543	598205	15
hdr_slot	2	h1	20	0	31	64324	615904	20
hdr_slot	2	h1	22	0	20	68429	594096	10
hdr_slot	2	h1	24	0	27	96580	602006	11
hdr_slot	2	h2	6	0	102	41147	615904	55
hdr_slot	2	h2	8	0	102	68429	615904	56
hdr_slot	2	h2	8	1	1	543853	543853	22134
hdr_slot	2	h2	10	0	26	69233	615904	14
hdr_slot	2	h2	12	0	28	44102	598205	18
hdr_slot	2	h2	14	0	24	110615	588040	6
hdr_slot	2	h2	16	0	28	41147	602006	17
hdr_slot	2	h2	18	0	25	122543	598205	15
hdr_slot	2	h2	20	0	31	64324	615904	20
hdr_slot	2	h2	22	0	20	68429	594096	10
hdr_slot	2	h2	24	0	27	96580	602006	11
hdr_score	h1	ecart	200/170	174/169
hdr_frags	h1	exact	111	111
hdr_score	h2	ecart	200/170	174/169
hdr_frags	h2	exact	111	111
serieh	6	48336	1	0	0
serieh	6	49337	2	0	0
serieh	6	50338	3	0	0
serieh	6	51339	4	0	0
serieh	6	52340	5	0	0
serieh	6	53341	6	0	0
serieh	6	54342	7	0	0
serieh	6	55343	8	0	0
serieh	6	56345	9	0	0
serieh	6	57349	10	0	0
serieh	6	58346	11	0	0
serieh	6	59347	12	0	0
serieh	6	60349	13	0	0
serieh	6	61350	14	0	0
serieh	6	62351	15	0	0
serieh	6	63353	16	0	0
serieh	6	64354	17	0	0
serieh	6	65354	19	0	0
serieh	6	66356	21	0	0
serieh	6	67358	23	0	0
serieh	6	68358	25	0	0
serieh	6	69360	27	0	0
serieh	6	70360	29	0	0
serieh	6	71362	31	0	0
serieh	6	72362	33	0	0
serieh	6	73363	35	0	0
serieh	6	74364	37	0	0
serieh	6	75365	39	0	0
serieh	6	76366	41	0	0
serieh	6	77367	43	0	0
serieh	6	78368	45	0	0
serieh	6	79369	47	0	0
serieh	6	80371	49	0	0
serieh	6	81372	51	0	0
serieh	6	82373	53	0	0
serieh	6	83378	55	0	0
serieh	6	84380	57	0	0
serieh	6	85380	58	0	0
serieh	6	86382	59	0	0
serieh	6	87382	60	0	0
serieh	6	88384	62	0	0
serieh	6	89385	63	0	0
serieh	6	90385	64	0	0
serieh	6	91386	65	0	0
serieh	6	92388	66	0	0
serieh	6	93389	67	0	0
serieh	6	94390	68	0	0
serieh	6	95391	69	0	0
serieh	6	96393	70	0	0
serieh	6	97394	71	0	0
serieh	6	98395	72	0	0
serieh	6	99396	73	0	0
serieh	6	100396	74	0	0
serieh	6	101397	75	0	0
serieh	6	102398	76	0	0
serieh	6	103399	77	0	0
serieh	6	104400	78	0	0
serieh	6	105401	79	0	0
serieh	6	106406	80	0	0
serieh	6	107407	81	0	0
serieh	6	108408	82	0	0
serieh	6	109409	83	0	0
serieh	6	110411	84	0	0
serieh	6	111411	85	0	0
serieh	6	112413	86	0	0
serieh	6	113414	87	0	0
serieh	6	117134	88	0	0
serieh	6	118134	89	0	0
serieh	6	119136	90	0	0
serieh	6	120137	91	0	0
serieh	6	121142	92	0	0
serieh	6	122139	93	0	0
serieh	6	123140	94	0	0
serieh	6	124142	95	0	0
serieh	6	125142	96	0	0
serieh	6	126143	97	0	0
serieh	6	127144	98	0	0
serieh	6	128144	99	0	0
serieh	6	129148	100	0	0
serieh	6	130148	101	0	0
serieh	6	131150	102	0	0
serieh	6	132150	103	0	0
serieh	6	133151	104	0	0
serieh	6	134154	105	0	0
serieh	6	135155	106	0	0
serieh	6	152474	107	0	0
serieh	6	153475	108	0	0
serieh	6	154477	109	0	0
serieh	6	171146	110	0	0
serieh	6	172147	111	0	0
serieh	6	173148	112	0	0
serieh	6	174148	113	0	0
serieh	6	175150	114	0	0
serieh	6	176151	115	0	0
serieh	6	177153	116	0	0
serieh	6	178153	117	0	0
serieh	6	179154	118	0	0
serieh	6	180156	119	0	0
serieh	6	181162	120	0	0
serieh	6	191324	121	0	0
serieh	6	192326	122	0	0
serieh	6	193327	123	0	0
serieh	6	194329	124	0	0
serieh	6	195329	125	0	0
serieh	6	196330	126	0	0
serieh	6	197332	127	0	0
serieh	6	198333	128	0	0
serieh	6	199334	129	0	0
serieh	6	200336	130	0	0
serieh	6	201336	131	0	0
serieh	6	229638	132	0	0
serieh	6	230642	133	0	0
serieh	6	231643	134	0	0
serieh	6	232645	135	0	0
serieh	6	235581	136	0	0
serieh	6	311193	137	0	0
serieh	6	312195	138	0	0
serieh	6	370672	139	0	0
serieh	6	371673	140	0	0
serieh	6	419113	141	0	0
serieh	6	420124	143	0	0
serieh	6	421115	145	0	0
serieh	6	422116	147	0	0
