meta	0215fe6b	Team Slayer:Arena		Dynasty	47	50	687	9	605	280	325	2877	685765	41888	7648
team	6	50	48	48	57629	685765	oui
team	8	47	41	41	58814	679476	oui
a01	exact	50/47	47/50	2
player	10	2535440529439309	2535440529439309	12	12	13	13	2	2	oui	oui	1
player	12	2533274794288184	2533274794288184	15	15	15	15	1	1	oui	oui	1
player	14	2535469190789936	2535469190789936	8	8	12	12	3	3	oui	oui	1
player	16	2535423204297345	2535423204297345	15	15	10	10	4	4	oui	oui	1
player	18	2535460817916800	2535460817916800	9	9	13	13	3	3	oui	oui	1
player	20	2535467857787448	2535467857787448	9	9	10	10	2	2	oui	oui	1
player	22	2533274832650987	2533274832650987	17	17	9	9	3	3	oui	oui	1
player	24	2533274858876223	2533274858876223	12	12	16	16	2	2	oui	oui	1
a03	8	8	8	8	8	9	8
a02	a	1	0	scores finaux distincts
a01b	exact	50/47	47/50	1	1
volume	89	114	98	102	20	1808	7214	9022
cost	7648	7706	22	5	80	605
