metaext	51ebbc0f	Oddball:Arena	160	95	500	5968	52	5916	0	473	55064	507048	997
forme_gen	1	5968
hdr	2	h1=0,h2=1	2
hdr	2	h1=0,h2=5	1
hdr	2	h1=1,h2=1	166
hdr_slot	2	h1	6	0	31	74299	247666	19
hdr_slot	2	h1	6	1	40	303647	492071	20
hdr_slot	2	h1	8	0	31	71347	247666	12
hdr_slot	2	h1	8	1	39	279472	492071	19
hdr_slot	2	h1	10	0	8	76584	228554	5
hdr_slot	2	h1	10	1	10	259240	491552	6
hdr_slot	2	h1	12	0	6	177019	208181	1
hdr_slot	2	h1	12	1	8	445807	484578	1
hdr_slot	2	h1	14	0	10	130623	239032	5
hdr_slot	2	h1	14	1	14	297473	492071	6
hdr_slot	2	h1	16	0	9	76584	247666	4
hdr_slot	2	h1	16	1	13	259240	491552	6
hdr_slot	2	h1	18	0	7	135308	224866	2
hdr_slot	2	h1	18	1	10	279472	473166	5
hdr_slot	2	h1	20	0	8	91984	247666	8
hdr_slot	2	h1	20	1	12	259240	473166	7
hdr_slot	2	h1	22	0	8	83741	232658	4
hdr_slot	2	h1	22	1	8	316777	492071	3
hdr_slot	2	h1	24	0	7	71347	239032	2
hdr_slot	2	h1	24	1	12	259240	482509	5
hdr_slot	2	h2	6	0	31	74299	247666	19
hdr_slot	2	h2	6	1	40	303647	492071	20
hdr_slot	2	h2	8	0	31	71347	247666	12
hdr_slot	2	h2	8	1	39	279472	492071	19
hdr_slot	2	h2	10	0	8	76584	228554	5
hdr_slot	2	h2	10	1	10	259240	491552	6
hdr_slot	2	h2	12	0	6	177019	208181	1
hdr_slot	2	h2	12	1	8	445807	484578	1
hdr_slot	2	h2	14	0	10	130623	239032	5
hdr_slot	2	h2	14	1	14	297473	492071	6
hdr_slot	2	h2	16	0	9	76584	247666	4
hdr_slot	2	h2	16	1	13	259240	491552	6
hdr_slot	2	h2	18	0	7	135308	224866	2
hdr_slot	2	h2	18	1	10	279472	473166	5
hdr_slot	2	h2	20	0	8	91984	247666	8
hdr_slot	2	h2	20	1	12	259240	473166	7
hdr_slot	2	h2	22	0	8	83741	232658	4
hdr_slot	2	h2	22	1	8	316777	492071	3
hdr_slot	2	h2	24	0	7	71347	239032	2
hdr_slot	2	h2	24	1	12	259240	482509	5
hdr_score	h1	exact	160/95	160/95
hdr_frags	h1	ecart	66	70
hdr_score	h2	exact	160/95	160/95
hdr_frags	h2	ecart	66	70
serieh	6	99604	1	0	0
serieh	6	100607	2	0	0
serieh	6	101607	3	0	0
serieh	6	102609	4	0	0
serieh	6	103608	5	0	0
serieh	6	104610	6	0	0
serieh	6	105611	7	0	0
serieh	6	106612	8	0	0
serieh	6	107614	9	0	0
serieh	6	108614	10	0	0
serieh	6	109615	11	0	0
serieh	6	110616	12	0	0
serieh	6	111617	13	0	0
serieh	6	112618	14	0	0
serieh	6	113619	15	0	0
serieh	6	114620	16	0	0
serieh	6	115622	17	0	0
serieh	6	116622	18	0	0
serieh	6	117624	19	0	0
serieh	6	118625	20	0	0
serieh	6	119625	21	0	0
serieh	6	120626	22	0	0
serieh	6	121627	23	0	0
serieh	6	122629	24	0	0
serieh	6	123630	25	0	0
serieh	6	124630	26	0	0
serieh	6	125632	27	0	0
serieh	6	126632	28	0	0
serieh	6	127633	29	0	0
serieh	6	128633	30	0	0
serieh	6	129635	31	0	0
serieh	6	166321	32	0	0
serieh	6	167323	33	0	0
serieh	6	168323	34	0	0
serieh	6	169325	35	0	0
serieh	6	170325	36	0	0
serieh	6	171327	37	0	0
serieh	6	172327	38	0	0
serieh	6	173328	39	0	0
serieh	6	174330	40	0	0
serieh	6	175330	41	0	0
serieh	6	176331	42	0	0
serieh	6	210747	43	0	0
serieh	6	211749	44	0	0
serieh	6	214952	45	0	0
serieh	6	215953	46	0	0
serieh	6	216954	47	0	0
serieh	6	217955	48	0	0
serieh	6	218956	49	0	0
serieh	6	219956	50	0	0
serieh	6	220960	51	0	0
serieh	6	221961	52	0	0
serieh	6	222963	53	0	0
serieh	6	223964	54	0	0
serieh	6	224965	55	0	0
serieh	6	225966	56	0	0
serieh	6	226967	57	0	0
serieh	6	227967	58	0	0
serieh	6	228971	59	0	0
serieh	6	229969	60	0	0
serieh	6	230971	61	0	0
serieh	6	231972	62	0	0
serieh	6	232973	63	0	0
serieh	6	233974	64	0	0
serieh	6	234975	65	0	0
serieh	6	235976	66	0	0
serieh	6	236976	67	0	0
serieh	6	237977	68	0	0
serieh	6	238979	69	0	0
serieh	6	239979	70	0	0
serieh	6	240973	71	0	0
serieh	6	241972	72	0	0
serieh	6	242974	73	0	0
serieh	6	243976	74	0	0
serieh	6	244977	75	0	0
serieh	6	245978	76	0	0
serieh	6	246979	77	0	0
serieh	6	247979	78	0	0
serieh	6	248980	79	0	0
serieh	6	249982	80	0	0
serieh	6	278818	1	1	1
serieh	6	279820	2	1	1
serieh	6	280822	3	1	1
serieh	6	281822	4	1	1
serieh	6	282822	5	1	1
serieh	6	283823	6	1	1
serieh	6	284824	7	1	1
serieh	6	285826	8	1	1
serieh	6	286825	9	1	1
serieh	6	287827	10	1	1
serieh	6	288828	11	1	1
serieh	6	289829	12	1	1
serieh	6	290830	13	1	1
serieh	6	291831	14	1	1
serieh	6	292832	15	1	1
serieh	6	293833	16	1	1
serieh	6	294834	17	1	1
serieh	6	295836	18	1	1
serieh	6	296837	19	1	1
serieh	6	297838	20	1	1
serieh	6	298839	21	1	1
serieh	6	299840	22	1	1
serieh	6	300840	23	1	1
serieh	6	301842	24	1	1
serieh	6	302843	25	1	1
serieh	6	311284	26	1	1
serieh	6	332823	27	1	1
serieh	6	333824	28	1	1
serieh	6	334825	29	1	1
serieh	6	335826	30	1	1
serieh	6	336827	31	1	1
serieh	6	337827	32	1	1
serieh	6	338829	33	1	1
serieh	6	339830	34	1	1
serieh	6	340831	35	1	1
serieh	6	341831	36	1	1
serieh	6	342833	37	1	1
serieh	6	343834	38	1	1
serieh	6	344834	39	1	1
serieh	6	345836	40	1	1
serieh	6	346836	41	1	1
serieh	6	347837	42	1	1
serieh	6	348838	43	1	1
serieh	6	349839	44	1	1
serieh	6	350839	45	1	1
serieh	6	406263	46	1	1
serieh	6	407264	47	1	1
serieh	6	408265	48	1	1
serieh	6	409266	49	1	1
serieh	6	420828	50	1	1
serieh	6	421830	51	1	1
serieh	6	422829	52	1	1
serieh	6	423831	53	1	1
serieh	6	424832	54	1	1
serieh	6	425832	55	1	1
serieh	6	426834	56	1	1
serieh	6	427836	57	1	1
serieh	6	428835	58	1	1
serieh	6	429836	59	1	1
serieh	6	430838	60	1	1
serieh	6	431838	61	1	1
serieh	6	432841	62	1	1
serieh	6	433841	63	1	1
serieh	6	434841	64	1	1
serieh	6	435844	65	1	1
serieh	6	436844	66	1	1
serieh	6	437845	67	1	1
serieh	6	438846	68	1	1
serieh	6	439847	69	1	1
serieh	6	440847	70	1	1
serieh	6	441850	71	1	1
serieh	6	442850	72	1	1
serieh	6	443851	73	1	1
serieh	6	444852	74	1	1
serieh	6	445853	75	1	1
serieh	6	471178	76	1	1
serieh	6	472178	77	1	1
serieh	6	483306	78	1	1
serieh	6	484309	79	1	1
serieh	6	498923	80	1	1
serieh	8	138945	1	0	0
serieh	8	139945	2	0	0
serieh	8	140947	3	0	0
serieh	8	141947	4	0	0
serieh	8	142949	5	0	0
serieh	8	143949	6	0	0
serieh	8	144951	7	0	0
serieh	8	145952	8	0	0
serieh	8	146954	9	0	0
serieh	8	147954	10	0	0
serieh	8	148955	11	0	0
serieh	8	149956	12	0	0
serieh	8	150956	13	0	0
serieh	8	151957	14	0	0
serieh	8	152958	15	0	0
serieh	8	153959	16	0	0
serieh	8	154961	17	0	0
serieh	8	155962	18	0	0
serieh	8	183719	19	0	0
serieh	8	184720	20	0	0
serieh	8	185720	21	0	0
serieh	8	186722	22	0	0
serieh	8	187723	23	0	0
serieh	8	188723	24	0	0
serieh	8	189725	25	0	0
serieh	8	190725	26	0	0
serieh	8	191727	27	0	0
serieh	8	192728	28	0	0
serieh	8	193729	29	0	0
serieh	8	194730	30	0	0
serieh	8	195730	31	0	0
serieh	8	196731	32	0	0
serieh	8	197735	33	0	0
serieh	8	198733	34	0	0
serieh	8	199735	35	0	0
serieh	8	200738	36	0	0
serieh	8	201739	37	0	0
serieh	8	202739	38	0	0
serieh	8	203741	39	0	0
serieh	8	204742	40	0	0
serieh	8	205742	41	0	0
serieh	8	206743	42	0	0
serieh	8	207746	43	0	0
serieh	8	315221	1	1	1
serieh	8	316222	2	1	1
serieh	8	327251	3	1	1
serieh	8	328252	4	1	1
serieh	8	329252	5	1	1
serieh	8	330253	6	1	1
serieh	8	358715	7	1	1
serieh	8	359715	8	1	1
serieh	8	360717	9	1	1
serieh	8	361719	10	1	1
serieh	8	362719	11	1	1
serieh	8	363720	12	1	1
serieh	8	364722	13	1	1
serieh	8	365723	14	1	1
serieh	8	366724	15	1	1
serieh	8	367725	16	1	1
serieh	8	368726	17	1	1
serieh	8	369726	18	1	1
serieh	8	370728	19	1	1
serieh	8	371729	20	1	1
serieh	8	372730	21	1	1
serieh	8	373731	22	1	1
serieh	8	374732	23	1	1
serieh	8	375733	24	1	1
serieh	8	376734	25	1	1
serieh	8	377118	11	3	0
serieh	8	377736	26	1	1
serieh	8	378735	27	1	1
serieh	8	379736	28	1	1
serieh	8	380737	29	1	1
serieh	8	381738	30	1	1
serieh	8	382740	31	1	1
serieh	8	383741	32	1	1
serieh	8	384741	33	1	1
serieh	8	385742	34	1	1
serieh	8	386743	35	1	1
serieh	8	387744	36	1	1
serieh	8	388745	37	1	1
serieh	8	389746	38	1	1
serieh	8	390747	39	1	1
serieh	8	391748	40	1	1
serieh	8	392749	41	1	1
serieh	8	393750	42	1	1
serieh	8	394750	43	1	1
serieh	8	395752	44	1	1
serieh	8	396753	45	1	1
serieh	8	397755	46	1	1
serieh	8	398756	47	1	1
serieh	8	399756	48	1	1
serieh	8	400757	49	1	1
serieh	8	467323	50	1	1
serieh	8	490998	51	1	1
serieh	8	492000	52	1	1
