metaext	696a9d7c	Strongholds:Arena	200	94	561	1143	35	1108	0	45	33450	559651	1242
forme_gen	1	1143
serie	8	385261	81
serie	8	386258	82
serie	8	387259	83
serie	8	499190	84
serie	8	500191	85
serie	8	501193	86
serie	8	529654	87
serie	8	530655	88
serie	8	531657	89
serie	8	532657	90
serie	8	533659	91
serie	8	534659	92
serie	8	535660	93
serie	8	536661	94
hdr	0	h1=0,h2=0	286
hdr	0	h1=0,h2=4	1
hdr	0	h1=0,h2=5	1
hdr	0	h1=2,h2=3	1
hdr	0	h1=4,h2=0	1
hdr	0	h1=4,h2=4	1
hdr_slot	0	h1	6	0	192	90287	559651	200
hdr_slot	0	h1	6	4	1	290145	290145	0
hdr_slot	0	h1	8	0	94	54552	536661	94
hdr_slot	0	h1	12	0	2	36466	36466	4138
hdr_slot	0	h2	6	0	192	90287	559651	200
hdr_slot	0	h2	6	5	1	87550	87550	14225178
hdr_slot	0	h2	8	0	94	54552	536661	94
hdr_slot	0	h2	12	0	1	36449	36449	4138
hdr_slot	0	h2	12	4	1	36466	36466	4138
hdr	2	h1=0,h2=0	401
hdr	2	h1=0,h2=1	3
hdr	2	h1=3,h2=2	1
hdr	2	h1=4,h2=3	1
hdr_slot	2	h1	6	0	101	52219	555952	54
hdr_slot	2	h1	8	0	101	68619	555952	48
hdr_slot	2	h1	10	0	19	91975	496840	8
hdr_slot	2	h1	12	0	29	79830	555952	15
hdr_slot	2	h1	14	0	32	57525	546592	15
hdr_slot	2	h1	14	4	1	545905	545905	16788
hdr_slot	2	h1	16	0	20	145317	555952	9
hdr_slot	2	h1	16	3	1	351438	351438	70
hdr_slot	2	h1	18	0	25	57525	544139	15
hdr_slot	2	h1	20	0	25	83483	534363	15
hdr_slot	2	h1	22	0	23	129565	545675	9
hdr_slot	2	h1	24	0	28	52219	546592	16
hdr_slot	2	h2	6	0	100	52219	555952	54
hdr_slot	2	h2	6	1	1	311966	311966	85
hdr_slot	2	h2	8	0	100	68619	555952	48
hdr_slot	2	h2	8	1	1	310899	310899	85
hdr_slot	2	h2	10	0	19	91975	496840	8
hdr_slot	2	h2	12	0	29	79830	555952	15
hdr_slot	2	h2	14	0	32	57525	546592	15
hdr_slot	2	h2	14	3	1	545905	545905	16788
hdr_slot	2	h2	16	0	20	145317	555952	9
hdr_slot	2	h2	16	2	1	351438	351438	70
hdr_slot	2	h2	18	0	25	57525	544139	15
hdr_slot	2	h2	20	0	25	83483	534363	15
hdr_slot	2	h2	22	0	23	129565	545675	9
hdr_slot	2	h2	24	0	28	52219	546592	16
hdr_score	h1	exact	200/94	200/94
hdr_frags	h1	exact	102	102
hdr_score	h2	exact	200/94	200/94
hdr_frags	h2	exact	102	102
serieh	6	87550	14225178	0	5
serieh	6	90287	2	0	0
serieh	6	91288	3	0	0
serieh	6	92289	4	0	0
serieh	6	93290	5	0	0
serieh	6	94291	6	0	0
serieh	6	95293	7	0	0
serieh	6	96293	9	0	0
serieh	6	97293	10	0	0
serieh	6	98295	11	0	0
serieh	6	99296	12	0	0
serieh	6	100297	13	0	0
serieh	6	101298	14	0	0
serieh	6	102303	15	0	0
serieh	6	117083	16	0	0
serieh	6	118084	17	0	0
serieh	6	119085	18	0	0
serieh	6	120086	19	0	0
serieh	6	121087	20	0	0
serieh	6	122088	21	0	0
serieh	6	123089	22	0	0
serieh	6	124090	23	0	0
serieh	6	125091	24	0	0
serieh	6	126097	25	0	0
serieh	6	127094	26	0	0
serieh	6	128094	27	0	0
serieh	6	130580	28	0	0
serieh	6	131581	29	0	0
