metaext	92f18088	Ranked:Oddball	113	200	610	7328	38	7290	0	282	55847	618136	1002
forme_gen	1	7328
manches	6	1	[0]
manches	8	1	[0]
figee	6	0	63	608764
figee	8	0	100	608764
figee	10	0	35	367453
figee	12	0	60	367453
figee	16	0	5	367503
figee	16	1	20480	507011
figee	16	5	20873439	507011
figee	16	8	16	507011
figee	16	10	84	507011
figee	18	0	14	367503
figee	20	0	19	368088
figee	22	0	12	368121
figee	24	0	18	369410
total_score	ecart	63/100	113/200
frags	10	6
frags	12	8
frags	14	9
frags	16	3
frags	18	12
frags	20	10
frags	22	8
frags	24	8
total_frags	ecart	64	107	8
segment	0	6	0	63	94131	303106	63
segment	0	6	1	50	381034	513617	50
segment	0	8	0	100	64486	359029	100
segment	0	8	1	100	417687	608746	100
segment	0	10	0	19	94131	227835	19
segment	0	10	1	18	367401	588476	17
segment	0	12	0	35	258330	350387	35
segment	0	12	1	25	367401	491781	12908
segment	0	12	2	5	492046	503540	4866
segment	0	12	3	56	523978	608746	83
segment	0	16	0	5	355025	359029	5
segment	0	18	0	16	180720	212851	16
segment	0	18	1	3	229654	246902	18
segment	0	20	0	14	120509	133522	14
segment	0	20	1	47	367401	513617	46
segment	0	22	0	60	64486	330800	60
segment	0	22	1	5	367401	384037	4
segment	0	24	0	12	290394	303106	12
segment	2	6	0	33	66224	357113	33
segment	2	6	1	22	384157	607597	22
segment	2	8	0	26	78536	357113	26
segment	2	8	1	27	389962	607597	26
segment	2	10	0	9	67393	350575	10
segment	2	10	1	7	389962	607230	6
segment	2	12	0	6	66224	350575	6
segment	2	12	1	6	384157	589830	5
segment	2	14	0	10	160468	342698	9
segment	2	14	1	12	367401	607597	11
segment	2	16	0	4	114608	327866	3
segment	2	16	1	5	367401	604410	4
segment	2	18	0	3	214772	336609	3
segment	2	20	0	13	85459	342951	12
segment	2	20	1	10	367401	607597	9
segment	2	22	0	9	106732	357113	8
segment	2	22	1	8	404828	606479	7
segment	2	24	0	8	87279	357113	8
segment	2	24	1	6	367401	596403	5
serie	6	94131	1
serie	6	95133	2
serie	6	96134	3
serie	6	97134	4
serie	6	98136	5
serie	6	99137	6
serie	6	100139	7
serie	6	101140	8
serie	6	102141	9
serie	6	103142	10
serie	6	104143	11
serie	6	105144	12
serie	6	120509	13
serie	6	121510	14
serie	6	122511	15
serie	6	123512	16
serie	6	124513	17
serie	6	125514	18
serie	6	126516	19
serie	6	127516	20
serie	6	128518	21
serie	6	129518	22
serie	6	130519	23
serie	6	131520	24
serie	6	132521	25
serie	6	133522	26
serie	6	180720	27
serie	6	181721	28
serie	6	182722	29
serie	6	200839	30
serie	6	201840	31
serie	6	202841	32
serie	6	203842	33
serie	6	204844	34
serie	6	205845	35
serie	6	206846	36
serie	6	207846	37
serie	6	208848	38
serie	6	209849	39
serie	6	210849	40
serie	6	211850	41
serie	6	212851	42
serie	6	219291	43
serie	6	220293	44
serie	6	221294	45
serie	6	222295	46
serie	6	225832	47
serie	6	226833	48
serie	6	227835	49
serie	6	243616	50
serie	6	246902	51
serie	6	290394	52
serie	6	293097	53
serie	6	294098	54
serie	6	295099	55
serie	6	296100	56
serie	6	297101	57
serie	6	298102	58
serie	6	299103	59
serie	6	300103	60
serie	6	301105	61
serie	6	302105	62
serie	6	303106	63
serie	8	417687	1
serie	8	418688	2
serie	8	419689	3
serie	8	420690	4
serie	8	421691	5
serie	8	422692	6
serie	8	423693	7
serie	8	424694	8
serie	8	425695	9
serie	8	469022	10
serie	8	470023	11
serie	8	471024	12
serie	8	472025	13
serie	8	473026	14
serie	8	474027	15
serie	8	475029	16
serie	8	476030	17
