metaext	1e26f641	Strongholds:Arena	132	73	313	581	14	567	0	6	0	311894	518
forme_gen	1	581
hdr_score	h1	ecart	73/200	132/73
hdr_frags	h1	ecart	48	49
hdr_score	h2	ecart	73/200	132/73
hdr_frags	h2	ecart	48	49
serieh	6	51350	1	0	0
serieh	6	55676	2	0	0
serieh	6	56673	3	0	0
serieh	6	57674	4	0	0
serieh	6	58674	5	0	0
serieh	6	59676	6	0	0
serieh	6	60677	7	0	0
serieh	6	61679	8	0	0
serieh	6	64563	9	0	0
serieh	6	65564	10	0	0
serieh	6	66565	11	0	0
serieh	6	67566	12	0	0
serieh	6	68567	13	0	0
serieh	6	69568	14	0	0
serieh	6	70569	15	0	0
serieh	6	71570	16	0	0
serieh	6	73989	17	0	0
serieh	6	80480	18	0	0
serieh	6	81480	19	0	0
serieh	6	82481	20	0	0
serieh	6	83482	21	0	0
serieh	6	84484	22	0	0
serieh	6	85485	23	0	0
serieh	6	86486	24	0	0
serieh	6	87486	25	0	0
serieh	6	88488	26	0	0
serieh	6	89489	27	0	0
serieh	6	90489	28	0	0
serieh	6	91490	29	0	0
serieh	6	92491	30	0	0
serieh	6	93492	31	0	0
serieh	6	94493	32	0	0
serieh	6	95494	33	0	0
serieh	6	96494	34	0	0
serieh	6	97497	35	0	0
serieh	6	100699	36	0	0
serieh	6	101700	37	0	0
serieh	6	102701	38	0	0
serieh	6	103702	39	0	0
serieh	6	104703	40	0	0
serieh	6	105704	41	0	0
serieh	6	106705	42	0	0
serieh	6	107706	43	0	0
serieh	6	108707	44	0	0
serieh	6	109708	45	0	0
serieh	6	110709	46	0	0
serieh	6	111710	47	0	0
serieh	6	112711	48	0	0
serieh	6	113713	49	0	0
serieh	6	114714	50	0	0
serieh	6	115715	51	0	0
serieh	6	186019	52	0	0
serieh	6	187019	53	0	0
serieh	6	188020	54	0	0
serieh	6	189021	55	0	0
serieh	6	190022	56	0	0
serieh	6	191024	57	0	0
serieh	6	192024	58	0	0
serieh	6	193026	59	0	0
serieh	6	196228	60	0	0
serieh	6	197229	61	0	0
serieh	6	198230	62	0	0
serieh	6	199231	63	0	0
serieh	6	200233	64	0	0
serieh	6	201234	65	0	0
serieh	6	202234	66	0	0
serieh	6	203236	67	0	0
serieh	6	204237	68	0	0
serieh	6	205237	69	0	0
serieh	6	206239	70	0	0
serieh	6	207240	71	0	0
serieh	6	208241	72	0	0
serieh	6	209242	73	0	0
serieh	8	123839	1	0	0
serieh	8	124841	2	0	0
serieh	8	125842	3	0	0
serieh	8	126842	4	0	0
serieh	8	127844	6	0	0
serieh	8	128844	7	0	0
serieh	8	129845	8	0	0
serieh	8	130847	9	0	0
serieh	8	131848	10	0	0
serieh	8	132848	11	0	0
serieh	8	133850	13	0	0
serieh	8	134851	14	0	0
serieh	8	135852	15	0	0
serieh	8	136853	16	0	0
serieh	8	137854	17	0	0
serieh	8	138855	18	0	0
serieh	8	139856	19	0	0
serieh	8	140856	20	0	0
serieh	8	141858	21	0	0
serieh	8	142859	22	0	0
serieh	8	143860	23	0	0
serieh	8	144861	24	0	0
serieh	8	145862	25	0	0
serieh	8	146863	26	0	0
serieh	8	152385	27	0	0
serieh	8	153386	28	0	0
serieh	8	154387	29	0	0
serieh	8	155388	30	0	0
serieh	8	156388	31	0	0
serieh	8	157390	32	0	0
serieh	8	158391	33	0	0
serieh	8	172604	34	0	0
serieh	8	173605	35	0	0
serieh	8	174606	36	0	0
serieh	8	175607	37	0	0
serieh	8	176609	38	0	0
serieh	8	177613	39	0	0
serieh	8	215899	40	0	0
serieh	8	216899	41	0	0
serieh	8	217900	42	0	0
serieh	8	219802	43	0	0
serieh	8	220804	44	0	0
serieh	8	221804	45	0	0
serieh	8	222805	46	0	0
serieh	8	223807	47	0	0
serieh	8	224807	48	0	0
serieh	8	225809	49	0	0
serieh	8	226810	50	0	0
serieh	8	227811	51	0	0
serieh	8	228817	52	0	0
serieh	8	229813	53	0	0
serieh	8	230814	54	0	0
serieh	8	231815	55	0	0
serieh	8	232816	56	0	0
serieh	8	233817	57	0	0
serieh	8	234818	58	0	0
serieh	8	235819	59	0	0
serieh	8	236820	61	0	0
serieh	8	237820	63	0	0
serieh	8	238822	64	0	0
serieh	8	239823	65	0	0
serieh	8	240824	66	0	0
serieh	8	241824	67	0	0
serieh	8	242826	69	0	0
serieh	8	243827	71	0	0
serieh	8	244827	73	0	0
serieh	8	245829	75	0	0
serieh	8	246829	77	0	0
serieh	8	247830	79	0	0
serieh	8	248832	81	0	0
serieh	8	249833	83	0	0
serieh	8	250834	85	0	0
serieh	8	251835	87	0	0
serieh	8	252835	89	0	0
serieh	8	253837	91	0	0
serieh	8	254838	93	0	0
serieh	8	255838	95	0	0
serieh	8	256840	97	0	0
serieh	8	257841	98	0	0
serieh	8	258842	99	0	0
serieh	8	259844	100	0	0
serieh	8	260844	101	0	0
serieh	8	261844	102	0	0
serieh	8	262846	104	0	0
serieh	8	263847	106	0	0
serieh	8	264848	108	0	0
serieh	8	265849	110	0	0
serieh	8	266849	112	0	0
serieh	8	267851	114	0	0
serieh	8	268852	116	0	0
serieh	8	269852	118	0	0
serieh	8	270853	120	0	0
serieh	8	271855	122	0	0
serieh	8	272855	124	0	0
serieh	8	273856	126	0	0
serieh	8	274858	128	0	0
serieh	8	275858	130	0	0
serieh	8	276860	132	0	0
serieh	8	277861	134	0	0
serieh	8	278861	136	0	0
serieh	8	279862	138	0	0
serieh	8	280863	140	0	0
serieh	8	281865	142	0	0
serieh	8	282865	144	0	0
serieh	8	283866	146	0	0
serieh	8	284867	148	0	0
serieh	8	285869	150	0	0
serieh	8	286869	152	0	0
serieh	8	287870	154	0	0
serieh	8	288872	156	0	0
serieh	8	289873	158	0	0
serieh	8	290874	160	0	0
serieh	8	291875	162	0	0
serieh	8	292875	164	0	0
serieh	8	293877	166	0	0
serieh	8	294878	168	0	0
serieh	8	295878	170	0	0
serieh	8	296879	172	0	0
serieh	8	297880	174	0	0
serieh	8	298881	176	0	0
serieh	8	299882	178	0	0
serieh	8	300883	180	0	0
serieh	8	301885	182	0	0
serieh	8	302886	184	0	0
serieh	8	303890	186	0	0
serieh	8	304888	188	0	0
serieh	8	305889	190	0	0
serieh	8	306889	191	0	0
serieh	8	307892	193	0	0
serieh	8	308892	195	0	0
serieh	8	309893	197	0	0
serieh	8	310894	199	0	0
serieh	8	311894	200	0	0
