metaext	7344d24f	Strongholds:Arena	193	112	596	1273	40	1233	0	91	33230	594574	1275
forme_gen	1	1273
serie	8	367901	93
serie	8	368901	94
serie	8	369902	95
serie	8	370904	96
serie	8	371905	97
serie	8	439732	98
serie	8	440729	99
serie	8	441732	100
serie	8	442733	101
serie	8	443734	102
serie	8	444734	103
serie	8	445736	104
serie	8	450791	105
serie	8	451792	106
serie	8	452793	107
serie	8	470183	108
serie	8	471183	109
serie	8	472184	110
serie	8	473185	111
serie	8	476472	112
serie	8	477473	113
serie	8	478474	114
serie	8	479474	115
serie	8	480469	116
serie	8	481472	117
serie	8	482473	118
serie	8	515966	119
serie	8	552136	120
serie	8	553136	121
serie	8	554137	122
serie	8	555139	123
serie	8	556139	124
serie	8	557140	125
serie	8	558142	126
hdr	0	h1=0,h2=0	306
hdr	0	h1=2,h2=1	1
hdr_slot	0	h1	6	0	194	53690	594574	200
hdr_slot	0	h1	8	0	112	112190	558142	126
hdr_slot	0	h1	22	2	1	107552	107552	37
hdr_slot	0	h2	6	0	194	53690	594574	200
hdr_slot	0	h2	8	0	112	112190	558142	126
hdr_slot	0	h2	22	1	1	107552	107552	37
hdr	2	h1=0,h2=0	455
hdr	2	h1=0,h2=1	4
hdr	2	h1=0,h2=6	2
hdr	2	h1=2,h2=5	1
hdr_slot	2	h1	6	0	114	63044	589041	58
hdr_slot	2	h1	8	0	114	52207	589041	59
hdr_slot	2	h1	10	0	30	107956	589041	17
hdr_slot	2	h1	12	0	21	140790	569925	8
hdr_slot	2	h1	14	0	22	155120	589041	9
hdr_slot	2	h1	16	0	38	77440	585688	27
hdr_slot	2	h1	18	0	25	52207	569925	9
hdr_slot	2	h1	20	0	30	63044	585688	16
hdr_slot	2	h1	22	0	31	82380	585222	14
hdr_slot	2	h1	24	0	32	52207	585222	17
hdr_slot	2	h2	6	0	113	63044	589041	58
hdr_slot	2	h2	6	1	1	184897	184897	85
hdr_slot	2	h2	8	0	113	52207	589041	59
hdr_slot	2	h2	8	1	1	383507	383507	85
hdr_slot	2	h2	10	0	30	107956	589041	17
hdr_slot	2	h2	12	0	21	140790	569925	8
hdr_slot	2	h2	14	0	22	155120	589041	9
hdr_slot	2	h2	16	0	38	77440	585688	27
hdr_slot	2	h2	18	0	25	52207	569925	9
hdr_slot	2	h2	20	0	30	63044	585688	16
hdr_slot	2	h2	22	0	31	82380	585222	14
hdr_slot	2	h2	24	0	32	52207	585222	17
hdr_score	h1	ecart	200/126	193/112
hdr_frags	h1	exact	117	117
hdr_score	h2	ecart	200/126	193/112
hdr_frags	h2	exact	117	117
serieh	6	53690	1	0	0
serieh	6	54690	2	0	0
serieh	6	55692	3	0	0
serieh	6	56693	4	0	0
serieh	6	57693	5	0	0
serieh	6	58694	6	0	0
serieh	6	59695	7	0	0
serieh	6	60703	8	0	0
serieh	6	61704	9	0	0
serieh	6	62706	10	0	0
serieh	6	63708	11	0	0
serieh	6	64707	12	0	0
serieh	6	65708	13	0	0
serieh	6	66709	14	0	0
serieh	6	67710	15	0	0
serieh	6	68711	16	0	0
serieh	6	85896	17	0	0
serieh	6	86897	18	0	0
serieh	6	102914	19	0	0
serieh	6	103914	20	0	0
serieh	6	131010	21	0	0
serieh	6	132011	22	0	0
serieh	6	133013	23	0	0
serieh	6	134013	24	0	0
serieh	6	135014	25	0	0
serieh	6	136016	26	0	0
serieh	6	143890	27	0	0
serieh	6	144891	28	0	0
serieh	6	145892	29	0	0
serieh	6	149695	30	0	0
serieh	6	150696	31	0	0
serieh	6	156136	32	0	0
serieh	6	157136	33	0	0
serieh	6	158138	34	0	0
serieh	6	159139	35	0	0
serieh	6	160134	36	0	0
serieh	6	161134	37	0	0
serieh	6	162135	38	0	0
serieh	6	163137	39	0	0
serieh	6	164138	40	0	0
serieh	6	165143	41	0	0
serieh	6	166140	42	0	0
serieh	6	167142	43	0	0
serieh	6	168142	44	0	0
serieh	6	169143	45	0	0
serieh	6	170144	46	0	0
serieh	6	171145	47	0	0
serieh	6	172146	48	0	0
serieh	6	173147	49	0	0
