meta	0c009149	KOTH:Arena	hill	Snowbound	3	1	399	8	2256	988	1268	2787	397510	24614	1395
team	6	1	1	1	253766	253766	oui
team	8	3	3	3	136624	397510	oui
a01	exact	1/3	3/1	2
player	10	2533274910366690	2533274910366690	8	8	11	11	2	2	oui	oui	1
player	12	2533274858283686	2533274858283686	9	9	11	11	6	6	oui	oui	1
player	14	2533274915493131	2533274915493131	12	12	8	8	13	13	oui	oui	1
player	16	2535469190789936	2535469190789936	7	7	14	14	4	4	oui	oui	1
player	18	2535457257707259	2535457257707259	12	12	8	8	7	7	oui	oui	1
player	20	2533274823110022	2533274823110022	5	5	9	9	3	3	oui	oui	1
player	22	2535443542787987	2535443542787987	5	5	7	7	8	8	oui	oui	1
player	24	2533274897645479	2533274897645479	16	16	6	6	9	9	oui	oui	1
a03	8	8	8	8	8	8	8
a02	a	1	0	scores finaux distincts
a01b	ecart	0/3	3/1	0	1
volume	4	205	78	78	52	125	8874	8999
cost	1395	1418	21	4	59	2256
