metaext	24dbb67d	Ranked:Oddball	200	121	519	7341	49	7292	0	373	34212	518050	1196
forme_gen	1	7341
hdr_slot	0	h1	12	0	1	369034	369034	1
hdr_slot	0	h1	12	1	1	298909	298909	0
hdr_slot	0	h1	12	4	1	273300	273300	0
hdr_slot	0	h1	14	1	30	298909	502917	29
hdr_slot	0	h1	16	1	2	298909	332912	1
hdr_slot	0	h1	16	6	1	158417	158417	32
hdr_slot	0	h1	18	0	74	61336	216760	74
hdr_slot	0	h1	18	1	19	298909	374905	18
hdr_slot	0	h1	18	2	1	194902	194902	11
hdr_slot	0	h1	20	0	80	76267	248492	79
hdr_slot	0	h1	20	1	54	298909	518032	53
hdr_slot	0	h1	22	1	1	298909	298909	0
hdr_slot	0	h1	24	0	4	128971	131974	4
hdr_slot	0	h1	24	1	33	298909	402883	32
hdr_slot	0	h2	6	0	100	71479	290683	100
hdr_slot	0	h2	6	1	100	348961	518032	100
hdr_slot	0	h2	8	0	78	61336	216760	78
hdr_slot	0	h2	8	1	43	317580	513729	43
hdr_slot	0	h2	8	4	1	391872	391872	2148051634
hdr_slot	0	h2	10	0	22	71479	290683	21
hdr_slot	0	h2	10	1	11	298909	513729	10
hdr_slot	0	h2	10	4	1	443123	443123	1059258384
hdr_slot	0	h2	12	0	1	273300	273300	0
hdr_slot	0	h2	12	1	1	298909	298909	0
hdr_slot	0	h2	12	4	1	369034	369034	1
hdr_slot	0	h2	14	1	30	298909	502917	29
hdr_slot	0	h2	16	1	2	298909	332912	1
hdr_slot	0	h2	16	4	1	158417	158417	32
hdr_slot	0	h2	18	0	74	61336	216760	74
hdr_slot	0	h2	18	1	19	298909	374905	18
hdr_slot	0	h2	18	2	1	194902	194902	11
hdr_slot	0	h2	20	0	80	76267	248492	79
hdr_slot	0	h2	20	1	54	298909	518032	53
hdr_slot	0	h2	22	1	1	298909	298909	0
hdr_slot	0	h2	24	0	4	128971	131974	4
hdr_slot	0	h2	24	1	33	298909	402883	32
hdr	2	h1=0,h2=0	184
hdr	2	h1=0,h2=1	2
hdr	2	h1=1,h2=1	165
hdr	2	h1=16,h2=16	1
hdr	2	h1=29,h2=12	1
hdr	2	h1=4,h2=30	1
hdr	2	h1=8,h2=0	1
hdr_slot	2	h1	6	0	46	45707	289218	24
hdr_slot	2	h1	6	1	39	312894	514014	21
hdr_slot	2	h1	8	0	47	40935	289218	24
hdr_slot	2	h1	8	1	39	311794	514014	19
hdr_slot	2	h1	10	0	12	40935	273300	8
hdr_slot	2	h1	10	1	18	298909	514014	12
hdr_slot	2	h1	12	0	15	80958	289218	8
hdr_slot	2	h1	12	1	9	460526	511879	2
hdr_slot	2	h1	14	0	13	66311	288183	8
hdr_slot	2	h1	14	1	9	298909	502953	4
hdr_slot	2	h1	16	0	9	66411	288567	4
hdr_slot	2	h1	16	1	6	334099	505506	1
hdr_slot	2	h1	18	0	9	63343	273300	3
hdr_slot	2	h1	18	1	13	320419	513381	6
hdr_slot	2	h1	20	0	8	188466	288183	3
hdr_slot	2	h1	20	1	11	312894	514014	7
hdr_slot	2	h1	22	0	11	54199	278588	5
hdr_slot	2	h1	22	1	10	311794	508225	4
hdr_slot	2	h1	24	0	15	76020	289218	9
hdr_slot	2	h1	24	1	10	298909	513381	4
hdr_slot	2	h1	24	16	1	460390	460390	52
hdr_slot	2	h1	24	29	1	500331	500331	2028219651
hdr_slot	2	h2	6	0	46	45707	289218	24
hdr_slot	2	h2	6	1	39	312894	514014	21
hdr_slot	2	h2	8	0	46	40935	289218	24
hdr_slot	2	h2	8	1	40	311794	514014	19
hdr_slot	2	h2	10	0	12	40935	273300	8
